jini,	জিনি,	যিনি,	
towraat,	তর্ার,	তওরাত,	
bharpur,	ভারপুর,	ভরপুর,	
marmaara,	মার্মার,	মারমারা,	
ramzaner,	রমজানের,	রমযানের,	
patka,	পাটকা,	পটকা,	
zerusalem,	জারুসলেম,	জেরুজালেম,	
fotanor,	ফটানোর,	ফোটানোর,	
bandi,	বন্দি,	বন্দী,	
chalachchitrake,	চলচিত্রকের,	চলচ্চিত্রকে,	
neshnos,	নিশনস,	নেশনস,	
turqamena,	টুর্কমেন,	তুর্কমেন,	
pest,	পেস্ট,	পেষ্ট,	
qeyboard,	কিবোর্ড,	কীবোর্ড,	
skirt,	স্কার্ট,	স্কার্ট,	
pituni,	পিতুনি,	পিটুনি,	
animated,	আনিমাতেদ,	এনিমেটেড,	
juboke,	যুবকে,	যুবকে,	
taoonship,	তাউনশীপ,	টাউনশিপ,	
aiiub,	আইএব,	আইইউবি,	
evaner,	ইভানের,	ইভানের,	
sthaponakay,	স্থাপনকে,	স্থাপনাকে,	
dito,	দিত,	দিতো,	
dhyanostha,	ধ্যানস্থা,	ধ্যানস্থ,	
jibanjapon,	জীবন্যপন,	জীবনযাপন,	
jokkho,	যক্ষ,	যক্ষ,	
manushder,	মানুষদের,	মানুষদের,	
batikromee,	ব্যিতিক্রমী,	ব্যতিক্রমী,	
omarjito,	অমর্জিত,	অমার্জিত,	
doobate,	দুবাতে,	ডুবাতে,	
kathmandutey,	ক্্মান্ডুতে,	কাঠমান্ডুতে,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
nodiigulo,	নদীগুলো,	নদীগুলো,	
devolapar,	ডেভলপার,	ডেভলপার,	
bocchon,	বোচ্ন,	বচ্চন,	
sthaponagulor,	স্থাপনগুলোর,	স্থাপনাগুলোর,	
harbare,	হরবারে,	হারবারে,	
ralf,	রাফ,	রালফ,	
shamook,	সামুক,	শামুক,	
nagorikkey,	নাগরীক্যে,	নাগরিককে,	
nirapattamulok,	নিরাপতমূমূক,	নিরাপত্তামূলক,	
aachhis,	আচ্ছিশ,	আছিস,	
sabrakomer,	সাব্রকমের,	সবরকমের,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
mathews,	ম্যাথিউস,	ম্যাথিউস,	
wenice,	ভেনিসে,	ভেনিস,	
shanstha,	সান্স্থ,	সংস্থা,	
aazan,	আজান,	আজান,	
mitrao,	মিত্রাও,	মিত্রও,	
vishad,	বিষদদ,	বিষদ,	
loukeekotaa,	লৌকিকাট,	লৌকিকতা,	
mohibur,	মুহিবুর,	মহিবুর,	
sachetanotamulok,	স্যাচতানাতমূলক,	সচেতনতামূলক,	
pannee,	পাননি,	পন্নী,	
bagmara,	বাগমারা,	বাগমারা,	
samashti,	সমাস্তি,	সমষ্টি,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
bhagirath,	ভগীরথ,	ভগীরথ,	
inshtol,	ইনস্তল,	ইন্সটল,	
natnikey,	নানটিকে,	নাতনীকে,	
codey,	কোডে,	কোডে,	
gasthike,	গাস্থিকে,	গোষ্ঠীকে,	
moddhyekar,	মধ্যিকার,	মধ্যেকার,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
pure,	পুরে,	পিওর,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
olpoi,	অলপাই,	অল্পই,	
pattarn,	পটার্ট,	প্যাটার্ন,	
itastatoh,	ইতাস্তত,	ইতস্ততঃ,	
shansthagulo,	সংষ্ঠগুলু,	সংস্থাগুলো,	
udbhabaker,	উদ্ভবকের,	উদ্ভাবকের,	
tintike,	তিনটিকে,	তিনটিকে,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
hajarer,	হাজারের,	হাজারের,	
provu,	প্রভূ,	প্রভু,	
russad,	রুশদাদ,	রুশদ,	
bagey,	বাগে,	বাগে,	
ishton,	ইস্টন,	স্টোন,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
wictor,	ভিক্টর,	ভিক্টর,	
byke,	বাইক,	বাইক,	
klauda,	ক্লাউড,	ক্লাউড,	
moonshi,	মুনশী,	মুন্সি,	
itastata,	ইতাস্ততা,	ইতস্তত,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
jeten,	যেতেন,	যেতেন,	
deeyenes,	ডিয়েন,	ডিএনএস,	
seramiks,	সেরমিক্স,	সিরামিকস,	
gatibege,	গতিবেগে,	গতিবেগে,	
bed,	বেড,	বেদ,	
doonata,	দোনাটা,	ডোনাট,	
rushad,	রূশদ,	রুশদ,	
avetar,	ওভাতার,	অবতার,	
boney,	বনে,	বনে,	
ancholtike,	আঞ্চলতিকে,	অঞ্চলটিকে,	
bhotarer,	ভোটরের,	ভোটারের,	
tennys,	টেনিস,	টেনিস,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
sotteo,	সত্বেও,	সত্ত্বেও,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
obhijojon,	অভিযোজন,	অভিযোজন,	
brindaabane,	ব্রিন্ববানে,	বৃন্দাবনে,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
khilaphat,	খিলাফাত,	খিলাফত,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
jonogononar,	জনগণনার,	জনগণনার,	
fuzz,	ফিজ,	ফাজ,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
aatto,	আত্ম,	আত্ম,	
shoshoa,	সস্য,	শশা,	
shulfate,	সালফাটে,	সালফেট,	
toronee,	তরণী,	তরণী,	
messenjer,	মেসনের,	মেসেঞ্জার,	
gratha,	গ্রথ,	গ্রোথ,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
charchito,	চর্চিত,	চর্চিত,	
spreedashita,	স্প্রেদশিত,	স্প্রেডশীট,	
karleo,	করলেও,	করলেও,	
crescent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
antarktika,	আন্তর্কিত,	অ্যান্টার্কটিকা,	
noitikata,	নৈটিকতা,	নৈতিকতা,	
bhaisaho,	বাইসহ,	ভাইসহ,	
mitra,	মিত্রা,	মিত্র,	
puncho,	পুঁচ,	পুঞ্চ,	
senior,	সিনিওর,	সিনিয়র,	
debholopar,	ডেভলপার,	ডেভলপার,	
nagorik,	নাগরিক,	নাগরিক,	
falok,	ফলক,	ফলক,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
os,	এস,	অস,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
vodka,	ভোঁকা,	ভদকা,	
gotihin,	গতিহীন,	গতিহীন,	
nothibhuktir,	নথিভুত্তির,	নথিভুক্তির,	
anish,	অনিশ,	আনিস,	
phareksha,	ফরেক্স,	ফরেক্স,	
nondolal,	নন্দলাল,	নন্দলাল,	
rephlex,	রেফলেক্স,	রিফ্লেক্স,	
metropoliton,	মেট্রোপলিটান,	মেট্রোপলিটন,	
ashanka,	আশঙ্কা,	আশঙ্কা,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
satjan,	সৎজন,	সাতজন,	
ajeem,	আজিম,	আজিম,	
jansa,	জাঁসা,	জোন্স,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
torkaryr,	তরকারির,	তরকারীর,	
phikshim,	ফিকসিম,	ফিক্সিং,	
grip,	গ্রিপ,	গ্রিপ,	
parinoti,	পরিনতি,	পরিণতি,	
jins,	জিন্স,	জিন্স,	
chho,	ছো,	ছোঁ,	
potcheetrer,	পতচিত্রের,	পটচিত্রের,	
sookumari,	সুকুমারী,	সুকুমারী,	
gosthyti,	গোস্থিতি,	গোষ্ঠীটি,	
gostii,	গস্তি,	গোষ্ঠীই,	
jaubanbati,	যৌবন্তটি,	যৌবনবতী,	
atyacharito,	অত্যচচৃত,	অত্যাচারিত,	
saleha,	সালেহ,	সালেহা,	
mile,	মিলে,	মাইল,	
bhabotarini,	ভবতরীণী,	ভবতারিণী,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
jhankaar,	ঝংকার,	ঝঙ্কার,	
shhcholashtic,	স্কলাসিক্ট,	স্কলাস্টিক,	
shikshakbrinda,	শিক্ষাবৃক্ণ,	শিক্ষকবৃন্দ,	
jakser,	যক্ষের,	যক্ষের,	
udvaboni,	উদ্বাবণী,	উদ্ভাবনী,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
markete,	মার্কেটে,	মার্কেটে,	
manushsoho,	মানসসহ,	মানুষসহ,	
dhaloor,	ধালুর,	ঢালুর,	
korush,	ক্রুশ,	ক্রুশ,	
parabortee,	পরবর্তী,	পরর্বতী,	
pravritite,	প্রভূতিতে,	প্রভৃতিতে,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
sqarta,	স্কার্ট,	স্কার্ট,	
azimke,	আজিমকে,	আজিমকে,	
chetonagato,	চিতনাগত,	চেতনাগত,	
sotorkobhabey,	সতরকভাবে,	সতর্কভাবে,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
mozlishpoor,	মজ্লিসপুর,	মজলিশপুর,	
thanvi,	ঠাঁবী,	থানভী,	
patenter,	পতেন্টের,	পেটেন্টের,	
dai,	দাই,	দিই,	
oedipush,	এডিপুশ,	ইডিপাস,	
amanisa,	অমনিসা,	অমানিশা,	
dharabahiktir,	ধারাহাবিক্তির,	ধারাবাহিকটির,	
vaider,	ভাইডের,	ভাইদের,	
chaiti,	চাইটি,	চৈতি,	
chhaanake,	চানাকে,	ছানাকে,	
beshirvagei,	বেশীরভাগই,	বেশিরভাগেই,	
keyboarder,	কেবরোরের,	কীবোর্ডের,	
ovisongson,	অভিসংসন,	অভিশংসন,	
antarctica,	আ্যান্টর্কিচক,	অ্যান্টার্কটিকা,	
kaptai,	কপ্টই,	কাপ্তাই,	
zack,	যাক,	জ্যাক,	
stationer,	স্টেশনের,	ষ্টেশনের,	
salafeta,	সালফাইট,	সালফেট,	
bhaibon,	ভৈবণ,	ভাইবোন,	
prodan,	প্রদান,	প্রদাণ,	
panctaar,	পাঁচাটার,	পাঁচটার,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
faranyata,	ফরন্যতা,	ফরম্যাট,	
mawdel,	মোডেল,	মডেল,	
alauler,	আলুলের,	আলাওলের,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
chaakti,	চাকটি,	চাকতি,	
aasar,	আসার,	আসর,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
blagaarara,	ব্লাগারার,	ব্লগাররা,	
arkimidish,	আর্কিমিশিদ,	আর্কিমিডিস,	
tofaat,	তফাত,	তফাৎ,	
jathan,	যথন,	যথন,	
makhmaley,	মক্ষলে,	মখমলে,	
dii,	ডি,	দিই,	
serup,	শেরুপ,	সেরুপ,	
faaser,	ফাসের,	ফাঁসের,	
spredsheet,	স্প্রেডসিট,	স্প্রেডশীট,	
bosano,	বসানো,	বসানো,	
bohudeen,	বহুদিন,	বহুদিন,	
youth,	ওউথ,	ইয়ুথ,	
bigepi,	বিগেপি,	বিজেপি,	
masharraf,	মোশাররফ,	মশাররফ,	
kanake,	কানাকে,	কণাকে,	
colahol,	কলাহল,	কোলাহল,	
nikot,	নিকত,	নিকট,	
swostir,	স্বস্তির,	স্বস্তির,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
ancholtitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
bohoodeen,	বহুদিন,	বহুদিন,	
skyirt,	স্কারিট,	স্কার্ট,	
amarica,	অমরিকা,	আমেরিকা,	
postay,	পোষ্টে,	পোস্টে,	
bojhao,	বোঝাও,	বোঝাও,	
valobasakey,	ভালবাসাকে,	ভালোবাসাকে,	
biqe,	বিইক,	বাইক,	
provuder,	প্রভাউডের,	প্রভুদের,	
kana,	কানা,	কণা,	
boikalya,	বৈকল্য,	বৈকল্য,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
digri,	ডিগ্রী,	ডিগ্রি,	
bolovodro,	বলভোর্দ,	বলভদ্র,	
chorbon,	চর্বন,	চর্বন,	
torabgunj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
ponthar,	পন্থার,	পন্থার,	
elakaao,	এলাকাও,	এলাকাও,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
deraa,	দেরা,	ডেরা,	
karoo,	কারু,	কারো,	
puroheetke,	পুরহীতকে,	পুরোহিতকে,	
nodiiteyi,	নদীতেই,	নদীতেই,	
shantaa,	সান্তা,	সান্তা,	
spreadsiit,	স্প্রেডিস,	স্প্রেডশীট,	
bhotara,	ভোটার,	ভোটার,	
keo,	কিও,	কেও,	
choudhoorider,	চৌধ্রীদের,	চৌধুরীদের,	
swarthe,	স্বার্থে,	স্বার্থে,	
uzbekistaner,	উজজেকসিতনের,	উজবেকিস্তানের,	
lohaar,	লোহার,	লোহার,	
average,	অ্যাভারেজ,	এভারেজ,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
cade,	কেড,	কোড,	
dimbacriti,	দিম্বকৃর্তি,	ডিম্বাকৃতি,	
duplee,	দাপলী,	ডুপ্লে,	
huk,	হুক,	হুক,	
paade,	পাদে,	পাড়ে,	
siddhantao,	সিদ্ধানতা,	সিদ্ধান্তও,	
hurricane,	হারিকেন,	হ্যারিকেন,	
dipon,	দিপন,	দীপন,	
ketechila,	কেটেছিল,	কেটেছিল,	
alubokhara,	আলুবকরা,	আলুবোখারা,	
manhputa,	মনফুপতা,	মনঃপুত,	
aazaadeer,	আজাদীর,	আজাদীর,	
elakatir,	এলাকাতির,	এলাকাটির,	
seekkhokbrindo,	শিক্ষাবকৃন্দ,	শিক্ষকবৃন্দ,	
emerjency,	এমরেজ্নে,	এমার্জেন্সি,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
teempaleeta,	টিম্পলিত,	টেম্পলেট,	
seconder,	সেকন্ডার,	সেকেন্ডের,	
sulfatee,	সালফাটি,	সালফেট,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
kibord,	কিবোর্ড,	কীবোর্ড,	
bibader,	বিবাদের,	বিবাদের,	
dhwajbhanga,	ধ্বজঙ্গ,	ধ্বজভঙ্গ,	
daktikiter,	দাকটিকিতের,	ডাকটিকিটের,	
thawre,	থারে,	থরে,	
parijaner,	পরিজানের,	পরিজনের,	
dhan,	ধন,	ধ্যান,	
dunkan,	দানকন,	ডানকান,	
shomoshto,	সমস্ত,	সমস্ত,	
prrajanankaal,	প্রূণননকাল,	প্রজননকাল,	
nebhatey,	নিভাতে,	নেভাতে,	
onupater,	অনুপাতের,	অনুপাতের,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
dabarer,	দাবরের,	দাবারের,	
queery,	কিরি,	কোয়েরি,	
lendol,	লেন্ডল,	লেন্ডল,	
samoshti,	সমস্তি,	সমষ্টি,	
chirohorith,	চিরহির,	চিরহরিৎ,	
doorotomo,	দুরতম,	দূরতম,	
harbour,	হার্বুর,	হারবার,	
proshadhoner,	প্রোধাদনের,	প্রসাধনের,	
robot,	রোবট,	রোবোট,	
path,	পথ,	পাথ,	
tottenhamer,	তত্নেহ্যেম,	টটেনহামের,	
jati,	জাতি,	যাতি,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
qanasarabheshana,	কনসারভেশন,	কনসারভেশন,	
udbhaboni,	উদ্ভববনী,	উদ্ভাবনী,	
artilary,	অর্টিলারি,	আর্টিলারি,	
sukhma,	সূখ্ম,	সুক্ষ্ম,	
modeler,	মোডেলের,	মডেলের,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
canservatian,	কনসার্বেশন,	কনসারভেশন,	
creesceent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
abheedhaaneek,	আভিধানিক,	অভিধানিক,	
bota,	বোতা,	বটা,	
jwoluk,	জুলুক,	জ্বলুক,	
upobasee,	উপবাসী,	উপবাসী,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
hooq,	হোক,	হুক,	
shatokei,	সতকেই,	শতকেই,	
duplex,	ডাপলেক্স,	ডুপ্লে,	
shasonkorta,	শশনকর্তা,	শাসনকর্তা,	
eidaning,	ইইডেনিং,	ইদানীং,	
ispredshit,	ইসপ্রেডিট,	স্প্রেডশীট,	
oojbekistan,	উজবেকস্তিন,	উজবেকিস্তান,	
isahak,	ইসহাক,	ইসাহাক,	
enamela,	এনামেলা,	এনামেল,	
natshi,	নাৎসী,	নাত্সি,	
liseens,	লিসেন্স,	লাইসেন্স,	
pushtir,	পুস্টির,	পুষ্টির,	
rapto,	রাপতত,	রপ্ত,	
conseervation,	কনসার্বেশন,	কনসারভেশন,	
seqtara,	সেক্টার,	সেক্টর,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
prostutkarak,	প্রস্তুতকরক,	প্রস্তুতকারক,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
adhuna,	অধুনা,	অধুনা,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
gajipur,	গাজীপুর,	গাজিপুর,	
durgoto,	দুর্গত,	দূর্গত,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
deembakriti,	দিম্বকৃরিতি,	ডিম্বাকৃতি,	
krus,	ক্রাশ,	ক্রুশ,	
maailey,	মাইলে,	মাইলে,	
melborne,	মেলবর্্নে,	মেলবোর্নে,	
aazaan,	আযান,	আজান,	
ghosito,	ঘষিত,	ঘোষিত,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
chetana,	চিতানা,	চেতনা,	
durga,	দূর্গা,	দুর্গ,	
naren,	নরেন,	নরেন,	
obolokon,	অবলকোন,	অবলোকন,	
ogobhir,	অগভীর,	অগভীর,	
yuk,	ইউক,	ইয়াক,	
keengdom,	কিংদদম,	কিংডম,	
arbit,	আরবিত,	অরবিট,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
ganosakkhorota,	গণসখ্করতা,	গণসাক্ষরতা,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
saras,	সারস,	সরস,	
helloin,	হেলোন,	হ্যালোইন,	
sbaajaner,	স্বজনের,	স্বজনের,	
parqing,	পার্কিং,	পার্কিং,	
ekoghoore,	একঘুরে,	একঘরে,	
satthik,	সাঠিক,	সঠিক,	
hoondayi,	হান্ডেই,	হুন্দাই,	
soinyo,	সৈন্য,	সৈন্য,	
truup,	ত্রুপ,	ট্রুপ,	
ewer,	এভার,	এভার,	
taunashhipa,	তৌনশিপ,	টাউনশিপ,	
sothikata,	সথিকতা,	সঠিকতা,	
faksa,	ফাকসা,	ফক্স,	
aajeej,	আজীজ,	আজিজ,	
jameser,	জামসের,	জেমসের,	
sarboshokteeman,	সর্বশক্ষিতান,	সর্বশক্তিমান,	
bang,	বং,	ব্যাং,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
direectoratee,	ডিরেক্টরাট,	ডিরেক্টরেট,	
ghatlo,	ঘটলো,	ঘটল,	
ekpase,	একপাশে,	একপাশে,	
provritite,	প্রভূতিতে,	প্রভৃতিতে,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
dwipgulote,	দিপ্গুলোতে,	দ্বীপগুলোতে,	
prakalpaguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
krok,	ক্রক,	ক্রোক,	
hock,	হক,	হুক,	
obosan,	অবসান,	অবসান,	
sabhanetree,	সভাননেত্রী,	সভানেত্রী,	
apadan,	আপদান,	অপাদান,	
shalsa,	সালস,	সালসা,	
rubidium,	রোবিডিয়াম,	রুবিডিয়াম,	
chalachchitrotike,	চলচ্চতত্রিকে,	চলচ্চিত্রটিকে,	
depp,	ডীপ,	ডেপ,	
haila,	হইল,	হইল,	
agamaner,	অগমনের,	আগমনের,	
tenisa,	টেনিস,	টেনিস,	
abortey,	আবর্তে,	আবর্তে,	
udbodhane,	উদ্বধানে,	উদ্বোধনে,	
songosthati,	সংস্থটাতি,	সংস্থাটি,	
soomi,	সুমি,	সুমি,	
bosontey,	বসন্তে,	বসন্তে,	
govornorer,	গভর্নরের,	গভর্ণরের,	
gobeshonar,	গবেষণার,	গবেষনার,	
chalai,	চালাই,	চালাবে,	
byabaharkareederke,	ব্যবহারকারীদের,	ব্যবহারকারীদেরকে,	
neermolota,	নির্মলতা,	নির্মলতা,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
shaahoshikataar,	সাহসিকতার,	সাহসিকতার,	
chaalaabi,	চালাবি,	চালাবে,	
mmadhobbir,	মাধবব্তির,	মাধবীর,	
kumari,	কুমারী,	কুমারী,	
elaakaate,	আলাকাতে,	এলাকাতে,	
bhuushito,	ভূষিষিত,	ভূষিত,	
foshter,	ফোস্টার,	ফস্টার,	
rato,	রত,	রত,	
damanmulok,	দমনমূলক,	দমনমূলক,	
korimke,	করিমকে,	করিমকে,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
ekai,	একই,	একাই,	
joones,	জুনেস,	জোন্স,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
neelkuthir,	নীলকুঠির,	নীলকুঠির,	
ghetoo,	ঘটও,	ঘেটু,	
deebug,	দিবুগ,	ডিবাগ,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
poorohitke,	পুরহীতকে,	পুরোহিতকে,	
chiranton,	চিরান্তন,	চিরন্তন,	
dinner,	দিনের,	ডিনার,	
majlishpur,	মজ্লিিপর,	মজলিশপুর,	
romantik,	রোমান্তিক,	রোমান্টিক,	
pashaner,	পাশনের,	পাষাণের,	
onurbar,	অনুর্বর,	অনুর্বর,	
chamoski,	চামস্কি,	চমস্কি,	
balatkar,	বলতকার,	বলাৎকার,	
chapal,	চপাল,	চপল,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
starc,	স্ট্র্ক,	স্টার্ক,	
jamaanor,	জামানোর,	জমানোর,	
niropekshtar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
mawdeel,	মাডিল,	মডেল,	
pustio,	পুষ্টিও,	পুষ্টি,	
samajeri,	সমাজারি,	সমাজেরই,	
nirabata,	নীরবতা,	নিরবতা,	
juktarashtrosaha,	যুক্তরস্বরসহ,	যুক্তরাষ্ট্রসহ,	
ap,	অ্যাপ,	আপ,	
mittrer,	মিত্রের,	মিত্রের,	
airesey,	এইরেশে,	আইরেসে,	
jatti,	জাতটি,	জাতটি,	
nochiketa,	নচিকতা,	নচিকেতা,	
artherer,	আর্থারের,	আর্থারের,	
arthanitite,	অর্থনিতিতে,	অর্থনীতিতে,	
aholla,	আহলা,	অহল্যা,	
templet,	ট্যাম্পলেট,	টেম্পলেট,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
bojhaao,	বোঝাও,	বোঝাও,	
cholocchitrigulor,	চলচ্তিতিগুলোর,	চলচ্চিত্রগুলোর,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
vittimul,	ভীত্মূম,	ভিত্তিমূল,	
taffsher,	টাফসের,	তাফসীর,	
lyata,	ল্যাট,	ল্যাটা,	
netherlander,	নেথারল্যান্ডের,	নেদারল্যান্ডের,	
ohang,	আহং,	অহং,	
floodlighter,	ফ্লোডাইল্টের,	ফ্লাডলাইটের,	
asbar,	আসবার,	আসবার,	
gacher,	গাছের,	গাছের,	
nirbaho,	নির্বাহ,	নির্বাহ,	
hosain,	হোসাইন,	হোসেইন,	
chhanake,	ছানাকে,	ছানাকে,	
shotoker,	শতকের,	শতকের,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
porikhar,	পরীখ্ার,	পরিখার,	
saccer,	স্কার,	সকার,	
daver,	ডাভের,	ডোভার,	
holding,	হোলডিং,	হোল্ডিং,	
heepataitisa,	হেপটাইটিস,	হেপাটাইটিস,	
dhoorer,	ধরের,	ধরের,	
gazipore,	গাজীপারে,	গাজীপুর,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
tovnship,	তন্ষীপ,	টাউনশিপ,	
onkush,	অঙ্কুশ,	অংকুশ,	
ddhila,	ঢিলা,	ঢিলা,	
yuroo,	ইয়ুরো,	ইউরো,	
naazee,	নাজী,	নাত্সি,	
gorer,	গরের,	গোরের,	
ghatkey,	ঘটকে,	ঘাটকে,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
zoneete,	যোনিতে,	যোনীতে,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
jokrito,	যকৃত,	যকৃৎ,	
oindreela,	ইইন্ডেরেল,	ঐন্দ্রিলা,	
shayanaida,	সাইয়াইড,	সায়ানাইড,	
parkasa,	পর্কস,	পার্কস,	
teamothy,	তিমথি,	টিমোথি,	
anodhikaar,	অনধিকার,	অনধিকার,	
shilabhara,	সিলভার,	সিলভার,	
obosore,	অবসরে,	অবসরে,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
pillai,	পিল্লাই,	পিল্লাই,	
behrampurer,	বেহারমপুরের,	বহরমপুরের,	
sabchey,	সবচে,	সবচে,	
deeliveer,	ডিলিভির,	ডেলিভার,	
jaank,	জাঁক,	জাঁক,	
rajashri,	রাজার্ী,	রাজশ্রী,	
sainyo,	সৈইন্য,	সৈন্য,	
bhumijo,	ভূমিজ,	ভূমিজ,	
huqa,	হুক,	হুক,	
agam,	আগাম,	আগম,	
chetanagato,	ছিতানগত,	চেতনাগত,	
pray,	প্রে,	প্রায়,	
hizrite,	হিজরিতে,	হিজরীতে,	
durgondho,	দুরগন্ধ,	দুর্গন্ধ,	
phox,	ফ্যাক্স,	ফক্স,	
maudelgulo,	মাদেলগুলো,	মডেলগুলো,	
kanar,	কানার,	কণার,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
beetloser,	বিটলসের,	বিটলসের,	
sporsher,	স্পর্ষের,	স্পর্শের,	
moldowa,	মলদ্বো,	মলদোভা,	
militarir,	মিলিটারীর,	মিলিটারির,	
uparzoner,	উপরজনের,	উপার্জনের,	
vimsen,	ভীমসেন,	ভীমসেন,	
monjhoshtho,	মঞ্চস্থ,	মঞ্চস্থ,	
platoo,	প্লট,	প্লেটো,	
chheelonaa,	ছিলনা,	ছিলনা,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
modeel,	মোডীল,	মডেল,	
badna,	বদনা,	বদনা,	
refleks,	রেফলেক্স,	রিফ্লেক্স,	
chhedon,	ছেদন,	ছেদন,	
choudhooreeo,	চৌধুরেও,	চৌধুরীও,	
roktokshoroner,	রক্তক্ষরণের,	রক্তক্ষরণের,	
shepha,	সেফ,	শেফ,	
shalook,	সালুক,	শালুক,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
jak,	যাক,	জাঁক,	
kiiborde,	কিবোর্ডে,	কীবোর্ড,	
jerusalemer,	জেরুসলামের,	জেরুজালেমের,	
pooshteer,	পুস্তির,	পুষ্টির,	
conservetion,	কনসার্বেশন,	কনসারভেশন,	
bhenna,	ভেন্না,	ভেন্না,	
utsahe,	উত্সাহে,	উৎসাহে,	
muchir,	মুছির,	মুচির,	
kemane,	কেমনে,	কেমনে,	
kartam,	কর্তম,	করতাম,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
badei,	বাদেই,	বাদেই,	
kaantojir,	কান্তজীর,	কান্তজির,	
bhalobass,	ভালবাস,	ভালোবাসা,	
