ahalya,	অহল্য,	অহল্যা,	
megher,	মেঘের,	মেঘের,	
palki,	পালকি,	পাল্কি,	
byke,	বিইকে,	বাইক,	
kreedita,	কৃরিতা,	ক্রেডিট,	
kaaferder,	কাফেরদের,	কাফেরদের,	
patengar,	পটেে্গার,	পতেঙ্গার,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
nagnyo,	নাগ্য,	নগণ্য,	
beekargrasta,	বিকর্রস্ত,	বিকারগ্রস্ত,	
karecho,	করেছ,	করেছো,	
mugdhota,	মুগধতা,	মুগ্ধতা,	
santoshpur,	সন্তঃপুর,	সন্তোষপুর,	
poschimae,	পশ্চিমে,	পশ্চিমে,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
diyenes,	ডাইনেশ,	ডিএনএস,	
baarbaadoj,	বার্বাজোজ,	বার্বাডোজ,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
somonwitobhabey,	সমানভীতভাবে,	সমন্বিতভাবে,	
hoeel,	হইল,	হইল,	
ispreedsheet,	ইসপৃশেশিত,	স্প্রেডশীট,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
shamijir,	সমীজীর,	স্বামীজীর,	
gandhio,	গন্ধিও,	গান্ধীও,	
laisensim,	লাইসেন্সিং,	লাইসেন্সিং,	
chhutochhuti,	ছুটুচুটি,	ছুটোছুটি,	
ovizojon,	অভিযোজন,	অভিযোজন,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
bhaisaha,	বৈষহ,	ভাইসহ,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
pretty,	প্রেতি,	প্রিটি,	
lobbyte,	লব্বিতে,	লবিতে,	
zoneete,	জনিতে,	যোনীতে,	
saom,	সাম,	সাওম,	
karmer,	করমের,	কর্মের,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
dayna,	ডাইনা,	ডায়না,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
lajek,	লাজেক,	লজিক,	
duplex,	ডাপ্লেক্স,	ডুপ্লে,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
enginearing,	ইন্গিনারিজ,	ইঞ্জিনিয়ারিং,	
sumita,	সুমিত,	সুমিতা,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
bhashik,	ভাষিক,	ভাষিক,	
koda,	কোড,	কোডা,	
bakhyateet,	বায্খ্যাটি,	ব্যাখ্যাতীত,	
ja,	জা,	জ্যা,	
morodeho,	মোদেহ,	মরদেহ,	
pillai,	পিললাই,	পিল্লাই,	
mumtaj,	মমততজ,	মুমতাজ,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
mahe,	মহে,	মাহে,	
shikara,	শিকারা,	শিকার,	
kottor,	কত্বর,	কট্টর,	
creesceent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
rifleksa,	রাইফেল্স,	রিফ্লেক্স,	
setikey,	সেটিকে,	সেটিকে,	
naker,	নাকের,	নেকের,	
bagdhara,	বাধধারা,	বাগধারা,	
golpokar,	গল্পকার,	গল্পকার,	
charrjito,	চারজিি,	চার্জিত,	
dibidh,	দিবিধ,	দ্বিবিধ,	
taiteela,	তাইটেল,	টাইটেল,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
tistaar,	তিস্তার,	তিস্তার,	
palashir,	পালসির,	পলাশীর,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
karam,	করম,	কেরাম,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
janake,	জনকে,	জানাতে,	
mahasabha,	মহাসব,	মহাসভা,	
chhanake,	ছানাকে,	ছানাকে,	
hypar,	হাইপার,	হাইপার,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
giitikobitar,	গীতিকবিতার,	গীতিকবিতার,	
uposhthit,	উপস্থিত,	উপস্থিত,	
inamila,	ইনামিল,	এনামেল,	
ebhara,	ইভার,	এভার,	
maddhobir,	মাধ্ববীর,	মাধবীর,	
grootha,	গ্রুথ,	গ্রোথ,	
maahe,	মাহে,	মাহে,	
shuperhero,	সুপারের,	সুপারহিরো,	
pudinn,	পুদিন,	পুডিং,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
laishenshim,	লাইসেন্সিং,	লাইসেন্সিং,	
dhhaaby,	ঢাবি,	ঢাবি,	
jwalbe,	জ্বলবে,	জ্বলবে,	
chhuteer,	ছুটির,	ছুটির,	
dhhaby,	ধাবি,	ঢাবি,	
bajhyo,	বায্য,	বাহ্য,	
cholechi,	চলেছি,	চলেছি,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
diana,	ডায়ানো,	ডায়না,	
chapal,	চপল,	চপল,	
nyaper,	ন্যাপের,	ন্যাপের,	
shkalastic,	স্কলালস্টিক,	স্কলাস্টিক,	
simmons,	সিমন্স,	সিমন্স,	
gatee,	গেট,	গ্যেটে,	
farid,	ফরীদ,	ফরিদ,	
bishesyo,	বিশেষও,	বিশেষ্য,	
tatira,	ততিরর,	তাঁতিরা,	
kandey,	কান্ডে,	কাণ্ডে,	
torunke,	তরুনকে,	তরুণকে,	
moshzidshoho,	মশ্চিমসহ,	মসজিদসহ,	
talaal,	তালাল,	তালাল,	
norpholk,	নরফলক,	নরফোক,	
naarsari,	নার্সারী,	নার্সারি,	
shodhan,	সোধন,	শোধন,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
bonaa,	বোনা,	বোনা,	
twoei,	তিউই,	ত্বকেই,	
tonga,	তঙ্গ,	টোঙ্গা,	
codee,	কোডি,	কোডে,	
kartona,	কর্তনা,	করতনা,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
chhanee,	ছানে,	ছানি,	
konruup,	ক্ররূপ,	কোনরূপ,	
bapokotor,	বাযপকতর,	ব্যাপকতর,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
dosheeder,	দশীদের,	দোষীদের,	
porissrom,	পরিশ্রম,	পরিশ্রম,	
heart,	হার্ট,	হার্ট,	
priimoo,	প্রাইমো,	প্রিমো,	
liceensee,	লিসেন্সি,	লাইসেন্স,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
obharbhiu,	অভর্ভি,	ওভারভিউ,	
sabrakomer,	সব্রকমের,	সবরকমের,	
talaa,	তালা,	তালা,	
badei,	বাদেই,	বাদেই,	
faaser,	ফাসের,	ফাঁসের,	
ingrezder,	ইংরেজের,	ইংরেজদের,	
provuder,	প্রভূদের,	প্রভুদের,	
joistha,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
jonsa,	জনসা,	জোন্স,	
vimshen,	ভীমসেন,	ভীমসেন,	
tamplate,	টাম্পলেট,	টেম্পলেট,	
cbi,	সিই,	সিবিআই,	
bhimsen,	ভীমসেন,	ভীমসেন,	
oedipush,	ওদিপাস,	ইডিপাস,	
kandy,	কান্ডি,	ক্যান্ডি,	
jammu,	জম্মু,	জম্মু,	
veenish,	ভীনিশ,	ভেনিস,	
ebham,	ইভাম,	ইভিএম,	
nathibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
hyaloin,	হ্যাললইন,	হ্যালোইন,	
pratul,	প্রতুল,	প্রতুল,	
naneer,	নানীর,	নানীর,	
lendol,	লেন্ডল,	লেন্ডল,	
adhyatmikatar,	অধ্যাতিকতার,	আধ্যাত্মিকতার,	
baik,	বাইক,	বাইক,	
karmosansthaner,	কর্মসংখ্যানের,	কর্মসংস্থানের,	
wool,	ওয়েল,	উল,	
tinti,	তিনটি,	তিনটি,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
bahaal,	বহহাল,	বহাল,	
karadandey,	কারাদণ্ডে,	কারাদণ্ডে,	
fand,	ফাঁ্ড,	ফান্ড,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
istoone,	ইস্তুনে,	স্টোন,	
saaed,	সাইড,	সাইদ,	
dhormantor,	ধর্মন্তর,	ধর্মান্তর,	
songbadmadhyame,	সংবাধমামে,	সংবাদমাধ্যমে,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
poscime,	পশ্চিমে,	পশ্চিমে,	
sadeena,	সাডিনা,	সাডেন,	
spreeadshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
oopohoron,	উপহরণ,	অপহরন,	
faster,	ফাস্টের,	ফস্টার,	
parjotaker,	পর্যটাকের,	পর্যটকের,	
huka,	হুক,	হুক,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
addhattikotar,	আধ্যা্তিকতার,	আধ্যাত্মিকতার,	
hajaribag,	হাজারীবাগ,	হাজারিবাগ,	
nothibhooktir,	নথিভক্তির,	নথিভুক্তির,	
bhabotarini,	ভাততারীণী,	ভবতারিণী,	
haphsa,	হাফস,	হাফসা,	
kathhmandu,	কাঠমুন্ডু,	কাঠমান্ডু,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
qor,	কোর,	কর,	
stonehenj,	স্টনেহেজ,	স্টোনহেঞ্জ,	
fanskari,	ফাস্কারী,	ফাঁসকারী,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
blaker,	ব্লকের,	ব্ল্যাকের,	
dajjho,	দাজ্য,	দাহ্য,	
muscat,	মুসকাট,	মাস্কাট,	
buffer,	বাফার,	বাফার,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
hobu,	হবু,	হবু,	
veniser,	ভেনিসের,	ভেনিসের,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
chaakaa,	চাকা,	চাকা,	
gaarnaar,	গার্নার,	গার্নার,	
torunra,	তরুনরা,	তরুণরা,	
platee,	প্লেট,	প্লেট,	
abhigomon,	আভিগমন,	অভিগমন,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
elahabade,	ইলাহাবাদে,	এলাহাবাদে,	
indr,	ইন্ডার,	ইন্দ্র,	
skara,	স্কোর,	স্কোর,	
gujober,	গুজবের,	গুজবের,	
elaakatir,	এলাকাটির,	এলাকাটির,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
thaken,	থাকেন,	থাকেন,	
aksharke,	আক্ষরকে,	অক্ষরকে,	
duncan,	ডানকন,	ডানকান,	
laishensh,	লাইসেন্স,	লাইসেন্স,	
hoonayin,	হোনেইন,	হুনাইন,	
boarana,	বোরানা,	বোরন,	
konan,	কোন,	কোনান,	
kulo,	কুলো,	কুলো,	
gaugee,	গৌগে,	গেজ,	
elakatite,	এলাকাতি,	এলাকাটিকে,	
ide,	আদে,	আইডিই,	
ishahak,	ইসহাক,	ইসাহাক,	
taurist,	টারিস্ট,	টুরিস্ট,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
akhhunno,	অখুন্য,	অক্ষুণ্ণ,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
rabo,	রব,	রব,	
crescenter,	ক্রেস্কেটের,	ক্রিসেন্টের,	
paltechhey,	পাল্ছেে,	পাল্টেছে,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
thailandsaho,	থাইল্যান্সহ,	থাইল্যান্ডসহ,	
madhukooree,	মধুকরি,	মাধুকরী,	
cross,	ক্রস,	ক্রুশ,	
conseervation,	কনসারভেশন,	কনসারভেশন,	
jahor,	জাহর,	জহর,	
anupater,	অনুপাতের,	অনুপাতের,	
calabe,	চালাবে,	চালাবে,	
jeesh,	জিস,	জেস,	
gaphiloti,	গাফলীটি,	গাফিলতি,	
elakatay,	এলাকাতে,	এলাকাতে,	
chitronatyakar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
milekhaanek,	মিলেখানাক,	মাইলখানেক,	
maudeling,	মডউলেলিং,	মডেলিং,	
uparjaner,	উপর্জনের,	উপার্জনের,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
byaboharkari,	ব্যবহারককারী,	ব্যবহারকারী,	
qulim,	কুলিং,	কুলিং,	
chakti,	চক্তি,	চাকতি,	
birishirite,	বিরিষীতিতে,	বিরিশিরিতে,	
abheegomon,	আভিগমন,	অভিগমন,	
leaders,	লিডার্স,	লিডার্স,	
koordira,	কুর্দিরা,	কুর্দিরা,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
iqbaler,	ইক্বলের,	ইকবালের,	
grantha,	গ্রন্থ,	গ্রন্থ,	
harees,	হরিস,	হ্যারিস,	
muhit,	মুহিত,	মুহিত,	
ghurte,	ঘুর্টে,	ঘুরতে,	
zohns,	জোস,	জন্স,	
holding,	হলিড,	হোল্ডিং,	
dovar,	দোভার,	ডোভার,	
shatodha,	শতধ,	শতধা,	
neshnosh,	নেশন,	নেশনস,	
kota,	কোট,	কোটা,	
shiramikasha,	সিরামিকাশ,	সিরামিকস,	
yaaq,	যাক,	ইয়াক,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
kar,	কোর,	কর,	
shpredashhita,	স্প্রেসাডিট,	স্প্রেডশীট,	
ganana,	গণনা,	গননা,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
adbhanced,	অ্যাডভেন্সেড,	অ্যাডভান্সড,	
antorvuktimulak,	অন্তর্ভূমি্্লািক,	অন্তর্ভুক্তিমূলক,	
rk,	আরিক,	আরকে,	
poorohitke,	পুরহিতকে,	পুরোহিতকে,	
silbhi,	সিলভী,	সিলভি,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
heriken,	হেরিকেন,	হ্যারিকেন,	
superheroo,	সুপারেরও,	সুপারহিরো,	
jakkha,	যক্ষ্মা,	যক্ষ,	
asociates,	অসযাকসাটিস,	এসোসিয়েটস,	
armshtrong,	আর্টম্্্রস,	আর্মস্ট্রং,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
plus,	প্লাস,	প্লাস,	
opargota,	অপর্গত,	অপারগতা,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
hariken,	হরিকেন,	হ্যারিকেন,	
unitshoho,	ইউনিৎসহ,	ইউনিটসহ,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
dadar,	দাদার,	দাদার,	
konphlikt,	কংফলিক্ট,	কনফ্লিক্ট,	
pachchen,	পাঁছেন,	পাচ্ছেন,	
kada,	কাদ,	কোড,	
sikhechi,	শিখেছি,	শিখেছি,	
bhogirath,	ভোগীরথ,	ভগীরথ,	
bo,	বো,	বু,	
goteebege,	গতিবেগে,	গতিবেগে,	
bonvumi,	বনভূমি,	বনভূমি,	
saazano,	সাজান,	সাজানো,	
sahabah,	সহাব,	সাহাবাহ,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
unit,	ইউনিট,	ইউনিট,	
boneo,	বোনেও,	বনেও,	
mucus,	মুউক,	মিউকাস,	
stonaheenja,	স্থনানীজ্য,	স্টোনহেঞ্জ,	
shuparahiro,	সুপারহির,	সুপারহিরো,	
shcholashtic,	স্কলালস্টিক,	স্কলাস্টিক,	
phoksher,	ফোক্সের,	ফক্সের,	
porishkoron,	পরিস্করণ,	পরিষ্করণ,	
stationer,	স্টেশনের,	ষ্টেশনের,	
taanteera,	তাঁটটারি,	তাঁতিরা,	
bibadey,	বিবদে,	বিবাদে,	
jatook,	যতুক,	জাতক,	
parisankhyanvid,	পরিসংখ্যানিড,	পরিসংখ্যানবিদ,	
sabrakamer,	সব্রকমের,	সবরকমের,	
ashonka,	আশঙ্ক,	আশঙ্কা,	
bosturoi,	বস্তুরই,	বস্তুরই,	
mekong,	মেকং,	মেকং,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
jani,	জনি,	জনি,	
godavari,	গদভারী,	গোদাবরী,	
bongobondhu,	বঙ্গববন্ধু,	বঙ্গবন্ধু,	
canal,	কানাল,	ক্যানেল,	
lojic,	লোজিক,	লজিক,	
jahara,	জাহরা,	যাহরা,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
kaathhaamaandu,	কাঠামুন্ড,	কাঠমান্ডু,	
ponchashjon,	পঞ্চাশন,	পঞ্চাশজন,	
ekatto,	একাত্ব,	একাত্ব,	
vagna,	ভাগনা,	ভগ্ন,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
utkhater,	উৎখাতের,	উৎখাতের,	
oitijjhe,	ঐতিঝ্যে,	ঐতিহ্যে,	
ghur,	ঘুর,	ঘুর,	
shrichaitanyadeb,	শ্রীচৈতন্ববেদে,	শ্রীচৈতন্যদেব,	
padarthabidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
janoika,	জানিকা,	জনৈকা,	
lisense,	লিজেন্সে,	লাইসেন্স,	
gemi,	জিমি,	জেমি,	
aameenaar,	আমিনার,	আমিনার,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
gandhike,	গান্ধিকে,	গান্ধীকে,	
podarthobidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
kredit,	ক্রেডিট,	ক্রেডিট,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
saabbir,	সাব্ির,	সাব্বির,	
superhiro,	সুপারিরও,	সুপারহিরো,	
khalidke,	খালিদকে,	খালিদকে,	
sahooseekotar,	সহুষিকতার,	সাহসিকতার,	
atmabiswasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
sur,	শুর,	সুর,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
advut,	অ্যাডভুট,	অদ্ভুত,	
meeting,	মেটিং,	মিটিং,	
gabhaaskar,	গভভাসকর,	গাভাস্কার,	
nojder,	নজ্দের,	নজদের,	
turkmeen,	তুর্কমীন,	তুর্কমেন,	
bidrohiderkey,	বিদ্রোহীদকে,	বিদ্রোহীদেরকে,	
cuti,	কুটি,	কিউটি,	
anhu,	অ্যু,	আনহু,	
zansa,	জাস্স,	জন্স,	
uporitoler,	উপরিতলের,	উপরিতলের,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
thatcher,	তাৎছের,	থ্যাচার,	
laboni,	লাণী,	লাবনী,	
batsmanei,	বাতসমেই,	ব্যাটসম্যানই,	
pacbbar,	পাববার,	পাঁচবার,	
horas,	হরাস,	হোরাস,	
sanghar,	সংঘর,	সংহার,	
euror,	ইউরোর,	ইউরোর,	
vvimsenn,	ভিমসেন,	ভীমসেন,	
qarqa,	কর্ক,	কার্ক,	
directorete,	ডিরেক্টরিতে,	ডিরেক্টরেট,	
jackey,	জাকে,	জকি,	
mohammad,	মোহাম্মাদ,	মুহাম্মদ,	
oholya,	অহল্য,	অহল্যা,	
dhanche,	ধাঁচে,	ধাঁচে,	
ancholtitey,	আঞ্চল্তিতে,	অঞ্চলটিতে,	
kaantojir,	কাঁটতজির,	কান্তজির,	
methaner,	মেথনের,	মিথেনের,	
madhuri,	মাধুরী,	মাধুরী,	
korleyi,	করলেই,	করলেই,	
lettar,	লেটার,	লেটার,	
pratool,	প্রতুল,	প্রতুল,	
associatees,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
udbodhonee,	উদ্বধধী,	উদ্বোধনী,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
antarbhuttirmulok,	অন্তর্তমূূল্তকীল,	অন্তর্ভুক্তিমূলক,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
shoo,	শো,	শো,	
malaika,	মালাইক,	মালাইকা,	
pacbar,	পাববার,	পাঁচবার,	
dwipgulote,	দ্বীপগুলোতে,	দ্বীপগুলোতে,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
shukna,	শুকনা,	শুকনা,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
shibraj,	শিব্রজ,	শিবরাজ,	
asamanjashapurna,	অসমানস্বর্ণ,	অসামঞ্জস্যপূর্ণ,	
ingrejra,	ইংরেজ্রা,	ইংরেজরা,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
gabhaskaar,	গভষ্কর,	গাভাস্কার,	
spostotoi,	স্পটস্ততি,	স্পষ্টতই,	
aagera,	আগেরা,	আগোরা,	
makhmoley,	মাখমে,	মখমলে,	
shahab,	সাহাব,	সাহাব,	
relance,	রিলেন্স,	রিলায়েন্স,	
murader,	মুরাদের,	মুরাদের,	
addhatikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
onnoroop,	অন্যপুপ,	অন্যরূপ,	
reesideencee,	রেসিডেন্সি,	রেসিডেন্স,	
byaboharkarie,	ব্যবহারককারী,	ব্যবহারকারীই,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
dap,	দাপ,	ড্যাপ,	
modele,	মোডেলে,	মডেলে,	
shchalastik,	স্কলালস্টিক,	স্কলাস্টিক,	
aakaabar,	আঁকাবার,	আকাবার,	
version,	ভার্সন,	ভারশন,	
madhabike,	মাধবীকে,	মাধবীকে,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
parishram,	পরিশ্রম,	পরিশ্রম,	
shangsthaner,	সংস্থনের,	সংস্থানের,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
andaman,	আন্দমান,	আন্দামান,	
shaatjoner,	সাতজনের,	সাতজনের,	
eutey,	ইউটি,	ইইউতে,	
cheettronnattokar,	চিত্রনাত্বকার,	চিত্রনাট্যকার,	
palestine,	পালেস্টিনে,	প্যালেস্টাইনে,	
groowth,	গ্রুথ,	গ্রোথ,	
gage,	গাগে,	গেজ,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
maarmaader,	মারমাদের,	মারমাদের,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
swajan,	স্বজন,	স্বজন,	
cheere,	চীরে,	চিরে,	
ikbaaler,	ইকবালের,	ইকবালের,	
lagche,	লাগছে,	লাগছে,	
goteehin,	গতিহীন,	গতিহীন,	
shyutara,	স্যুটার,	শ্যুটার,	
totokshon,	ততক্ষণ,	ততক্ষন,	
asamonjoshopurno,	অসমাস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
chaalke,	চালকে,	চালকে,	
vagno,	ভাগন,	ভগ্ন,	
dephinition,	ডেফিনিটন,	ডেফিনেশন,	
juddhahato,	যুদ্ধহত,	যুদ্ধাহত,	
foshter,	ফোস্টার,	ফস্টার,	
hundai,	হান্ডে,	হুন্দাই,	
noubihar,	নৌবিহার,	নৌবিহার,	
marpit,	মার্পিট,	মারপিট,	
dipti,	দিপ্তি,	ডেপুটি,	
susamo,	সুসম,	সুসম,	
samanno,	সমান্ন,	সামান্য,	
bage,	বাগে,	বাগে,	
serverey,	সার্ভেরে,	সার্ভারে,	
se,	সে,	সে,	
asamorik,	অসামরিক,	অসামরিক,	
feroz,	ফেরজ,	ফিরোজ,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
chanje,	চাঁজে,	চেঞ্জ,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
satan,	সততান,	শয়তান,	
macho,	মাচ,	মাছও,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
khude,	খুঁডে,	ক্ষুদে,	
manohar,	মাোহর,	মনোহর,	
aireshe,	আইরেশে,	আইরেসে,	
madrasa,	মাদরাস,	মাদ্রাসা,	
rupdan,	রূপদণ,	রুপদান,	
batsmaner,	বৎসমের,	ব্যাটসম্যানের,	
agrodut,	আগ্রদুত,	অগ্রদূত,	
cheerota,	চিরতা,	চিরতা,	
bairer,	বায়ের,	বাইরের,	
borana,	বরানা,	বোরন,	
janmat,	জন্মত,	জন্মাত,	
mododpusto,	মদদপ্যস্ত,	মদদপুষ্ট,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
atyacharito,	অত্যচািত,	অত্যাচারিত,	
laiseensim,	লাইসেন্সিং,	লাইসেন্সিং,	
chetnagato,	ছিতনগত,	চেতনাগত,	
jesh,	জেস,	জেস,	
seatey,	সিটে,	সিটে,	
kuarter,	কোয়ার্টার,	কোয়ার্টার,	
tooni,	টুনি,	টুনি,	
karkatkranti,	কর্ককৃটনাটি,	কর্কটক্রান্তি,	
masjidtir,	মাসিদটির,	মসজিদটির,	
varote,	ভারতে,	ভারতে,	
itastato,	ইতস্তত,	ইতস্তত,	
dharabahiker,	ধারাাাহীকের,	ধারাবাহিকের,	
mahajote,	মহাজতে,	মহাজোট,	
dharavahiker,	ধারাাহীকের,	ধারাবাহিকের,	
kasper,	কাসপের,	ক্যাসপার,	
muzibur,	মুজিবুর,	মুজিবুর,	
karadande,	কারাদণ্ডে,	কারাদণ্ডে,	
gobeshakgon,	গবেষণকণ,	গবেষকগণ,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
senior,	সেনির,	সিনিয়র,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
kalnir,	কাল্নীর,	কালনীর,	
steena,	স্টেন,	স্টেন,	
bipozzonok,	বিপঞজনক,	বিপজ্জনক,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
niropekkhotaar,	নিরপকক্ষতার,	নিরপেক্ষতার,	
mayily,	মেলি,	মাইলি,	
ekhate,	এখাতে,	একহাতে,	
buffar,	বাফার,	বাফার,	
zesa,	জেস,	জেস,	
azim,	আজিম,	আজিম,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
sahozlabhbhotar,	সহজলভাতার,	সহজলভ্যতার,	
mozdoor,	মজ্দুর,	মজদুর,	
adbhanshd,	আ্যাডভান্স,	অ্যাডভান্সড,	
aaeereshe,	আইরেশে,	আইরেসে,	
taalgachh,	তালগাছ,	তালগাছ,	
jarusalema,	জরুসামেলা,	জেরুসালেম,	
shloker,	স্লোকার,	শ্লোকের,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
neemeetto,	নিমিত্য,	নিমিত্ত,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
shatoker,	শতকের,	শতকের,	
vitti,	ভিটি,	ভিত্তিই,	
shringga,	শ্রীঙ্গ,	শৃঙ্গ,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
gonoporeebohoner,	গণপরিণহণের,	গণপরিবহনের,	
graambashio,	গ্রাম্বাসীয়,	গ্রামবাসীও,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
sita,	সিট,	সিট,	
gasthike,	গাষ্ঠিকে,	গোষ্ঠীকে,	
jeshthaa,	যেস্থা,	জ্যেষ্ঠা,	
byataree,	ব্যাটারী,	ব্যাটারী,	
geja,	গেজ,	গেজ,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
jakrit,	যাকৃত,	যকৃৎ,	
konaa,	কোণা,	কোনা,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
koomari,	কোমরি,	কুমারী,	
neshnos,	নেশন,	নেশনস,	
choudhooreeder,	চৌধুরীদের,	চৌধুরীদের,	
unhu,	উন্,	উঁহু,	
favourite,	ফাউরীতে,	ফেভারিট,	
amiratas,	অমিরাটস,	এমিরেটাস,	
