juktarashtrasaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
kormyi,	কর্মই,	কর্মই,	
daltagi,	দলতাজী,	দলত্যাগী,	
goshthiti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
ayadabhanshada,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
bayi,	বাই,	বাঈ,	
cocaine,	কোকেন,	কোকেইন,	
laishensh,	লাইেন্স,	লাইসেন্স,	
turbine,	টার্বিনে,	টারবাইন,	
saifai,	সাইফই,	সাইফাই,	
shaajaano,	শাজানো,	সাজানো,	
monzooshree,	মঞ্জুস্রী,	মঞ্জুশ্রী,	
byatikramdharmi,	ব্যাতিক্রম্রমী,	ব্যতিক্রমধর্মী,	
moshleh,	মশলেহ,	মোসলেহ,	
utpotti,	উৎপত্তি,	উতপত্তি,	
phiksha,	ফিক্স,	ফিক্স,	
graameroi,	গ্রামায়রো,	গ্রামেরই,	
samajik,	সামজজিক,	সামাজিক,	
ssahocorzo,	সহসকর্য,	সাহচর্য,	
biswashwo,	বিশ্বস্ব,	বিশ্বাসও,	
tahalo,	তাহাল,	তাহলো,	
teamothi,	তিমোথী,	টিমোথি,	
asociatees,	অ্যাসোসিয়েটিস,	এসোসিয়েটস,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
poripaker,	পরিপাকের,	পরিপাকের,	
dharabahikbhabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
lutheran,	লুঠারণ,	লুথেরান,	
jaunotar,	যৌনতার,	যৌনতার,	
bojhaao,	বোঝাও,	বোঝাও,	
uchhoshito,	উচ্চসিত,	উচ্ছসিত,	
madraser,	মাদরাসের,	মাদ্রাজের,	
obiyi,	অবিই,	ওবিই,	
lakhindarer,	লাখিন্দ্রর,	লখিন্দরের,	
nirmankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
toroonke,	তরুণকে,	তরুণকে,	
qibord,	কিবোর্ড,	কীবোর্ড,	
patengar,	পতোঙ্গার,	পতেঙ্গার,	
thake,	থাকে,	থাকে,	
diznii,	ডিজনি,	ডিজনী,	
shektor,	সেকটর,	সেক্টর,	
daap,	ডাপ,	ড্যাপ,	
procharonamulok,	প্রচারণামূলক,	প্রচারণামূলক,	
leta,	লেট,	ল্যাটা,	
qarpeta,	কর্পিত,	কার্পেট,	
panthar,	পন্থর,	পন্থার,	
bukhari,	বুখারী,	বুখারি,	
akar,	আকার,	একার,	
jeess,	জেস,	জেস,	
recondishon,	রেকেন্ডিশন,	রিকন্ডিশন,	
oppohoron,	অপহহরণ,	অপহরন,	
lokeson,	লোকেশন,	লোকেশন,	
windo,	উইন্ডো,	উইন্ডো,	
noditir,	নদীতীর,	নদীটির,	
dharavahikeo,	ধারাভাহিকে,	ধারাবাহিকেও,	
khodeza,	খোদেজা,	খোদেজা,	
kuchir,	কুচির,	কুচির,	
foreex,	ফরিক্স,	ফরেক্স,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
dosha,	দশা,	দোসা,	
debdeby,	দেবদেবী,	দেবদেবী,	
source,	সার্স,	সোর্স,	
modelgulo,	মোডেলগুলো,	মডেলগুলো,	
obe,	ওবে,	ওবিই,	
nirikh,	নিরিখ,	নিরিখ,	
mahe,	মহে,	মাহে,	
marry,	মেরি,	ম্যারি,	
horipur,	হরিপুর,	হরিপুর,	
manobmoner,	মানবমনের,	মানবমনের,	
ishpredshhiit,	ইস্প্রেপশিত,	স্প্রেডশীট,	
valobasake,	ভালবাসকে,	ভালোবাসাকে,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
dosider,	দোশীদের,	দোষীদের,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
thailandsoho,	থাইলানসদও,	থাইল্যান্ডসহ,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
madol,	মাদল,	মাদল,	
baarak,	বারাক,	বারাক,	
bohorompurer,	বহরামপুরের,	বহরমপুরের,	
irana,	ইরান,	ইরান,	
palestine,	পালেস্টিন,	প্যালেস্টাইনে,	
bhageroi,	ভাগেরই,	ভাগেরই,	
janomukhee,	জননুমখী,	জনমুখী,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
qota,	কোট,	কোটা,	
teemothee,	তিমথি,	টিমোথি,	
barder,	বার্ডার,	বার্ডের,	
raitasha,	রাইটাস,	রাইটস,	
akjoge,	একযোগে,	একযোগে,	
sheepha,	সেফ,	শেফ,	
jeteo,	জেতেও,	যেতেও,	
stona,	স্টন,	স্টোন,	
sur,	সার,	সুর,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
kottar,	কোটর,	কট্টর,	
toroonderke,	তরুণ্দেরকে,	তরুণদেরকে,	
themekey,	থেমেকে,	থিমকে,	
daaloo,	ডালু,	ডালু,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
prothar,	প্রথার,	প্রথার,	
shpredshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
hastantar,	হাস্তানার,	হস্তান্তর,	
assastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
zinsa,	জিন্স,	জিন্স,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
nishader,	নিশাদের,	নিষাদের,	
satthikata,	সাথিকতা,	সঠিকতা,	
lesense,	লেজেন্স,	লাইসেন্স,	
sweety,	স্বিতি,	সুইটি,	
ghese,	ঘেসে,	ঘেঁষে,	
gatibege,	গতিবেগে,	গতিবেগে,	
nirgomon,	নির্জমন,	নির্গমন,	
asantos,	আসন্তস,	অসন্তোষ,	
sayid,	সাইড,	সাইদ,	
shrishree,	শ্রীশ্,	শ্রীশ্রী,	
jeebonnogor,	জীবননগর,	জীবননগর,	
hepatetisa,	হাইপোটেটিস,	হেপাটাইটিস,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
harriser,	হারিসের,	হ্যারিসের,	
asabhyaa,	অসভ্য,	অসভ্য,	
siramikasa,	সিরামিকাস,	সিরামিকস,	
deyl,	ডিল,	ডেইল,	
jibjontu,	জীবনুত্ত,	জীবজন্তু,	
madhobike,	মাধবীকে,	মাধবীকে,	
songosthagulo,	সংগগহস্থুল,	সংস্থাগুলো,	
tiunara,	টাইনার,	টিউনার,	
alsara,	আলসার,	আলসার,	
jens,	জেন্স,	জিন্স,	
meetar,	মিতার,	মিত্র,	
surokarder,	সুরকরদের,	সুরকারদের,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
alkatra,	আলকাত্র,	আলকাতরা,	
shamuk,	শামুক,	শামুক,	
manonitoder,	মননীতদের,	মনোনীতদের,	
sahabike,	সাহাবীকে,	সাহাবীকে,	
obhijojon,	অভিযোজন,	অভিযোজন,	
kaalki,	কালকি,	কালকি,	
dojo,	ডজজ,	ডোজো,	
mohibur,	মহিবুর,	মহিবুর,	
carloos,	কার্লস,	কার্লোস,	
antarcticar,	অন্টার্্টিকার,	অ্যান্টার্কটিকার,	
vobtarini,	ভব্টরীনী,	ভবতারিণী,	
bifal,	বিফল,	বিফল,	
trete,	ট্রিটে,	ট্রেতে,	
ghaghat,	ঘাঘাত,	ঘাঘট,	
bhogno,	ভগ্ন,	ভগ্ন,	
deembakreeti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
kaloniir,	কালনির,	কালনীর,	
kushomva,	কুসম্ভা,	কুশুম্বা,	
eoki,	একি,	এওকি,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
dhyana,	ধ্যান,	ধ্যান,	
lotheeran,	লথিরান,	লুথেরান,	
afjol,	আফজল,	আফজল,	
keo,	কিও,	কেও,	
spredshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
argho,	অর্ঘ,	অর্ঘ্য,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
bhagna,	ভাগন,	ভগ্ন,	
oitijjher,	ঐতিজ্ঞের,	ঐতিহ্যের,	
ekatto,	একাত্ব,	একাত্ব,	
superheror,	সুপারহারর,	সুপারহিরোর,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
setan,	সেতন,	শয়তান,	
bondhubhabapanno,	বন্ধুবাবপন্ন,	বন্ধুভাবাপন্ন,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
graambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
gage,	গেজে,	গেজ,	
bandhano,	বন্ধনন,	বাঁধানো,	
dwipgulo,	দ্বিপপুলো,	দ্বীপগুলো,	
kor,	কোর,	কর,	
fartha,	ফার্থ,	ফার্থ,	
lyaata,	ল্যাট,	ল্যাটা,	
minister,	মিনিস্টার,	মিনিস্টার,	
azaadir,	আজাদীর,	আজাদীর,	
ssumita,	সুমিত,	সুমিতা,	
khelafotey,	খেলাফোতে,	খেলাফতে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
kram,	ক্রম,	ক্রম,	
omarjeeto,	অমাজজিত,	অমার্জিত,	
phutbolarer,	ফুটবলের,	ফুটবলারের,	
afzal,	আফজাল,	আফজল,	
konan,	কোণ,	কোনান,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
sahinsatar,	সহিনসততার,	সহিংসতার,	
grambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
osamanno,	অসমান্ন,	অসামান্য,	
hillse,	হিলসে,	হিলসে,	
sainyasaha,	সৈন্যাসহ,	সৈন্যসহ,	
kruser,	ক্রাসের,	ক্রুশের,	
liceencee,	লিসেন্স,	লাইসেন্স,	
songastha,	সংস্ঘা,	সংস্থা,	
superhero,	সুপারহেরও,	সুপারহিরো,	
baarder,	বার্ডার,	বার্ডের,	
sectore,	সেক্টর,	সেক্টরে,	
roja,	রোজা,	রোযা,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
onodhikar,	অনধিকার,	অনধিকার,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
uparjaner,	উপার্জনের,	উপার্জনের,	
towbaar,	তববার,	তওবার,	
ogovir,	অগভীর,	অগভীর,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
dhhabi,	ঢাবি,	ঢাবি,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
paschater,	পাশ্চাতের,	পশ্চাতের,	
brekathru,	ব্রেকাতার,	ব্রেকথ্রু,	
aholar,	আহলার,	অহল্যার,	
selinar,	সেলিনার,	সেলিনার,	
prasadhoni,	প্রশাধানী,	প্রসাধনী,	
uttor,	উত্তর,	উওর,	
sombhobonaow,	সম্ভবনও,	সম্ভবনাও,	
omeettrakkhor,	অতিত্রাক্ষর,	অমিত্রাক্ষর,	
pingnaa,	পিংন,	পিংনা,	
besirbhagei,	বেশিরভাগেই,	বেশিরভাগেই,	
chhootite,	ছুটিতে,	ছুটিতে,	
pachok,	পাচক,	পাচক,	
porissrom,	পরিশ্রম,	পরিশ্রম,	
sontoshpur,	সন্তস্পুর,	সন্তোষপুর,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
porijon,	পরিজন,	পরিজন,	
potchitra,	পটচিত্র,	পটচিত্র,	
abosane,	অবসনে,	অবসানে,	
deeliveer,	ডিলিভের,	ডেলিভার,	
joubanbotii,	যৌবনববী,	যৌবনবতী,	
shhayatana,	সায়াতন,	শয়তান,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
dharavahikbhabe,	ধারাভাকিভাবে,	ধারাবাহিকভাবে,	
shpreadshheet,	স্প্রাইডেট,	স্প্রেডশীট,	
shilver,	শিলভের,	সিলভার,	
shhepha,	সেফ,	শেফ,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
peethey,	পিঠে,	পীঠে,	
daankaan,	ডাঙাকন,	ডানকান,	
iub,	ইউব,	আইইউবি,	
mittrota,	মিত্রোতা,	মিত্রতা,	
rohosyo,	রহস্য,	রহস্য,	
abodamoner,	অবদামনের,	অবদমনের,	
vodqa,	ভোক্কা,	ভদকা,	
aatok,	আতক,	আটক,	
chomski,	চমমকি,	চমস্কি,	
abdi,	আবদি,	অব্দি,	
meterey,	ম্যাটেরে,	মিটারে,	
kando,	কাঁড,	কাণ্ড,	
emgee,	এজগে,	এমজি,	
bolobhodro,	বলভদ্র,	বলভদ্র,	
addhattikota,	আদ্যাত্যিকতা,	আধ্যাত্মিকতা,	
tokei,	তোকেই,	ত্বকেই,	
enginearing,	ইঙ্গিনারিং,	ইঞ্জিনিয়ারিং,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
jamaanor,	জামানোর,	জমানোর,	
eekbaler,	একবালের,	ইকবালের,	
mesenjjarer,	মেসেজাঞ্জারের,	মেসেঞ্জারের,	
ankush,	অঙ্কুশ,	অংকুশ,	
trupa,	ট্রুপ,	ট্রুপ,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
toroonra,	তরুণা,	তরুণরা,	
taateo,	তাতেও,	তাতেও,	
batikromee,	বাতিক্রমী,	ব্যতিক্রমী,	
euro,	ইউরো,	ইউরো,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
ekoirakom,	একইকাম,	একইরকম,	
hipar,	হিপার,	হাইপার,	
shatjoner,	সাতজনের,	সাতজনের,	
abortey,	আবর্তে,	আবর্তে,	
harbare,	হার্বারে,	হারবারে,	
pacchen,	পাঁচেন,	পাচ্ছেন,	
tistaar,	টিস্টার,	তিস্তার,	
soori,	সুরি,	সুরি,	
ohong,	ওহং,	অহং,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
atyacharita,	আত্মচারিত,	অত্যাচারিত,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
kaalaam,	কালাম,	কালাম,	
nagorikderkey,	নগরীকদেরকে,	নাগরিকদেরকে,	
meghachonno,	মেঘাছ্্ন,	মেঘাচ্ছন্ন,	
norton,	নর্তন,	নর্টন,	
khelafate,	খেলাফাতে,	খেলাফতে,	
sudha,	সুধা,	সুধা,	
battery,	ব্যাটারি,	ব্যাটারী,	
crete,	ক্রিটে,	ক্রীট,	
abhidhanik,	আভিধানিক,	অভিধানিক,	
farmat,	ফারমত,	ফরম্যাট,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
bolvodro,	বলভদ্র,	বলভদ্র,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
kemaney,	কেমনে,	কেমনে,	
netherlandey,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
laesens,	লিজেন্স,	লাইসেন্স,	
prodan,	প্রদান,	প্রদাণ,	
swarnali,	স্বর্ণলী,	স্বর্ণালী,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
shoccer,	শক্চের,	সকার,	
cena,	সিনা,	সিনা,	
sonatani,	সোনাটানি,	সনাতনী,	
mujibur,	মুজিবর,	মুজিবুর,	
eshiyetika,	এসিয়েটিক,	এশিয়াটিক,	
annimated,	অনযানিমেটেড,	এনিমেটেড,	
chaiti,	চাইটি,	চৈতি,	
postkay,	পোস্টকে,	পোস্টকে,	
toranganj,	তরাঙ্গঞ্জ,	তোরাবগঞ্জ,	
deep,	ডীপ,	দীপ,	
shudden,	সুদ্দেন,	সাডেন,	
byomkes,	ব্যমকেস,	ব্যোমকেশ,	
bohoodin,	বহুদিন,	বহুদিন,	
seater,	সিটার,	সিটের,	
sinematographar,	সিনেমাত্রাফার,	সিনেমাটোগ্রাফার,	
sedikei,	সেদিকেই,	সেদিকেই,	
piruzali,	পিরোজালি,	পিরুজালী,	
akbakye,	একবককে,	একবাক্যে,	
janaar,	জানার,	জানার,	
charger,	চার্গের,	চার্জার,	
nickeel,	নিককেল,	নিকেল,	
mb,	এমবিএ,	এমবি,	
jater,	যাতের,	জাতের,	
darji,	দার্জি,	দরজি,	
manhputa,	মন্পুত,	মনঃপুত,	
hock,	হক,	হুক,	
bidrohiderkey,	বিদ্রোহীদেরকে,	বিদ্রোহীদেরকে,	
tookror,	টুকর,	টুকরোর,	
madal,	মাদল,	মাদল,	
nuhash,	নুহাস,	নুহাশ,	
tofat,	টফফাত,	তফাৎ,	
salapheeta,	সালফিত,	সালফেট,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
ghantiti,	ঘানটিটি,	ঘাঁটিটি,	
shulke,	সুলকে,	শুল্কে,	
phimeela,	ফিমিল,	ফিমেল,	
duburir,	ডাবুরির,	ডুবুরির,	
kyapashula,	ক্যাপসুল,	ক্যাপসুল,	
koilas,	কৈলাশ,	কৈলাস,	
klauda,	ক্লাউড,	ক্লাউড,	
adhattikotar,	আধ্যাত্যিকতার,	আধ্যাত্মিকতার,	
keo,	কিও,	কেউ,	
torangunj,	তরাঙ্গঞ্জ,	তোরাবগঞ্জ,	
showte,	শ্্তে,	শোতে,	
shitei,	সিটিই,	শীতেই,	
beam,	বিম,	বীম,	
depootee,	ডিপোি,	ডেপুটি,	
bhenisha,	ভেনিস,	ভেনিস,	
shcholastik,	স্কোলাস্টিক,	স্কলাস্টিক,	
adhuna,	আধুনা,	অধুনা,	
venuser,	ভেনাসের,	ভেনাসের,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
nirvachokder,	নির্ভাচকদের,	নির্বাচকদের,	
dipgulo,	দীপগুলো,	দ্বীপগুলো,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
location,	লোকেশন,	লোকেশন,	
shiqar,	শিকার,	শিকার,	
skarta,	স্কার্ট,	স্কার্ট,	
lumbinee,	লামবিনী,	লুম্বিনী,	
eashter,	ইস্টার,	ইস্টার,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
potchitrer,	পটচিত্রের,	পটচিত্রের,	
lohaa,	লোহা,	লোহা,	
durgoto,	দুর্গত,	দূর্গত,	
aakaabaar,	আকাবার,	আকাবার,	
telaakucha,	তেলাকুচা,	তেলাকুচা,	
thesiser,	থিসিজের,	থিসিসের,	
addhattikotar,	আদ্যাত্তিকতার,	আধ্যাত্মিকতার,	
korta,	করত,	করতা,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
bibhonno,	বিভন্ন,	বিভন্ন,	
azan,	আজন,	আজান,	
stoone,	স্তন,	স্টোন,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
rajotwo,	রাজত্ব,	রাজত্ব,	
ester,	এস্টার,	ইস্টার,	
adwanced,	অ্যাডভেন্স,	অ্যাডভান্সড,	
senior,	সিনিয়র,	সিনিয়র,	
swartha,	স্বার্থ,	স্বার্থ,	
subade,	সুবাদে,	সুবাদে,	
romjaner,	রমজানের,	রমযানের,	
rajballabh,	রাজবলাদ,	রাজবল্লভ,	
aagost,	আগস্ট,	আগষ্ট,	
ddheke,	ঢেঁকে,	ঢেকে,	
neerbahi,	নির্বাহী,	নির্বাহি,	
jakkher,	যক্ষের,	যক্ষের,	
eenameel,	ইনামেল,	এনামেল,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
valobase,	ভালবাসে,	ভালোবাসে,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
harbour,	হার্বর,	হারবার,	
asociates,	অ্যাসোসিযেটেস,	এসোসিয়েটস,	
sqalarashipa,	স্কোলারশিপ,	স্কলারশিপ,	
welcome,	ওয়েলকেম,	ওয়েলকাম,	
dakteekiter,	ডাকতিকিতের,	ডাকটিকিটের,	
aabahon,	আবাহন,	আবাহন,	
phirth,	ফার্থ,	ফার্থ,	
bhotarer,	ভোতরের,	ভোটারের,	
patjata,	পটজাত,	পাটজাত,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
mithener,	মিঠানের,	মিথেনের,	
koyeeri,	কোয়েরি,	কোয়েরি,	
shhyutara,	স্যুতারা,	শ্যুটার,	
bedanta,	বেদন্ত,	বেদান্ত,	
parisankhanvid,	পরিষংখ্যানিদ,	পরিসংখ্যানবিদ,	
phake,	ফেক,	ফাকে,	
hazarer,	হাজারের,	হাজারের,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
choiti,	চৈটি,	চৈতি,	
cheerokumari,	চিরকুমারী,	চিরকুমারী,	
anodhikar,	অনধিকার,	অনধিকার,	
johny,	জনহি,	জনি,	
goojober,	গুজবের,	গুজবের,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
nirapekkho,	নিরাপেক্ষ,	নিরপেক্ষ,	
merjito,	মার্জিত,	মার্জিত,	
daale,	ডালে,	ডালে,	
risorte,	রিসর্ট,	রিসোর্টে,	
jemske,	জেমসসকে,	জেমসকে,	
bishod,	বিশদ,	বিষদ,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
chalachchitroi,	চলচচিত্রই,	চলচ্চিত্রই,	
dharabahiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
kommppito,	কম্পিট,	কম্পিত,	
kathhmandute,	কথঠানদুতে,	কাঠমান্ডুতে,	
ajiboner,	আজীবনের,	আজীবনের,	
chetonagoto,	চেটনাগত,	চেতনাগত,	
prokalpagulor,	প্রকললপুলোর,	প্রকল্পগুলোর,	
gronthatike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
samsher,	সমসের,	সমশের,	
noter,	নোটের,	নোটের,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
syfy,	সিফি,	সাইফাই,	
stonahenza,	স্টোনাহেঞ্জ,	স্টোনহেঞ্জ,	
forex,	ফরেক্স,	ফরেক্স,	
prachurzer,	প্রচচ্রের,	প্রাচুর্যের,	
masjidti,	মস্জিদ্তি,	মসজিদটি,	
steitt,	স্টেট,	স্টেইট,	
samley,	সামলে,	সামলে,	
bajhyo,	বাঝ্য,	বাহ্য,	
monmoth,	মন্মথ,	মন্মথ,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
mitrader,	মিত্রাদের,	মিত্রদের,	
dhaleshorii,	ধলেশরী,	ধলেশ্বরী,	
jothartho,	যথার্থ,	যথার্থ,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
phising,	ফিজিং,	ফিসিং,	
rahee,	রাহি,	রাহী,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
phutonto,	ফুটন্ত,	ফুটন্ত,	
songosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
hajat,	হাজাত,	হজত,	
sosej,	সসেজ,	সসেজ,	
raits,	রাইট,	রাইটস,	
chhilonaa,	ছিলনা,	ছিলনা,	
mat,	ম্যাট,	ম্যাট,	
graambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
talgach,	তালগাছ,	তালগাছ,	
prokalpeo,	প্রকলাপে,	প্রকল্পেও,	
mitre,	মিত্রো,	মিত্র,	
masharraf,	মোশাররফ,	মশাররফ,	
heriken,	হেরিকেন,	হ্যারিকেন,	
indra,	ইন্দ্র,	ইন্দ্র,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
karlosh,	কার্লস,	কার্লোস,	
iuroo,	ইউরো,	ইউরো,	
ateetkaale,	আতীতকালে,	অতীতকালে,	
nake,	নাকে,	নেক,	
ghumacchilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
bagdade,	বাদ্দাদে,	বাগদাদে,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
sibraz,	শিবরাজ,	শিবরাজ,	
prakalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
sangasthati,	সংস্থাটি,	সংস্থাটি,	
modeel,	মোডেল,	মডেল,	
miracle,	মিরাক্ল,	মিরাকেল,	
kaando,	কাণ্ড,	কাণ্ড,	
brittakar,	বৃত্তাকার,	বৃত্তাকার,	
nitikatha,	নীতিকথা,	নীতিকথা,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
tikto,	টিকটো,	তিক্ত,	
ramjaner,	রমজানের,	রমযানের,	
shatoke,	শতকে,	শতকে,	
uqeliptas,	উলেকিপাস,	ইউক্যালিপ্টাস,	
jyaqa,	জ্যাক,	জ্যাক,	
divya,	দিব্য,	দিব্যা,	
apoharon,	অপহারণ,	অপহরন,	
koontee,	কুনটি,	কুন্তী,	
societykey,	সোকিটিকে,	সোসাইটিকে,	
bima,	বিমা,	বিম,	
veenicee,	ভেনিসি,	ভেনিস,	
neelkuthir,	নীলকুঠির,	নীলকুঠির,	
grawth,	গ্রাথ,	গ্রোথ,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
doorotaumo,	দূরতম,	দূরতম,	
tantira,	তানটিরা,	তাঁতিরা,	
ispreedshit,	এস্প্রেডিস,	স্প্রেডশীট,	
jemser,	জেমসের,	জেমসের,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
ooipoka,	উইপোক,	উইপোকা,	
mmeloborrne,	মেলববর্ণ,	মেলবোর্নে,	
jahns,	জানস,	জন্স,	
joni,	যোনি,	জনি,	
parikkhateo,	পরীক্ষাতেতে,	পরীক্ষাতেও,	
nathivookta,	নথিভুক্ত,	নথিভুক্ত,	
noiteekotabodh,	নৈতিতাযাদব,	নৈতিকতাবোধ,	
bheemsen,	ভীমসেন,	ভীমসেন,	
maddhobir,	মাধ্যবীর,	মাধবীর,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
homesh,	হোমেশ,	হোমস,	
navel,	ন্যাভেল,	নভেল,	
dankan,	ডাকন,	ডানকান,	
prakalpogulo,	প্রকলপপুলো,	প্রকল্পগুলো,	
horas,	হরাস,	হোরাস,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
oncoltike,	অন্চলতিকে,	অঞ্চলটিকে,	
chutir,	ছুটির,	ছুটির,	
vagna,	ভাগন,	ভগ্ন,	
mausumeo,	মাসুমেও,	মৌসুমেও,	
dhyanostha,	ধ্যানস্থ,	ধ্যানস্থ,	
arunima,	অরুনিমা,	অরুণিমা,	
satarkota,	সা্তরকতা,	সতর্কতা,	
motabolombiira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
renoo,	রেনো,	রেনো,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
shikkhakke,	শিক্ষককে,	শিক্ষককে,	
dwipei,	দ্বীপেই,	দ্বীপেই,	
heeja,	হেজ,	হেজ,	
dijeejer,	দিজিজের,	ডিজিজের,	
komti,	কমটি,	কমতি,	
bishwaashshoi,	বিশ্বাসযই,	বিশ্বাসই,	
nartakike,	নার্তাকিকে,	নর্তকীকে,	
savanetri,	স্বানাত্রী,	সভানেত্রী,	
abasan,	আবাসন,	অবসান,	
jalrang,	জালরাং,	জলরঙ,	
olimpyc,	আলিম্পিক,	অলিম্পিক,	
stanahenja,	স্তনোহেঞ্জ,	স্টোনহেঞ্জ,	
edii,	এডি,	আইডিই,	
bipojjanak,	বিপজজনক,	বিপজ্জনক,	
restaurant,	রেস্তোরাঁ,	রেষ্টুরেন্ট,	
matrikar,	মাত্রিকার,	মাতৃকার,	
aashtikotaa,	আস্তিকতা,	আস্তিকতা,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
deejeejer,	দিজিজের,	ডিজিজের,	
rights,	রাইটস,	রাইটস,	
korkotkranti,	কর্কতক্ষন্ত্রী,	কর্কটক্রান্তি,	
haze,	হাজে,	হেজ,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
antarbhuttirmulok,	অন্তর্বর্তমূক্লক,	অন্তর্ভুক্তিমূলক,	
soros,	সরোস,	সরস,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
