choudhureeo,	চৌধুরিও,	চৌধুরীও,	
horeener,	হরিনের,	হরিণের,	
sofyr,	সফির,	সোফির,	
highcommissionay,	হাইকমিশশনেন,	হাইকমিশনে,	
oswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
devolopar,	ডেভলপার,	ডেভলপার,	
dephinesana,	ডেফিনিশনন,	ডেফিনেশন,	
athar,	আঠার,	আতহার,	
phoksher,	ফক্ষের,	ফক্সের,	
kalnir,	কলনীর,	কালনীর,	
brekthrough,	বৃক্ষরর,	ব্রেকথ্রু,	
sikarer,	শিকারের,	শিকারের,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
koda,	কোড,	কোড,	
juddhahoto,	যুদ্ধাতত,	যুদ্ধাহত,	
apohoron,	অপহরণ,	অপহরন,	
olimpik,	অলিমিক,	অলিম্পিক,	
pabo,	পাব,	পাব,	
surakarder,	সুরকর্ের,	সুরকারদের,	
deejijer,	ডিজিজের,	ডিজিজের,	
talaal,	তালাল,	তালাল,	
roktokkhon,	রক্তক্্ষণ,	রক্তক্ষরণের,	
banijyikvittite,	বানিজ্যিততিতে,	বাণিজ্যিকভিত্তিতে,	
dover,	দাভরর,	ডোভার,	
hooq,	হুক,	হুক,	
shartho,	শারা্থ,	স্বার্থ,	
sontoshe,	সন্তো্ে,	সন্তোষে,	
sanghar,	সংঘার,	সংহার,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
madhobikey,	মাধববিকে,	মাধবীকে,	
chaalaabi,	চালাবি,	চালাবে,	
bbs,	বিবসএস,	বিবিএস,	
tintir,	তিনটির,	তিনটির,	
ayantarketika,	অ্যান্টররকেটিস,	অ্যান্টার্কটিকা,	
chyata,	চ্যাট,	চ্যাট,	
lyaandeeng,	ল্যান্েন,	ল্যান্ডিং,	
chetanagoto,	চেতনাগত,	চেতনাগত,	
komti,	কমটি,	কমতি,	
reetesh,	রেটস,	রিতেশ,	
chintaikari,	চিনতাইকারী,	ছিনতাইকারী,	
chalochchitrotike,	চলচ্চিত্রিিকে,	চলচ্চিত্রটিকে,	
mauhajote,	মহাজতে,	মহাজোট,	
troup,	ট্রুপ,	ট্রুপ,	
licenshe,	লিইেংসে,	লাইসেন্স,	
dokaneyi,	দোকানেই,	দোকানেই,	
hunayin,	হুনাইন,	হুনাইন,	
ester,	এস্টের,	ইস্টার,	
akar,	আককার,	একার,	
nicqel,	নিক্লেল,	নিকেল,	
sheramiksh,	সেরেমিক্স,	সিরামিকস,	
samajeri,	সমাজজারি,	সমাজেরই,	
daoon,	দাউন,	ডাউন,	
hajjarer,	হাজ্েের,	হাজারের,	
telakoocha,	টেলাচুচা,	তেলাকুচা,	
risort,	রিসর্ট,	রিসোর্ট,	
moshleh,	মোসলেহ,	মোসলেহ,	
otitkaley,	অতীতকালে,	অতীতকালে,	
goteehin,	গতিহীন,	গতিহীন,	
ajeeja,	অজেজ,	আজিজা,	
barak,	বারারা,	বারাক,	
sumi,	সুমম,	সুমি,	
mukkho,	মুক্,	মুখ্য,	
ganoporibohon,	গণপরিবহন,	গণপরিবহন,	
khaamba,	খাম্া,	খাম্বা,	
firoze,	ফিরোজে,	ফিরোজ,	
sammatite,	সম্মাতিতে,	সম্মতিতে,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
hool,	হুল,	হুল,	
jubokey,	যুবকে,	যুবকে,	
halloween,	হালোউীন,	হ্যালোইন,	
panero,	পানেরো,	পনের,	
asthisandhi,	অস্থিসাধধি,	অস্থিসন্ধি,	
phareksa,	ফরেক্স,	ফরেক্স,	
hamburger,	হ্যামবার্গের,	হামবুর্গের,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
abhidhanik,	আভিধানিক,	অভিধানিক,	
formet,	ফরমেট,	ফরম্যাট,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
ganohatyar,	গণহাত্যার,	গণহত্যার,	
torooner,	তরুণের,	তরুণের,	
agom,	আগোম,	আগম,	
mache,	মাছে,	মাছে,	
gripe,	গ্রি,	গ্রিপ,	
gorur,	গরুর,	গরুর,	
ingrejra,	ইংরেজাা,	ইংরেজরা,	
maudelke,	মদডেলকে,	মডেলকে,	
naditir,	নাীতীর,	নদীটির,	
nathibhookta,	নথিভূক্ত,	নথিভুক্ত,	
anti,	অ্যান্টি,	আন্টি,	
ekhate,	এখাতে,	একহাতে,	
donaat,	দোনত,	ডোনাট,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
bondiira,	বন্দিরা,	বন্দীরা,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
jonite,	যোনিতে,	যোনীতে,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
madaspushto,	মাদস্ষপ্ত,	মদদপুষ্ট,	
uporitole,	উপরিললে,	উপরিতলে,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
tale,	তাল,	তালে,	
rajatwa,	রাজত্ব,	রাজত্ব,	
akbakye,	একবাককযে,	একবাক্যে,	
karore,	কারেরে,	কারোর,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
aakaabaar,	আকাবার,	আকাবার,	
heerani,	হিরাি,	হিরানি,	
nirgaman,	নির্জমন,	নির্গমন,	
saida,	সাইড,	সাইদা,	
conshervation,	কনসারভেনেশ,	কনসারভেশন,	
bhimsen,	ভীমসেন,	ভীমসেন,	
aagom,	আগো,	আগম,	
teemplatee,	টিম্পললেট,	টেম্পলেট,	
mausumer,	মাসুমের,	মৌসুমের,	
arakani,	আরককাণি,	আরাকানী,	
phimela,	ফিমেলা,	ফিমেল,	
palki,	পাককি,	পাল্কি,	
prapokkey,	প্রাপক্যে,	প্রাপককে,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
parisankhanvid,	পরিসঙখ্যানীব,	পরিসংখ্যানবিদ,	
gronthotikey,	গ্রন্থটতে,	গ্রন্থটিকে,	
granther,	গ্রন্থের,	গ্রন্থের,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
catholic,	কলোালিক,	ক্যাথলিক,	
temon,	টেমন,	তেমন,	
euqalyptus,	এউক্লালপপ্টাস,	ইউক্যালিপ্টাস,	
songkolonti,	সংক্লননি,	সংকলনটি,	
eshiyetika,	এসিয়েক,	এশিয়াটিক,	
byatikromdhormi,	ব্যাতিরক্রম্থরী,	ব্যতিক্রমধর্মী,	
rites,	রিটস,	রিতেশ,	
romantik,	রোমান্তিক,	রোমান্টিক,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
aparogata,	অপররগগত,	অপারগতা,	
rubeta,	রুবতাা,	রাবেতা,	
bohudin,	বহুদিন,	বহুদিন,	
deliwer,	ডিলিভের,	ডেলিভার,	
vvejaano,	ভ্যাজন,	ভেজানো,	
marmader,	মারমেেদের,	মারমাদের,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
cross,	ক্রস,	ক্রুশ,	
bjp,	বিএি,	বিজেপি,	
vushi,	ভূষী,	ভুষি,	
manush,	মানুস,	মানুষ,	
utsaho,	উতসাহ,	উৎসাহ,	
khambaa,	খামবা,	খাম্বা,	
danobder,	দানব্যেের,	দানবদের,	
augusteen,	অগুস্তেন,	অগাস্টিন,	
archimedes,	আর্মিসেই,	আর্কিমিডিস,	
drisser,	দৃষ্যের,	দৃশ্যের,	
aieesha,	আইএশ,	আইএএস,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
suchanakal,	সুচননকাল,	সূচনাকাল,	
ponthar,	পন্থার,	পন্থার,	
dakope,	ডাকপপে,	দাকোপ,	
hizrite,	হিজরিতে,	হিজরীতে,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
uthe,	উঠে,	উঠে,	
segulo,	সেগুলো,	সেগুলো,	
swartho,	স্বর্থ,	স্বার্থ,	
aminar,	আমিনার,	আমিনার,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
ddhila,	ঢ্লা,	ঢিলা,	
hyundai,	হাউন্ডাই,	হুন্দাই,	
bifal,	বিফল,	বিফল,	
deilee,	দেইল,	ডেইলি,	
boponer,	বপনের,	বপনের,	
chaanoo,	চানু,	চানু,	
shikhar,	শিখার,	শিকার,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
daakteekite,	দাক্তিটি,	ডাকটিকিটে,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
hilser,	হিলসের,	হিলসের,	
farid,	ফরিড,	ফরিদ,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
ulcer,	উল্ের,	আলসার,	
bhenus,	ভেনেস,	ভেনাস,	
krechi,	কেরেচি,	করেছি,	
yaaq,	যাক,	ইয়াক,	
rubi,	রুবি,	রুবি,	
chhutochhuti,	ছুটোচুটি,	ছুটোছুটি,	
aairees,	আইরিশ,	আইরিস,	
puddin,	পুদ্দীন,	পুডিং,	
dinnar,	দিন্নার,	ডিনার,	
grambashio,	গ্রামবাশওও,	গ্রামবাসীও,	
fooloo,	ফুলু,	পোলো,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
chani,	চানি,	ছানি,	
qingdom,	কিংগদমো,	কিংডম,	
landing,	ল্্ডিি,	ল্যান্ডিং,	
quarter,	কোর্টের,	কোয়ার্টার,	
samaveshti,	সমাভেষটি,	সমাবেশটি,	
uparjan,	উপার্জন,	উপার্জন,	
moldova,	মোল্ভা,	মলদোভা,	
motabolombiira,	মততাবব্্বারা,	মতাবলম্বীরা,	
gardena,	গার্ডেন,	গার্ডেন,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
orohan,	অরোহণ,	ওরহান,	
taali,	তালি,	তালি,	
neshhanasha,	নেশনসা,	নেশনস,	
udbhabane,	উদ্ভাবনে,	উদ্ভাবনে,	
ekeerokom,	একররকম,	একইরকম,	
melbourney,	মেলবার্ণে,	মেলবোর্নে,	
hitakar,	হিতাকার,	হিতকর,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
gotihin,	গতিহীন,	গতিহীন,	
sangkulan,	সংকুলুন,	সংকুলান,	
shahabike,	সাহাবিকে,	সাহাবীকে,	
cholocchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
murali,	মুরালি,	মুরলী,	
shotokei,	শতকেই,	শতকেই,	
aashanka,	আসাঙকা,	আশংকা,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
minishtara,	মিনিসটটার,	মিনিস্টার,	
doloo,	দললু,	ডলু,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
seelbhee,	সিলভী,	সিলভি,	
upobasher,	উপবাশের,	উপবাসের,	
dakticket,	ডক্তিকট,	ডাকটিকিট,	
turbiner,	তুর্বিনের,	টারবাইনের,	
sotorkobhabey,	সতরককভাাবে,	সতর্কভাবে,	
dheke,	ঢেঁকে,	ঢেকে,	
purbanchale,	পূর্বনঞ্চলে,	পূর্বাঞ্চলে,	
poriskoron,	পরিস্কোরণ,	পরিষ্করণ,	
rupantar,	রূপান্তর,	রুপান্তর,	
woter,	ওয়াটার,	ভোটার,	
monohorpur,	মোনররপুর,	মনোহরপুর,	
karo,	কার়,	কারো,	
itostata,	ইতস্ততত,	ইতস্তত,	
messengerer,	মেসেঙ্জারের,	মেসেঞ্জারের,	
sudha,	সুধা,	সুধা,	
ghomta,	ঘটমট,	ঘোমটা,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
manohputa,	মনন্পুতা,	মনঃপুত,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
azibonoer,	আজিবননর,	আজীবনের,	
geans,	জিনস,	জিন্স,	
jahara,	জাহারা,	যাহরা,	
neerbahi,	নির্বাহী,	নির্বাহি,	
sahokari,	সহকারি,	সহকারী,	
bosturoi,	বস্তুরই,	বস্তুরই,	
soorti,	শূর্তি,	সুরটি,	
shefa,	সেফ,	শেফ,	
shahoshikatar,	সাসহিকতার,	সাহসিকতার,	
eenjil,	এঞ্জিল,	ইঞ্জিল,	
ebham,	ইভাম,	ইভিএম,	
okkhor,	অক্ষর,	অক্ষর,	
sahinsatar,	সহিি্টতার,	সহিংসতার,	
oindrila,	অন্ডড্রেল,	ঐন্দ্রিলা,	
bidghutey,	বিদুতে,	বিদঘুটে,	
naraphooka,	নরফুকা,	নরফোক,	
bager,	বেগের,	বাগের,	
baugey,	বাগে,	বাগে,	
sangosthatir,	সংস্থাটির,	সংস্থাটির,	
shikh,	শিখ,	শিখ,	
palta,	পাল্টা,	পালটা,	
gitikobitar,	গীতিকভিতার,	গীতিকবিতার,	
ssteit,	স্টেইট,	স্টেইট,	
tuneta,	তুনেটা,	টুনাইট,	
chiraharit,	চিরারিত,	চিরহরিৎ,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
mashtersh,	মাযাসার্স,	মাস্টার্স,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
balokarak,	বালারাকক,	বলকারক,	
satyaki,	সত্যাকি,	সাত্যকি,	
ponchaashjon,	পঞ্চাশশনন,	পঞ্চাশজন,	
babona,	বাবনা,	বাবনা,	
akmat,	আকমাত,	একমত,	
shiniyara,	সিনিয়ার,	সিনিয়র,	
deubande,	ডেউবন্দে,	দেওবন্দে,	
rohasyor,	রহহস্যর,	রহস্যর,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
sahojlabhbhotar,	সহজ্লভাটার,	সহজলভ্যতার,	
nariikei,	নারীকেই,	নারীকেই,	
rekhapat,	রেখপপা,	রেখাপাত,	
credit,	ক্রিডট,	ক্রেডিট,	
folo,	ফলও,	পোলো,	
militarite,	মিলিটারি,	মিলিটারিতে,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
itastatoh,	ইতস্তত,	ইতস্ততঃ,	
goreeb,	গরীব,	গরিব,	
adhunikkale,	আধুনিক্যলে,	আধুনিককালে,	
panchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
venicey,	ভেনিকে,	ভেনিসে,	
aameenar,	আমিনার,	আমিনার,	
sabche,	সবছে,	সবচে,	
protyokkhovabey,	প্রত্যক্্কভাবে,	প্রত্যক্ষভাবে,	
premo,	প্রেমো,	প্রিমো,	
hotodoridro,	হতদর্র্দ,	হতদরিদ্র,	
shommotite,	সম্মতিটে,	সম্মতিতে,	
boneo,	বনেও,	বনেও,	
koruna,	করুুণা,	করুণা,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
khelechen,	খেলেছেন,	খেলেছেন,	
ovinetar,	অভিনেতা,	অভিনেতার,	
shtonehenge,	স্টানেমীঙ্,	স্টোনহেঞ্জ,	
afjol,	আফজ,	আফজল,	
armeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
dhruboker,	ধ্রবুের,	ধ্রুবকের,	
koner,	কোণের,	কনের,	
chetnagato,	চেতোগত,	চেতনাগত,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
moonim,	মুনিম,	মুনিম,	
hedge,	হেজ,	হেজ,	
sahopatheeke,	সহপাঠিকে,	সহপাঠীকে,	
siramiker,	শিরামিকের,	সিরামিকের,	
shilpojato,	শিল্পপা,	শিল্পজাত,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
yankee,	যাককি,	ইয়াংকি,	
somratra,	সম্র্ত্র,	সম্রাটরা,	
windo,	উিন্ড,	উইন্ডো,	
taholo,	তাললও,	তাহলো,	
bandike,	বন্দিকে,	বন্দীকে,	
jilyanda,	জিল্যানন্ড,	জিল্যান্ড,	
pounchute,	পৌঁছুে,	পৌঁছুতে,	
unitshoho,	উনিশঃসহ,	ইউনিটসহ,	
direectoratee,	ডিরেক্টরেট,	ডিরেক্টরেট,	
musolmanera,	মুসমলনানার,	মুসলমানেরা,	
gabeshokgon,	গবেষকোগর,	গবেষকগণ,	
sarollo,	সরলো,	সারল্য,	
nirgun,	নিরগগুণ,	নির্গুণ,	
gosthigulo,	গোষ্ঠীগুলো,	গোষ্ঠীগুলো,	
kaathhmaandute,	কাঠাামদততে,	কাঠমান্ডুতে,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
ishan,	ইসন,	ঈশান,	
nagorik,	নাগরিক,	নাগরিক,	
eskol,	এসকলল,	এসকল,	
adhyatmikatar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
pare,	পের,	পাড়ে,	
nodigulo,	নদীগুলো,	নদীগুলো,	
upobaser,	উপবাসের,	উপবাসের,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
amarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
mukhya,	মূখ্য,	মুখ্য,	
radhanogor,	রাধনগর,	রাধানগর,	
bangyer,	বঙ্গের,	ব্যাঙের,	
jolbe,	জলবে,	জ্বলবে,	
turkider,	তুর্িদের,	তুর্কিদের,	
sheo,	শেও,	সেও,	
qaferder,	কাফরদদের,	কাফেরদের,	
bolvodro,	বলবদ্র,	বলভদ্র,	
tooku,	টুকু,	টুকু,	
dale,	দলেে,	ডালে,	
ujbekistan,	উজবেক্ষ্বন,	উজবেকিস্তান,	
sattweo,	সত্ত্ও,	সত্ত্বেও,	
sirameeks,	সারামিক্স,	সিরামিকস,	
sachetanatamulak,	সাচ্চানাতমূলকোক,	সচেতনতামূলক,	
caramics,	করমাকিক্স,	সিরামিকস,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
steeit,	স্টেইট,	স্টেইট,	
puding,	পুদিং,	পুডিং,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
bigepi,	বিগেপি,	বিজেপি,	
asociates,	অসযসস্সেট,	এসোসিয়েটস,	
mahasava,	মহাসাও,	মহাসভা,	
manur,	মানুর,	মনুর,	
pacchen,	পাঁচেনে,	পাচ্ছেন,	
gej,	গেজ,	গেজ,	
dollu,	দলল,	ডলু,	
kaantojir,	কান্টজীর,	কান্তজির,	
pravritike,	প্রভৃতিকে,	প্রভৃতিকে,	
uzbekistan,	উজবেকিস্তা,	উজবেকিস্তান,	
sakara,	সাকার,	সকার,	
aabahan,	আবাহন,	আবাহন,	
porishkoron,	পরিষ্কোরণ,	পরিষ্করণ,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
anchaleo,	আঞ্চলেেও,	অঞ্চলেও,	
shikshao,	শিক্ষাও,	শিক্ষাও,	
pratisthanikvabe,	প্রতিষ্ঠিনিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
ancholgulir,	অঞ্চলুলুরির,	অঞ্চলগুলির,	
nyata,	ন্যাট,	ম্যাট,	
dip,	ডীপ,	দীপ,	
daakteekit,	ডাক্তিকিত,	ডাকটিকিট,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
vasturyi,	বাস্তুরি,	বস্তুরই,	
samle,	সামলে,	সামলে,	
songbadmadhyomer,	সংবাদা্্্্যের,	সংবাদমাধ্যমের,	
queri,	কুরি,	কোয়েরি,	
vimshen,	বীমসেন,	ভীমসেন,	
dhyan,	ধ্যান,	ধ্যান,	
koro,	কোর,	করো,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
mosan,	মসান,	মোশন,	
habu,	হাু,	হবু,	
santa,	সন্ত,	স্যান্টা,	
said,	সেড,	সাইদ,	
phox,	ফক্স,	ফক্স,	
tuning,	টাউিং,	টিউনিং,	
kaferderkey,	কাফররদের,	কাফেরদেরকে,	
gunjey,	গুণজ,	গুঁজে,	
bo,	বো,	বু,	
bamnii,	বামননী,	বামনী,	
shiropadhari,	শিরোপাারী,	শিরোপাধারী,	
ssumita,	শুমিত,	সুমিতা,	
sushikkhar,	সুশিক্যার,	সুশিক্ষার,	
platee,	প্লেট,	প্লেট,	
veenom,	ভিনম,	ভেনম,	
steitt,	স্টেইট,	স্টেইট,	
kyapashula,	ক্যাসসুলল,	ক্যাপসুল,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
model,	মোদেল,	মডেল,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
mandope,	মনন্পপে,	মন্ডপে,	
uchchotaro,	উচ্চতার,	উচ্চতর,	
garnar,	গর্ণনার,	গার্নার,	
dipon,	দীপন,	দীপন,	
neck,	নেক,	নেক,	
shector,	সেক্টর,	সেক্টর,	
hotelteete,	হটেলটিট,	হোটেলটিতে,	
samajikotar,	সামাজিকতার,	সামাজিকতার,	
jaygata,	জাগত,	জায়গাটা,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
duburyra,	দুবীরিরা,	ডুবুরিরা,	
attorkite,	আত্মরকক্তে,	অতর্কিতে,	
guzober,	গুজবের,	গুজবের,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
basaa,	বাসা,	বাসা,	
eokee,	ইককি,	এওকি,	
chaalta,	চালতা,	চালতা,	
jothartho,	যথার্থ,	যথার্থ,	
heris,	হেরিশ,	হ্যারিস,	
dharavahiktir,	ধারাভিক্তির,	ধারাবাহিকটির,	
noiteekotabodh,	নৈতিতাববাধ,	নৈতিকতাবোধ,	
residance,	রেসিডান্স,	রেসিডেন্স,	
kalengga,	কলেঙ্্গ,	কালেঙ্গা,	
jeesh,	জিস,	জেস,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
garur,	গরুর,	গরুর,	
vaibonera,	বাইবননর,	ভাইবোনেরা,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
mag,	মগ,	এমএজি,	
felto,	ফেল্,	ফেলত,	
laz,	ল্,	লাজ,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
samabeshti,	সমাবেশটি,	সমাবেশটি,	
biswashwo,	বিশ্বা্ব,	বিশ্বাসও,	
kanasharabheshhana,	কনসারভেষণ,	কনসারভেশন,	
jor,	জোর,	জ্বর,	
kaanaai,	কানাই,	কানাই,	
ashonkai,	আসনকাই,	আশঙ্কাই,	
apocheshta,	অপযাচেষ্টা,	অপচেষ্টা,	
dembakriti,	ডেমববকৃতি,	ডিম্বাকৃতি,	
udbodhony,	উদ্বোধনী,	উদ্বোধনী,	
bhatar,	ভাটার,	ভাতার,	
bibecchyo,	বিবেছক্য,	বিবেচ্য,	
heza,	হেজা,	হেজ,	
gananatya,	গণতাত্ত্য,	গণনাট্য,	
teestar,	তেস্টার,	তিস্তার,	
khorshed,	খোরশেদ,	খোরশেদ,	
gotirodh,	গতিরোধ,	গতিরোধ,	
shannal,	স্যানা,	সান্যাল,	
gasthigulo,	গাষ্ঠীগু,	গোষ্ঠীগুলো,	
foster,	ফোস্টার,	ফস্টার,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
kins,	কিংস,	কিংস,	
emgee,	এমিি,	এমজি,	
shipa,	শিপ,	শিপ,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
kiirti,	কীরটি,	কীর্তি,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
dazjo,	দাজ্য,	দাহ্য,	
antorvukto,	অন্তরতভূক্ত,	অন্তর্ভুক্ত,	
rijur,	রিজুর,	রিজুর,	
piruzali,	পিরুজালি,	পিরুজালী,	
eporjonto,	এপর্যনন্ত,	এপর্যন্ত,	
cheerkoot,	চিরকুট,	চিরকুট,	
bhortuki,	ভররত্কি,	ভর্তুকি,	
setite,	সেীতেই,	সেটিতে,	
taiteela,	তাইটেল,	টাইটেল,	
nongra,	নংররা,	নোংরা,	
bard,	বরর্ড,	বার্ড,	
abadamoner,	অবদামনের,	অবদমনের,	
zzonite,	যোনিতে,	যোনীতে,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
mmesenjar,	মেসেজাররগা,	মেসেঞ্জার,	
postke,	পোস্টকক,	পোস্টকে,	
shoti,	শতী,	শোটি,	
mausum,	মাসুম,	মৌসুম,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
tookrotey,	তুকরোতে,	টুকরোতে,	
set,	সেট,	সিট,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
kabutorer,	ক্বুতরের,	কবুতরের,	
capshule,	কাসুুলে,	ক্যাপসুল,	
cada,	কোডা,	কোডা,	
monzeele,	মঞ্জলে,	মঞ্জিলে,	
orhan,	ওরাান,	ওরহান,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
sheekarder,	শিকার্ডের,	শিকারদের,	
shreeshri,	শ্রীশ্,	শ্রীশ্রী,	
lyata,	ল্যাট,	ল্যাটা,	
sofi,	সফি,	সোফি,	
mesenjar,	মেসেজার,	মেসেঞ্জার,	
novel,	নোভেল,	নভেল,	
suparharo,	সুপরাহর,	সুপারহিরো,	
porissrom,	পরিস্বমম,	পরিশ্রম,	
spenser,	স্পেন্সের,	স্পেন্সার,	
ajibonoer,	আজিবনওর,	আজীবনের,	
muktume,	মুকততমে,	মাকতুম,	
berubar,	বেরুবর,	বেরুবার,	
laala,	লালা,	লালা,	
wul,	উূল,	উল,	
debdebyr,	দেবদেব্বির,	দেবদেবীর,	
jiland,	জিল্য্ন,	জিল্যান্ড,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
ispreedsheet,	এস্্রেেেট,	স্প্রেডশীট,	
bipojjanak,	বিপদজ্জনক,	বিপজ্জনক,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
choshon,	চোষণ,	চোষণ,	
chhatto,	চতটটট,	ছোট্ট,	
sanghorsheek,	সাংররষিক,	সাংঘর্ষিক,	
porichhonnota,	পরিচ্্ননতা,	পরিচ্ছন্নতা,	
mosjidtir,	মস্জিদটির,	মসজিদটির,	
ajibon,	আজিবন,	আজীবন,	
jeesa,	জেস,	জেস,	
ala,	আল্,	আলা,	
jonosanjog,	জনসমযোগ,	জনসংযোগ,	
valobasa,	ভালবাসা,	ভালোবাসা,	
ishiyatika,	এশিয়টিট,	এশিয়াটিক,	
chalochchitratike,	চলচ্তিত্রিকে,	চলচ্চিত্রটিকে,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
categoryr,	ক্েিগরররির,	ক্যাটাগরির,	
timothi,	তিমোথি,	টিমোথি,	
elakaatir,	এলাকাটির,	এলাকাটির,	
reflex,	রিলল্কেক্স,	রিফ্লেক্স,	
kabutarer,	কাবুতরের,	কবুতরের,	
gabhaaskar,	গভ্স্কার,	গাভাস্কার,	
rubol,	রুবল,	রুবল,	
bandhubhaabaapanna,	বন্ধুবাাপন্য,	বন্ধুভাবাপন্ন,	
injil,	ইঞ্জেল,	ইঞ্জিল,	
shkarta,	স্কার্ট,	স্কার্ট,	
mangalik,	মাঙ্গলিক,	মাঙ্গলিক,	
parqs,	পার্কস,	পার্কস,	
bibechyo,	বিবেছ্,	বিবেচ্য,	
lyaataa,	ল্যাট,	ল্যাটা,	
kanooner,	কানুনের,	কানুনের,	
gejetade,	গেজেটাদে,	গেজেটেড,	
baaiq,	বাইক,	বাইক,	
embi,	এম্ি,	এমবি,	
nadike,	নাদীকে,	নদীকে,	
nagorikra,	নাগীিকা,	নাগরিকেরা,	
azizur,	আজিজুর,	আজিজুর,	
swarther,	স্বর্থের,	স্বার্থের,	
oindreela,	অন্ড্রেল,	ঐন্দ্রিলা,	
shivraj,	শিভরাজ,	শিবরাজ,	
modhyekar,	মধ্যককরর,	মধ্যেকার,	
joistha,	জৈস্ঠ,	জ্যৈষ্ঠ,	
amontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
bachaikrito,	বাচাইিত,	বাছাইকৃত,	
ganohotyake,	গণতভ্যককে,	গণহত্যাকে,	
raitasha,	রাইটা,	রাইটস,	
