areek,	আরেক,	আরিক,	
ghatiti,	ঘাতিটি,	ঘাঁটিটি,	
nitikotha,	নীতিকথা,	নীতিকথা,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
anchalo,	আঞ্চল,	অঞ্চলও,	
pooshteer,	পুষ্টির,	পুষ্টির,	
madhukooree,	মধুকুরী,	মাধুকরী,	
naitikatar,	নৈতিকাটার,	নৈতিকতার,	
satthikata,	সাথ্িকতা,	সঠিকতা,	
arthat,	অর্থাত,	অর্থাৎ,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
madaspushto,	মাদাসুস্ট,	মদদপুষ্ট,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
stonahenja,	স্টননাহজেঞা,	স্টোনহেঞ্জ,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
hooldim,	হুল্ডিং,	হোল্ডিং,	
messanger,	মেশন্গের,	মেসেঞ্জার,	
platee,	প্লেট,	প্লেট,	
gonohotyar,	গণহত্যার,	গণহত্যার,	
booth,	বুঠ,	বুথ,	
ropto,	রপপত,	রপ্ত,	
societyke,	সোজিটিকে,	সোসাইটিকে,	
ganaporibahan,	গণপরিবহণ,	গণপরিবহন,	
kachhakachhi,	কাছচাকি,	কাছাকাছি,	
muladi,	মুলাদি,	মুলাদি,	
kortona,	কর্টন,	করতনা,	
bidghootey,	বিদ্ঘুতে,	বিদঘুটে,	
majdur,	মজুদুর,	মজদুর,	
motabolombira,	মোটাবলম্বিরা,	মতাবলম্বীরা,	
suporichiti,	সুপররচিতি,	সুপরিচিতি,	
bashite,	বাসিতে,	বাঁশিতে,	
lampot,	লামপপট,	লম্পট,	
marier,	মেরির,	ম্যারির,	
thaakeni,	থাকেনি,	থাকেনি,	
khaneker,	খানেকের,	খানেকের,	
maroofer,	মারফের,	মারুফের,	
unsareer,	আনসারির,	আনসারীর,	
poscater,	পশ্চাতের,	পশ্চাতের,	
chhayi,	ছেই,	ছাই,	
asammati,	অসম্মতি,	অসম্মতি,	
nartaki,	নার্তকি,	নর্তকী,	
shrishree,	শ্রীশ্রী,	শ্রীশ্রী,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
sukhma,	সুখ্ম,	সুক্ষ্ম,	
hajat,	হাজাত,	হজত,	
waal,	ওয়াল,	উল,	
jerusalemer,	জেরোসালমের,	জেরুজালেমের,	
dhrubak,	ধ্রুব্যক,	ধ্রুবক,	
artillery,	অর্টিলেরি,	আর্টিলারি,	
jacq,	যাক,	জ্যাক,	
durgotir,	দুর্গতির,	দুর্গটির,	
scoree,	স্ক্রি,	স্কোরে,	
priimo,	প্রীম,	প্রিমো,	
agara,	আগার,	আগোরা,	
dipon,	দীপন,	দীপন,	
saphalyar,	সাফল্যার,	সাফল্যের,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
horidbar,	হরিদবার,	হরিদ্বার,	
kash,	কাশ,	কাস,	
haphsa,	হাফসা,	হাফসা,	
hailo,	হইল,	হইল,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
bhagna,	ভাগ্না,	ভগ্ন,	
foxer,	ফক্সের,	ফক্সের,	
sobche,	সবছে,	সবচে,	
potocheetro,	পতচিত্র,	পটচিত্র,	
anchaltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
bolechile,	বলেছিলে,	বলেছিলে,	
paripaker,	পরিপাকের,	পরিপাকের,	
modelling,	মোডেলিং,	মডেলিং,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
shorif,	শরীফ,	শরিফ,	
seat,	সেট,	সিট,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
minishter,	মিনিস্টার,	মিনিস্টার,	
enginiiring,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
angkush,	অ্যাংকুস,	অংকুশ,	
khilafot,	খিলাফাত,	খিলাফত,	
myathious,	ম্যাথিয়স,	ম্যাথিউস,	
sahazlabhbhotar,	সহজল্ভবার,	সহজলভ্যতার,	
grambaasi,	গ্রামবাসি,	গ্রামবাসী,	
rahee,	রাহী,	রাহি,	
bonshi,	বোঁশী,	বংশী,	
gabhaaskar,	গভাষ্কার,	গাভাস্কার,	
sbaajan,	স্বজন,	স্বজন,	
orhan,	ওরহান,	ওরহান,	
tate,	তাটে,	তাতে,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
dhhaabi,	ধাবি,	ঢাবি,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
candy,	কাযান্ডি,	ক্যান্ডি,	
dijnii,	ডিজনি,	ডিজনী,	
ja,	জা,	জ্যা,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
norfolk,	নরফললক,	নরফোক,	
mangolik,	মাঙ্গলিক,	মাঙ্গলিক,	
granther,	গ্রন্থার,	গ্রন্থের,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
gaziipur,	গাজীরপুর,	গাজীপুর,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
dolu,	দলু,	ডলু,	
jetei,	জেতেই,	যেতেই,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
nationsh,	নেযানশন,	নেশনস,	
heje,	হেজে,	হেজ,	
liceensee,	লাইসেন্স,	লাইসেন্স,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
pushtee,	পুষ্টি,	পুষ্টি,	
mononitoder,	মনোনিতদের,	মনোনীতদের,	
jhijhi,	ঝিঝি,	ঝিঝি,	
jatook,	জাতুক,	জাতক,	
sidharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
breil,	ব্রেইল,	ব্রেইল,	
madhobikey,	মাধবীকে,	মাধবীকে,	
koomarir,	কোমারির,	কুমারীর,	
sikhbe,	শিখবে,	শিখবে,	
jeellool,	জিল্লুল,	জিল্লুল,	
cheettronnattokar,	চিত্রনানকতার,	চিত্রনাট্যকার,	
ajimke,	আজিমকে,	আজিমকে,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
bidghute,	বিদ্ঘুতে,	বিদঘুটে,	
thor,	দোর,	থর,	
metrapalitan,	মেট্রোপালিনান,	মেট্রোপলিটন,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
janosangyog,	জনসঙ্গঞ্গ,	জনসংযোগ,	
nogore,	নগরে,	নগরে,	
canservatian,	কন্ার্ভিশন,	কনসারভেশন,	
muhamada,	মুহামাদা,	মুহাম্মদ,	
shansthaner,	সংস্থানের,	সংস্থানের,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
sangkalaney,	সংকলানে,	সংকলনে,	
delibhara,	ডেলিভার,	ডেলিভার,	
kraima,	ক্রেম,	ক্রাইম,	
kemoney,	কেমনে,	কেমনে,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
baharampoorer,	বহহরমপুরের,	বহরমপুরের,	
rajtantra,	রাজটন্ত্র,	রাজতন্ত্র,	
jokkho,	যক্ষ্ম,	যক্ষ,	
bhabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
madraser,	মাদরাসের,	মাদ্রাজের,	
chomsky,	কমস্কি,	চমস্কি,	
eevil,	এভিল,	ইভিল,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
akshor,	অক্ষর,	একশোর,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
kanagulo,	কানাগুলো,	কণাগুলো,	
euroo,	ইউরো,	ইউরো,	
goshthiti,	গ্্ষ্থিতি,	গোষ্ঠীটি,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
niro,	নিরো,	নির,	
samudrotate,	সমুদ্রতাতে,	সমুদ্রতটে,	
telakucha,	তেলাকু,	তেলাকুচা,	
korkot,	কর্কট,	কর্কট,	
rahh,	রহ,	রঃ,	
khaambaa,	খামবা,	খাম্বা,	
jaanate,	জানাতে,	জানাতে,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
hizrii,	হিজরি,	হিজরী,	
rotheen,	রথিন,	রথীন,	
bachaikrito,	ব্ছাচাইকৃত,	বাছাইকৃত,	
homasha,	হমাশ,	হোমস,	
sikhra,	শিখরা,	শিখরা,	
ekirokom,	একিরকম,	একইরকম,	
dharabahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
jarusalem,	জরুসলেম,	জেরুসালেম,	
shashoto,	শাষত,	শাশ্বত,	
abikal,	অবিকাল,	অবিকল,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
taufiq,	টাফিক,	তৌফিক,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
sainyasoho,	সৈন্যাসহ,	সৈন্যসহ,	
mehonoti,	মেহনটি,	মেহনতি,	
aazaadeer,	আজাদির,	আজাদীর,	
shaajaano,	সাজান,	সাজানো,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
sahabah,	সাহবাহ,	সাহাবাহ,	
cholochchitrotike,	চলচ্চিত্রীকে,	চলচ্চিত্রটিকে,	
tiger,	টিগের,	টাইগার,	
rilayensha,	রিলেয়েন্স,	রিলায়েন্স,	
sthaponatir,	স্থাপতানির,	স্থাপনাটির,	
heedgee,	হেড,	হেজ,	
metropalitana,	মেট্রোপিলেশন,	মেট্রোপলিটন,	
badana,	বাদানা,	বদনা,	
bosontokke,	বসন্তকে,	বসন্তকে,	
andamana,	আন্ডমান,	আন্দামান,	
moochi,	মুছি,	মুচি,	
shreeshri,	শ্রীশ্রে,	শ্রীশ্রী,	
kompekt,	কমপেক্ট,	কমপ্যাক্ট,	
maunjiley,	মৌঞ্জিলে,	মঞ্জিলে,	
jonsa,	জনসস,	জোন্স,	
chalesi,	চলেছি,	চলেছি,	
remacry,	রেমোক্রি,	রেমাক্রী,	
bhabotarini,	ভববটিরিণী,	ভবতারিণী,	
mitra,	মিট্র,	মিত্র,	
sahoocorzoe,	সহযুর্যে,	সাহচর্যে,	
janapoth,	জনপথ,	জনপথ,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
licensedhari,	লাইসেশ্ররসি,	লাইসেন্সধারী,	
santoshpore,	সন্তঃসপরে,	সন্তোষপুর,	
bahyo,	বাহ্য,	বাহ্য,	
boudher,	বৌদের,	বৌদ্ধের,	
sho,	সো,	শো,	
snaipara,	স্নাইপার,	স্নাইপার,	
ruble,	রাবে,	রুবল,	
nirvahi,	নির্বাহী,	নির্বাহি,	
dacop,	ডাকোপ,	দাকোপ,	
batsmaner,	বাসসমানের,	ব্যাটসম্যানের,	
sima,	সীম,	সীমা,	
naubihar,	নৌবিহার,	নৌবিহার,	
oncholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
saqara,	সাকার,	সকার,	
valobase,	ভালবাসে,	ভালোবাসে,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
vobanir,	ভবানীর,	ভবানীর,	
faskari,	ফস্কারী,	ফাঁসকারী,	
corymb,	করিম্যার,	করিম,	
bonoshri,	বনস্রে,	বনশ্রী,	
shepherd,	সেফার্ড,	শেফার্ড,	
karle,	কারে,	করলে,	
manbe,	মানবে,	মানবে,	
militaryr,	মিলিটারীর,	মিলিটারির,	
venice,	ভেনিস,	ভেনিস,	
sonali,	সোনালি,	সোনালী,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
aksathe,	একসাথে,	একসাথে,	
nesans,	নেসন্স,	নেশনস,	
noditikey,	নদীতীকে,	নদীটিকে,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
sayid,	সাঈদ,	সাইদ,	
eporzonto,	এপর্যন্ত,	এপর্যন্ত,	
besarkarikaran,	বেসরকারীকরণ,	বেসরকারিকরণ,	
daqop,	ডাকোপ,	দাকোপ,	
ibhaner,	ইভানের,	ইভানের,	
kokein,	কোকেন,	কোকেইন,	
torkarir,	তরকারীর,	তরকারীর,	
ralapha,	রালাফ,	রালফ,	
khannkaj,	খ্নকাঁজ,	খননকাজ,	
jatti,	জাত্ি,	জাতটি,	
durgotshob,	দুর্ঘততভ,	দুর্গোৎসব,	
doojoo,	দুজু,	ডোজো,	
firoza,	ফিরোজা,	ফিরোজা,	
landing,	লন্ডিং,	ল্যান্ডিং,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
lyaataa,	লাযাটা,	ল্যাটা,	
plainti,	প্লেনটি,	প্লেনটি,	
motabolambira,	মোটাবলম্বিরা,	মতাবলম্বীরা,	
seemons,	সেমন্স,	সিমন্স,	
mumtaj,	মমতাজ,	মুমতাজ,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
vabatarini,	ভববটিরিনী,	ভবতারিণী,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
chitranatyakar,	চিত্রনাটকযার,	চিত্রনাট্যকার,	
olympik,	অলযাম্পিক,	অলিম্পিক,	
nobotomo,	নবোতম,	নবতম,	
sangosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
samajer,	সমেজের,	সমাজের,	
ashonka,	আসঙ্ক,	আশংকা,	
jatinke,	যতিনকে,	যতীনকে,	
harysher,	হারিসের,	হ্যারিসের,	
bodhirta,	বোধির্ত,	বধিরতা,	
nirapattamulok,	নিরাপতমূলক,	নিরাপত্তামূলক,	
highcommissionay,	হাইকমিশনে,	হাইকমিশনে,	
uipoka,	উইপোক,	উইপোকা,	
chaka,	ছোক,	চাকা,	
qota,	কোট,	কোটা,	
phooloo,	ফুলও,	পোলো,	
estaniya,	এস্টননিয়া,	এস্তোনিয়া,	
zzonite,	যোনিতে,	যোনীতে,	
vastuvad,	বসস্তুভাদ,	বস্তুবাদ,	
veemsen,	ভিমসেন,	ভীমসেন,	
chalachchitra,	চলচিত্র,	চলচ্চিত্র,	
tooku,	টুকু,	টুকু,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
hosne,	হোসন,	হোসনে,	
guzon,	গুজন,	গুজব,	
ishtone,	ইস্টনে,	স্টোন,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
shayetana,	সায়টটন,	শয়তান,	
matrikar,	মাত্রিকার,	মাতৃকার,	
sukumari,	সুকুমারী,	সুকুমারী,	
ashongkai,	অসংকেই,	আশঙ্কাই,	
karka,	কার্ক,	কার্ক,	
bhadaqa,	ভাদক,	ভদকা,	
thime,	থিমে,	থিমে,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
soinyosaho,	সৈন্যসস,	সৈন্যসহ,	
byomkesh,	ব্যামকেস,	ব্যোমকেশ,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
vogno,	ভগ্ন,	ভগ্ন,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
debagg,	ডেবাগ,	ডিবাগ,	
injil,	এঞ্জেল,	ইঞ্জিল,	
jahor,	জাহর,	জহর,	
deep,	ডীপ,	দীপ,	
hames,	হাম্স,	হোমস,	
neurologi,	নিউলোলজি,	নিউরোলজি,	
dinifitian,	ডানিফিইটেশন,	ডেফিনেশন,	
bolokarok,	বললারক,	বলকারক,	
queri,	কুরি,	কোয়েরি,	
breakthraugh,	ব্রেক্ষাার্জ,	ব্রেকথ্রু,	
towraat,	টওরারাট,	তওরাত,	
falashrutiti,	ফলস্রুতিতি,	ফলশ্রুতি,	
tintir,	তিনটির,	তিনটির,	
spredashita,	স্প্রেশেশিত,	স্প্রেডশীট,	
avatar,	অভাতার,	অবতার,	
moonim,	মোনিং,	মুনিম,	
gandhio,	গান্ধিও,	গান্ধীও,	
dokangulotey,	দোকাঙ্গুলোতে,	দোকানগুলোতে,	
yanqee,	যানকে,	ইয়াংকি,	
sattoki,	সত্তকী,	সাত্যকি,	
durgotsav,	দুর্ঘততভ,	দুর্গোৎসব,	
stain,	স্টেইন,	স্টেন,	
adhyatmikata,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
hukar,	হুকার,	হুকার,	
foksher,	ফক্ষের,	ফক্সের,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
pirujali,	পিরুজালি,	পিরুজালী,	
shringo,	শৃঙ্গ,	শৃঙ্গ,	
chhatto,	ছা্ট,	ছোট্ট,	
chaaktir,	চাকটির,	চাকতির,	
jonite,	যোনিতে,	যোনীতে,	
olympicer,	অলযাম্পিকার,	অলিম্পিকের,	
reeno,	রীন,	রেনো,	
korimpoor,	করিমপুর,	করিমপুর,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
gage,	গাগে,	গেজ,	
lokhindare,	লখিন্ডারে,	লখিন্দরের,	
megher,	মেঘের,	মেঘের,	
chirokoomari,	চিরকমারি,	চিরকুমারী,	
shajanor,	শাজানোর,	সাজানোর,	
dekhbar,	দেখবার,	দেখবার,	
firoz,	ফিরোজ,	ফিরোজ,	
uporitole,	উপরেতলে,	উপরিতলে,	
korkotkraantee,	কর্কট্রান্তি,	কর্কটক্রান্তি,	
jya,	জিয়া,	জ্যা,	
seet,	সেট,	সিট,	
sporsher,	স্পর্শের,	স্পর্শের,	
anciint,	অ্যান্সিন্ট,	এনসিয়েন্ট,	
cetholic,	কেথলিক,	ক্যাথলিক,	
dhas,	ধাস,	ধস,	
station,	স্টেশন,	ষ্টেশন,	
shoreefer,	শরীফের,	শরিফের,	
setan,	সেতন,	শয়তান,	
shansthatikey,	সংস্থাতিকে,	সংস্থাটিকে,	
chiranton,	চিরান্টন,	চিরন্তন,	
kade,	কাদে,	কোড,	
durgotsab,	দুর্ঘততভ,	দুর্গোৎসব,	
holdeeng,	হলিড,	হোল্ডিং,	
asovarno,	অসবর্ন,	অসবর্ণ,	
asiph,	আসিফ,	আসিফ,	
dhwajbhanga,	ধ্বভাঞ্গ,	ধ্বজভঙ্গ,	
municipal,	মিউনিসিপাল,	মিউনিসিপ্যাল,	
aqabar,	একাবার,	আকাবার,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
leadar,	লেডার,	লিডার,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
taanteera,	তান্টিরা,	তাঁতিরা,	
karloosa,	কার্লস,	কার্লোস,	
mashajida,	মাসাজীদ,	মসজিদ,	
bekey,	বেকে,	বেঁকে,	
jubokera,	যুবকেরা,	যুবকেরা,	
shooknaa,	শুকনা,	শুকনা,	
birishiritey,	বিরীষিতে,	বিরিশিরিতে,	
engrejer,	ইংরেজের,	ইংরেজের,	
atohar,	আতহার,	আতহার,	
dokanei,	ডোকানেই,	দোকানেই,	
chalchhee,	চালচি,	চলছে,	
heerani,	হিরানি,	হিরানি,	
kalniir,	কালনির,	কালনীর,	
vabna,	ভব্ন,	ভাবনা,	
oitijjha,	ঐতিজ্য,	ঐতিহ্য,	
kaaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
phareqsa,	ফরেক্স,	ফরেক্স,	
dera,	দেরা,	ডেরা,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
baire,	বায়ার,	বাইরে,	
phutbolarder,	ফুটবলদারদের,	ফুটবলারদের,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
nartana,	নার্টন,	নর্টন,	
bites,	বিটেস,	বাইটস,	
cholochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
pudinn,	পাউনিন,	পুডিং,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
bhabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
graambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
graambaashi,	গ্রামবাসি,	গ্রামবাসী,	
upobaasee,	উপবাসী,	উপবাসী,	
arkimidish,	আর্কিমাইসিস,	আর্কিমিডিস,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
tep,	টেপ,	ট্যাপ,	
inapharameshhana,	ইনফরেমশন,	ইনফরমেশন,	
gutano,	গুটানো,	গুটানো,	
zesa,	জেস,	জেস,	
shayatana,	শ্যাটন,	শয়তান,	
phanda,	ফাঁ্ডা,	ফান্ড,	
pashaner,	পাশনের,	পাষাণের,	
eekbaler,	এককালের,	ইকবালের,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
oswasteekor,	অস্বাস্কিতর,	অস্বস্তিকর,	
thelyanda,	থেলল্যান্ড,	থাইল্যান্ড,	
mitrata,	মিট্রোট,	মিত্রতা,	
kodom,	কডম,	কদম,	
akkharkey,	অক্ষারকে,	অক্ষরকে,	
taat,	তাত,	তাত,	
ancholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
metroopoolitan,	মেট্রোপুলিতান,	মেট্রোপলিটন,	
nirgamon,	নির্গমণ,	নির্গমন,	
sita,	সীতা,	সিট,	
tochnochh,	তোচনাচ,	তছনছ,	
taimash,	টাইমস,	টাইমস্,	
obotar,	অবতার,	অবতার,	
karlei,	কার্লি,	করলেই,	
songkoloner,	সংকলনের,	সংকলনের,	
porisromii,	পরিস্রমী,	পরিশ্রমী,	
planeti,	প্লানেটি,	প্লেনটি,	
gandhir,	গান্ধীর,	গান্ধীর,	
jemske,	এেএসকে,	জেমসকে,	
overveu,	ওভারভু,	ওভারভিউ,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
caaling,	কালিং,	কুলিং,	
haipara,	হাইপার,	হাইপার,	
kartana,	কার্টন,	করতনা,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
nikote,	নিকটে,	নিকটে,	
mmadhukkori,	মধুকর্করি,	মাধুকরী,	
jadrel,	যাদ্রেল,	জাঁদরেল,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
napper,	নাপার,	ন্যাপের,	
poriskoron,	পরিস্কোরণ,	পরিষ্করণ,	
mane,	মেন,	মানে,	
mahajote,	মহাজাতে,	মহাজোট,	
rajtontrey,	রাজটন্ত্রে,	রাজতন্ত্রে,	
narafoka,	নারফক,	নরফোক,	
jees,	জিস,	জেস,	
potchitra,	পথচিত্র,	পটচিত্র,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
surokarder,	সুরকরদের,	সুরকারদের,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
jetam,	যেটম,	যেতাম,	
ejenda,	এজেন্ডা,	এজেন্ডা,	
soras,	সোরাস,	সরস,	
sanghar,	সংঘর,	সংহার,	
musalmankey,	মুসলমানকে,	মুসলমানকে,	
suiti,	সুইটি,	সুইটি,	
kale,	কালে,	কালে,	
soptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
vaticaner,	ভ্যাতিসানের,	ভ্যাটিকানের,	
jakkho,	যক্ষ্ম,	যক্ষ,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
gori,	গরি,	গোরি,	
raagee,	রাগী,	রাগী,	
abosan,	অবসন,	অবসান,	
onurbor,	অনুর্বর,	অনুর্বর,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
superheiroo,	সুপারহিরও,	সুপারহিরো,	
kredit,	ক্রেডিত,	ক্রেডিট,	
samoshtigato,	সমস্তিতগত,	সমষ্টিগত,	
palestiner,	পালেস্টিনের,	প্যালেস্টাইনের,	
ganaporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
telaakucha,	তেলাকু,	তেলাকুচা,	
olimpicer,	অলিম্পিকার,	অলিম্পিকের,	
mathew,	মাথেও,	ম্যাথিউ,	
rohasyer,	রহহ্যের,	রহস্যের,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
dharati,	ধারটি,	ধারাটি,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
doula,	দৌলা,	দৌলা,	
hugheke,	হাঘেকে,	হিউজকে,	
anchaltikey,	অঞ্চলটিকে,	অঞ্চলটিকে,	
jerushalema,	জেরোসালম,	জেরুসালেম,	
niurolazi,	নিউলোলাজি,	নিউরোলজি,	
sommotitey,	সম্মটিতে,	সম্মতিতে,	
dhaleshorii,	ধালেশ্বরী,	ধলেশ্বরী,	
dharabahikotitey,	ধারাবাহিতিকে,	ধারাবাহিকটিতে,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
baipash,	বাইপাস,	বাইপাস,	
stark,	স্টার্ক,	স্টার্ক,	
deepan,	দীপান,	দীপন,	
chalachchitroi,	চলচিত্র,	চলচ্চিত্রই,	
prapokkey,	প্রাপককে,	প্রাপককে,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
nathibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
maddhobir,	মাধবীর,	মাধবীর,	
kanflict,	কনফাল্ক্ট,	কনফ্লিক্ট,	
senabahinio,	সেনাবাহিনিও,	সেনাবাহিনীও,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
hertj,	হার্ট,	হার্জ,	
carlo,	কার্ল,	কার্লো,	
korleo,	করলেও,	করলেও,	
superheiro,	সুপারেহ,	সুপারহিরো,	
sorjur,	সর্ুর,	সরযূর,	
parkim,	পার্কিম,	পার্কিং,	
dakope,	ডাকোপে,	দাকোপ,	
rephlex,	রাইফেলক্স,	রিফ্লেক্স,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
ivir,	আইভির,	এভার,	
elahabade,	এলহাবাদে,	এলাহাবাদে,	
okritakarja,	অক্তরতিরার্য,	অকৃতকার্য,	
taims,	টাইমস,	টাইমস্,	
garjan,	গর্জন,	গর্জন,	
abhidhaaner,	অভিধানের,	অভিধানের,	
karleo,	করলেও,	করলেও,	
nartan,	নার্টন,	নর্টন,	
ministar,	মিনিস্টার,	মিনিস্টার,	
nagarikera,	নাগরিকার,	নাগরিকেরা,	
shrabosti,	শ্রবস্তি,	শ্রাবস্তী,	
doonut,	দুনুত,	ডোনাট,	
futonto,	ফুটন্ত,	ফুটন্ত,	
jatotaa,	যতটা,	যতোটা,	
udbhabane,	উদ্ভাবনে,	উদ্ভাবনে,	
ispredshiit,	স্পের্দেশিট,	স্প্রেডশীট,	
bhittow,	ভিত্তো,	ভিত্তিও,	
zoneete,	যোনিতে,	যোনীতে,	
bolobhodro,	বলভদ্র,	বলভদ্র,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
ileeing,	এলিং,	ইলিং,	
shangsthatikey,	সংস্থাতিকে,	সংস্থাটিকে,	
chirantan,	চিরান্তন,	চিরন্তন,	
bona,	বোনা,	বোনা,	
vange,	ভাঙে,	ভাঙ্গে,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
parikhar,	পরীক্ষার,	পরিখার,	
aanhu,	আনু,	আনহু,	
shektara,	সেক্টর,	সেক্টর,	
chutite,	চুটিতে,	ছুটিতে,	
bosantake,	বসন্তকে,	বসন্তকে,	
aparagata,	অপরাগত,	অপারগতা,	
parry,	প্যারি,	পেরি,	
kings,	কিংস,	কিংস,	
balokarok,	বালকারক,	বলকারক,	
ovinetar,	অভিনেতার,	অভিনেতার,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
romantiqa,	রোম্নান্টিক,	রোমান্টিক,	
