gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
arjara,	অর্জার,	আর্যরা,	
sharif,	শেরিফ,	শরিফ,	
pader,	পদের,	প্যাডের,	
gosthyti,	গোস্থিতি,	গোষ্ঠীটি,	
cantan,	কাঁটন,	ক্যান্টন,	
farna,	ফর্না,	ফার্ন,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
mosjid,	মজীদ,	মসজিদ,	
black,	ব্লক,	ব্ল্যাক,	
shyooter,	শ্যুটের,	শ্যুটার,	
ptolemir,	প্ললমির,	টলেমির,	
sabhanetri,	সভানেত্রী,	সভানেত্রী,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
ekaar,	একার,	একার,	
vagini,	ভাগিনী,	ভগিনী,	
dap,	দাপ,	ড্যাপ,	
hunayn,	হুনেন,	হুনাইন,	
homasha,	হোমস,	হোমস,	
zubokti,	যুবক্তি,	যুবকটি,	
udar,	উদার,	উদর,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
sakara,	সাকারা,	সাকার,	
bagdady,	বাগ্দাদি,	বাগদাদী,	
seo,	সিও,	সেও,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ansareer,	আনসারীর,	আনসারীর,	
reliance,	রেলিয়েন্স,	রিলায়েন্স,	
prabhu,	প্রভূ,	প্রভু,	
horidare,	হরিদারে,	হরিদ্বারে,	
oncholgoolir,	অঞ্চগগুলির,	অঞ্চলগুলির,	
nojoder,	নজদের,	নজদের,	
asovvo,	অসভ্য,	অসভ্য,	
goonoman,	গুণমান,	গুণমান,	
gonna,	গণ্যা,	গননা,	
ponni,	পন্যি,	পন্নী,	
durgotshober,	দুর্গৎসবের,	দুর্গোৎসবে,	
sikare,	শিকারে,	শিকারে,	
chalochchitrotike,	চলচিত্তিতকে,	চলচ্চিত্রটিকে,	
lakhindarer,	লখিণ্দারের,	লখিন্দরের,	
sohinsotar,	সহিনসাতর,	সহিংসতার,	
bishesyer,	বিশেষ্র,	বিশেষ্যের,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
amarendra,	আমরেন্দ্র,	অমরেন্দ্র,	
sotteo,	সতেও,	সত্ত্বেও,	
elaakaai,	এলাকাই,	এলাকাই,	
uparzoner,	উপারজনের,	উপার্জনের,	
atak,	আতাক,	আটক,	
bager,	বাগের,	বাগের,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
maradeha,	মারাদেহা,	মরদেহ,	
hartz,	হার্ট,	হার্জ,	
spreedashita,	স্প্রেডিস,	স্প্রেডশীট,	
mohajote,	মহাজতে,	মহাজোট,	
foridi,	ফরিদী,	ফরিদী,	
jubokera,	যুবকেরা,	যুবকেরা,	
ooipokar,	উইপকার,	উইপোকার,	
carlas,	কার্লস,	কার্লোস,	
udbhabon,	উদ্ভাবন,	উদ্ভাবন,	
asocheton,	অসোচেতন,	অসচেতন,	
olongkoron,	অলঙ্করণ,	অলঙ্করণ,	
khele,	খেলে,	খেলে,	
sangasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
awatar,	আওতার,	অবতার,	
abdoone,	আবদুনে,	আবদুন,	
sthaponatir,	স্থাপনাটির,	স্থাপনাটির,	
gaje,	গজে,	গেজ,	
byke,	বাইক,	বাইক,	
dolguloo,	দলগুলো,	দলগুলোও,	
rooplal,	রূপলাল,	রূপলাল,	
jahra,	জাহরা,	যাহরা,	
shulfate,	সুলফাতে,	সালফেট,	
tolemyr,	তলিমির,	টলেমির,	
onkush,	অঙ্কুস,	অংকুশ,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
vogni,	ভগ্নী,	ভগ্নী,	
pyor,	প্যোর,	পিওর,	
fixin,	ফিক্সিন,	ফিক্সিং,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
gaaddafee,	গাদ্দাফী,	গাদ্দাফী,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
palestine,	পেলেস্টিন,	প্যালেস্টাইনে,	
adhyattikotar,	অধ্যাতিকতার,	আধ্যাত্মিকতার,	
gora,	গরা,	গোর,	
sita,	সীট,	সিট,	
algorithm,	অ্যালগরিডম,	এলগরিদম,	
shombhobonao,	সম্ভানও,	সম্ভবনাও,	
lutheran,	লুথারন,	লুথেরান,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
taaler,	তালের,	তালের,	
whole,	হোল,	হোল,	
shorifer,	শরীফের,	শরিফের,	
aajiboner,	আজিবনের,	আজীবনের,	
varpur,	ভারপুর,	ভরপুর,	
debdebie,	দেবদেবী,	দেবদেবী,	
hamburger,	হামবার্গের,	হামবুর্গের,	
balokarak,	বালকারক,	বলকারক,	
dadar,	দাদার,	দাদার,	
nazad,	নজদদ,	নজদ,	
boorana,	বোরান,	বোরন,	
ralof,	রলফ,	রালফ,	
bissonath,	বিষ্ণনাথ,	বিশ্বনাথ,	
zonite,	যোনিতে,	যোনীতে,	
vandar,	ভান্ডার,	ভাণ্ডার,	
ganonanatto,	গণজননত্ত,	গণনাট্য,	
nathibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
charrjer,	চার্যের,	চার্জের,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
ghumata,	ঘুমতা,	ঘুমাতো,	
madhuree,	মধুরী,	মাধুরী,	
anchaltite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
kraanti,	ক্রান্তি,	ক্রান্তি,	
phemale,	ফেমালে,	ফিমেল,	
aazaan,	আজান,	আজান,	
nodiitir,	নদীতীর,	নদীটির,	
silbhi,	সিলভি,	সিলভি,	
kanar,	কানার,	কণার,	
bbosonte,	বসন্তে,	বসন্তে,	
satan,	সতান,	শয়তান,	
patthkrom,	পাঠ্রকম,	পাঠক্রম,	
codeti,	কোডেটি,	কোডটি,	
jerokom,	জেরকম,	যেরকম,	
osamorik,	ওসামরিক,	অসামরিক,	
tookrokey,	তুকরকে,	টুকরোকে,	
pustio,	পুষ্টিও,	পুষ্টি,	
nadnodir,	নদন্দীর,	নদনদীর,	
spredashita,	স্প্রেডিস,	স্প্রেডশীট,	
karmapantha,	কর্মপন্থা,	কর্মপন্থা,	
dighal,	দিঘল,	দীঘল,	
shoreefer,	শরিফের,	শরিফের,	
euror,	ইউরোর,	ইউরোর,	
safi,	সফি,	সাফি,	
ghatla,	ঘটলা,	ঘটল,	
aqram,	আকরর,	আকরাম,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
ramantika,	রামান্তিক,	রোমান্টিক,	
nirapottamulok,	নিরপত্মমূলক,	নিরাপত্তামূলক,	
baaraak,	বারাক,	বারাক,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
norpholk,	নরফলক,	নরফোক,	
gotihin,	গতিহীন,	গতিহীন,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
azibonoer,	আজিবনের,	আজীবনের,	
ispreedsheet,	সস্প্রেডিস,	স্প্রেডশীট,	
ishahak,	ইসহাক,	ইসাহাক,	
daaloo,	দালু,	ডালু,	
chhuteete,	ছুটিতে,	ছুটিতে,	
sayaneda,	সায়েন্ড,	সায়ানাইড,	
byakkhabyatito,	ব্যক্ষ্যাতিত,	ব্যাখ্যাতীত,	
harbar,	হারবার,	হারবার,	
garur,	গরুর,	গরুর,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
folokti,	ফলকটি,	ফলকটি,	
mumtazer,	মুমতাজের,	মুমতাজের,	
siite,	সিটে,	শীতে,	
salmaaner,	স্যামনের,	সালমানের,	
oncholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
pana,	পানা,	পানা,	
rena,	রেন,	রেনো,	
sachetanotamulak,	সচচতনতামূলক,	সচেতনতামূলক,	
kushomva,	কুমভ্ব,	কুশুম্বা,	
dobhar,	ডোভার,	ডোভার,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
plak,	প্লক,	প্ল্যাক,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
shaakaar,	সাকার,	সাকার,	
seat,	স্বেট,	সিট,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
sooresh,	সুরেশ,	সুরেশ,	
damane,	দামানে,	দমনে,	
otyacharita,	অত্যাচিত,	অত্যাচারিত,	
debate,	দেবাতে,	ডিবেট,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
gajetted,	গেজেটেড,	গেজেটেড,	
heavi,	হেভি,	হেভি,	
bosontokey,	বসন্তকে,	বসন্তকে,	
bhalobasen,	ভালোবাসেন,	ভালোবাসেন,	
phix,	ফিক্স,	ফিক্স,	
japaanira,	জাপানীরা,	জাপানিরা,	
pluse,	প্লাস,	প্লাসে,	
sharthe,	শর্থে,	স্বার্থে,	
roi,	রই,	রায়,	
sharifer,	শরীফের,	শরিফের,	
deepei,	ডিপেই,	দ্বীপেই,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
debaag,	দেবাগ,	ডিবাগ,	
chaktir,	চাকটির,	চাকতির,	
kansat,	কানসাত,	কানসাট,	
hurricane,	হারিকেন,	হ্যারিকেন,	
monzushree,	মনজুসরি,	মঞ্জুশ্রী,	
armstrong,	আর্স্টর্ন্জ,	আর্মস্ট্রং,	
ekoirokom,	একৈরকম,	একইরকম,	
jeten,	যেতেন,	জেতেন,	
sathik,	স্থীক,	সঠিক,	
lotheran,	লতরন,	লুথেরান,	
dailee,	ডাইলি,	ডেইলি,	
sinaake,	সিনাকে,	সিনাকে,	
jalrong,	জালরঙ্গ,	জলরঙ,	
chaaktir,	চাকটির,	চাকতির,	
debating,	ডেবেটিং,	ডিবেটিং,	
petrol,	পেত্রোল,	পেট্রোল,	
shkora,	স্কোর,	স্কোর,	
sangbadmadhyomgulote,	সংবাদমধম্কলতে,	সংবাদমাধ্যমগুলোতে,	
tuleche,	তুলেছে,	তুলেছে,	
lyata,	ল্যাট,	ল্যাটা,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
klauda,	ক্লাউড,	ক্লাউড,	
dharavahikbhabey,	ধারাভাহকভাবে,	ধারাবাহিকভাবে,	
danober,	দানবের,	দানবের,	
sammatite,	সম্মাতিতে,	সম্মতিতে,	
sina,	সিন,	সিনা,	
horipoor,	হরিপুর,	হরিপুর,	
kormoke,	কর্মকে,	কর্মকে,	
porishongkhanbid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
adhyattik,	অধ্যাতিক,	আধ্যাত্মিক,	
aamudey,	আমুদে,	আমুদে,	
dharabahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
geans,	গিনস,	জিন্স,	
paksenara,	পক্সেনার,	পাকসেনারা,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
chashe,	চাষে,	চেস,	
jaater,	জাতের,	জাতের,	
tenisa,	টেনিস,	টেনিস,	
iston,	ইস্টন,	স্টোন,	
obheegomon,	অভিগমন,	অভিগমন,	
jyaka,	য্যাকা,	জ্যাক,	
drisser,	দৃশ্যের,	দৃশ্যের,	
pleena,	প্লিন,	প্লেন,	
pachok,	পাঁক,	পাচক,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
rupantor,	রূপান্তর,	রুপান্তর,	
mitrader,	মিত্রদের,	মিত্রদের,	
changee,	চঙ্গী,	চেঞ্জ,	
jya,	জ্যা,	জ্যা,	
plate,	প্লেট,	প্লেট,	
mataram,	মাতারাম,	মাতরম,	
jens,	জেন্স,	জিন্স,	
voter,	ভোটের,	ভোটার,	
kolahal,	কলাহল,	কোলাহল,	
biplobir,	বিপ্লবীর,	বিপ্লবীর,	
bayii,	বাই,	বাঈ,	
mmesenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
purohitder,	পুরহীত্দের,	পুরোহিতদের,	
rooshod,	রুশদ,	রুশদ,	
bjp,	বিজিপ,	বিজেপি,	
angkush,	অঙ্কুস,	অংকুশ,	
bonkey,	ব্যানকে,	বনকে,	
shansthaner,	সংস্থানের,	সংস্থানের,	
bi,	বি,	বি,	
attaar,	আত্তার,	আত্তার,	
vogirath,	ভগিরাথ,	ভগীরথ,	
basuki,	বাসুকি,	বাসুকি,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
firoza,	ফিরজা,	ফিরোজা,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ganochiener,	গণচীনের,	গণচীনের,	
kingdam,	কিংমা,	কিংডম,	
ajeempur,	অজিমপুর,	আজিমপুর,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
ganona,	গণনা,	গণনা,	
sarboshaktimaan,	সর্বসক্তান,	সর্বশক্তিমান,	
noditei,	নদীতেই,	নদীতেই,	
dovar,	দোবর,	ডোভার,	
bagmara,	বাগমার,	বাগমারা,	
rajshri,	রাজস্রি,	রাজশ্রী,	
patishapta,	পাতিসপ্ত,	পাটিসাপটা,	
chalche,	চলচে,	চলছে,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
siddhantao,	সিদ্বান্তও,	সিদ্ধান্তও,	
uporitaler,	উপরিতলের,	উপরিতলের,	
jees,	জেস,	জেস,	
pleta,	প্লেট,	প্লেট,	
carpeter,	কর্পেটের,	কার্পেটের,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
advansed,	অ্যাভাংশেন,	অ্যাডভান্সড,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
meterey,	মেটারে,	মিটারে,	
teemothy,	তিমথি,	টিমোথি,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
flag,	ফ্ল্যাগ,	ফ্লাগ,	
bee,	বি,	বি,	
chal,	চাল,	চাল,	
prothar,	প্রথার,	প্রথার,	
manmath,	মানমাথ,	মন্মথ,	
ghumacche,	ঘুমা্ছে,	ঘুমাচ্ছে,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
khaneker,	খানেকের,	খানেকের,	
drishyagulo,	দৃষ্যগুলো,	দৃশ্যগুলো,	
rights,	রাইসটস,	রাইটস,	
ghotlo,	ঘটলও,	ঘটল,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
udeechee,	উদেছি,	উদীচী,	
shatodha,	শতধা,	শতধা,	
nartana,	নর্তন,	নর্টন,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
chocchitrei,	চচ্চিত্রেই,	চলচ্চিত্রেই,	
ivam,	ইভাম,	ইভিএম,	
noitikatabodh,	নৈতিকাবাদ,	নৈতিকতাবোধ,	
taunship,	তাউশ্পীপ,	টাউনশিপ,	
sonali,	সোনালি,	সোনালী,	
reefleex,	রেফল্ক্স,	রিফ্লেক্স,	
jyesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
duplee,	ডাপলি,	ডুপ্লে,	
murrayir,	মূরারির,	ম্যারির,	
jonmato,	জন্মাত,	জন্মাত,	
shikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
fanda,	ফাঁ্ডা,	ফান্ড,	
rephlex,	রেফল্ক্স,	রিফ্লেক্স,	
ganachiner,	গণচীনের,	গণচীনের,	
pachhi,	পাঁচি,	পাচ্ছি,	
nodigulir,	নদীগুলির,	নদীগুলির,	
drishyagulote,	দৃশ্যগগলিতে,	দৃশ্যগুলোতে,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
paikgacha,	পাইকোছা,	পাইকগাছা,	
chaakti,	চাকটি,	চাকতি,	
nikela,	নিকেলা,	নিকেল,	
messenjer,	মেযেসেঞ্জার,	মেসেঞ্জার,	
mandondo,	মন্দন্ড,	মানদণ্ড,	
gabhaskaar,	গভাষকার,	গাভাস্কার,	
phiksim,	ফিকসিং,	ফিক্সিং,	
baarnish,	বার্নিস,	বার্নিশ,	
dibating,	ডিবেটিং,	ডিবেটিং,	
average,	অ্যাভারেজ,	এভারেজ,	
skalastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
elakati,	এলাকাটি,	এলাকাটি,	
sinematographar,	সিনেমার্টাফার,	সিনেমাটোগ্রাফার,	
hamasa,	হামস,	হোমস,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
jaanar,	জানার,	জানার,	
asar,	আসার,	আসর,	
cool,	কোল,	কুল,	
hevy,	হেভি,	হেভি,	
jolook,	জলবুক,	জ্বলুক,	
jommoo,	জম্ম,	জম্মু,	
abotar,	অবতার,	অবতার,	
ceema,	সিম,	সীমা,	
parijan,	পরিজান,	পরিজন,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
babyloney,	ব্যাবিলেন,	ব্যাবিলনে,	
khanonkaaj,	খননকাজ,	খননকাজ,	
iyanqi,	ইয়ান্কি,	ইয়াংকি,	
maradeho,	মারাদেহ,	মরদেহ,	
ahong,	অহং,	অহং,	
gaddaphii,	গাদ্ধাপী,	গাদ্দাফী,	
deambakriti,	দিম্বকৃতি,	ডিম্বাকৃতি,	
steeit,	স্টিইট,	স্টেইট,	
plane,	প্ল্যান,	প্লেন,	
donaat,	ডোনাত,	ডোনাট,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
dojo,	দজ,	ডোজো,	
qanasarabheshana,	কনসারেশন,	কনসারভেশন,	
danaber,	দানাবের,	দানবের,	
shaahocharje,	শাহাচর্যে,	সাহচর্যে,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
amshtrong,	অ্যাসট্র্জ,	আর্মস্ট্রং,	
bhejaano,	ভেজানো,	ভেজানো,	
bajhyo,	বায্য,	বাহ্য,	
siropar,	সিরোপার,	শিরোপার,	
tyap,	ট্যাপ,	ট্যাপ,	
karmopantha,	কর্মপন্থা,	কর্মপন্থা,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
nirapattamulok,	নিরপত্মমূলক,	নিরাপত্তামূলক,	
mg,	আগি,	এমজি,	
ostad,	অষ্টাদ,	ওস্তাদ,	
dajhyo,	দাজ্য,	দাহ্য,	
gronthoo,	গ্রন্থ,	গ্রন্থও,	
udor,	উদর,	উদর,	
mit,	মিট,	এমআইটি,	
durgotsave,	দুর্গতসভে,	দুর্গোৎসবে,	
maladabha,	মালাাা,	মলদোভা,	
chhaai,	ছাই,	ছাই,	
fol,	ফোল,	ফল,	
nochiketa,	নোিকেতা,	নচিকেতা,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
parshe,	পারসে,	পার্শ্বে,	
jeesa,	জেস,	জেস,	
hydra,	হাইড্রো,	হাইড্রা,	
railliner,	রেলিনের,	রেললাইনের,	
miari,	মিয়েরি,	ম্যারি,	
sonaktokaraner,	সনাক্তকাণের,	সনাক্তকরণের,	
shikshakbrinda,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
skora,	স্কোরা,	স্কোর,	
krita,	কৃত,	ক্রীট,	
gaarnaar,	গার্নার,	গার্নার,	
byaboharkarikey,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
sarollo,	সরলল্,	সারল্য,	
planee,	প্ল্যানি,	প্লেন,	
tochnoch,	টোচনোচ,	তছনছ,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
thailandsaho,	থাইলানসসহ,	থাইল্যান্ডসহ,	
kakhanyoba,	কখন্যবা,	কখনওবা,	
shatan,	শতান,	শয়তান,	
manushtikey,	মানুষ্টিকে,	মানুষটিকে,	
flask,	ফ্ল্যাক,	ফ্লাস্ক,	
floodliter,	ফ্লোডালিটার,	ফ্লাডলাইটের,	
deqe,	ডেকে,	ডেকে,	
sausage,	সৌসেজ,	সসেজ,	
sosharire,	সশারীরে,	সশরীরে,	
mohit,	মহিত,	মুহিত,	
bosturoi,	বস্তুরই,	বস্তুরই,	
machsaho,	মাসসাহ,	মাছসহ,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
lidara,	লিডার,	লিডার,	
qaferder,	কফরেরদের,	কাফেরদের,	
partha,	পার্থ,	পার্থ,	
masjidtikey,	মাজিিটিকে,	মসজিদটিকে,	
muhammad,	মুহাম্মদ,	মুহাম্মদ,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
sangkulaan,	সঙ্কুলান,	সংকুলান,	
shit,	সিট,	শীত,	
hishabke,	হিসাবকে,	হিসাবকে,	
prachandota,	প্রচন্দতা,	প্রচণ্ডতা,	
prokalpao,	প্রকল্প,	প্রকল্পও,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
karadando,	কারাদণ্ড,	কারাদণ্ড,	
janosamaj,	জনসামাজ,	জনসমাজ,	
nuhas,	নওঃস,	নুহাশ,	
elaakate,	এলাকাতে,	এলাকাতে,	
murad,	মুরাদ,	মুরাদ,	
vushito,	ভূষিত,	ভূষিত,	
jaaygata,	জাইগত,	জায়গাটা,	
tikto,	টিক্ত,	তিক্ত,	
rakibul,	রাকিবুল,	রকিবুল,	
technocrat,	টেকনোক্রট,	টেকনোক্র্যাট,	
yankii,	ইঙ্কি,	ইয়াংকি,	
shanstha,	সংস্থ,	সংস্থা,	
ashankai,	আসঙককাই,	আশঙ্কাই,	
dozo,	দজ,	ডোজো,	
chinto,	চিন্ত,	চিনতো,	
daaktickete,	ডাক্টিকেটে,	ডাকটিকিটে,	
daakticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
baitsh,	ব্যাটশ,	বাইটস,	
dokangulote,	দোকাঙগুলোতে,	দোকানগুলোতে,	
odhit,	অধিত,	অধীত,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
karadanda,	কারাদণ্ডা,	কারাদণ্ড,	
naabbota,	নাববতা,	নাব্যতা,	
jerusalem,	জেরুসালেম,	জেরুসালেম,	
madelim,	মডডালিং,	মডেলিং,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
preety,	প্রীতি,	প্রিটি,	
addabaj,	আদ্যাবাজ,	আড্ডাবাজ,	
sbaajan,	সববজন,	স্বজন,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
panchasjan,	পঞ্চাজজন,	পঞ্চাশজন,	
nadnadeer,	নদনদাদীর,	নদনদীর,	
gootano,	গুটানো,	গুটানো,	
shikhar,	শিখার,	শিকার,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
dakope,	ডাকপে,	দাকোপ,	
poorohitder,	পুরহীতদের,	পুরোহিতদের,	
doonut,	দুনুত,	ডোনাট,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
daaktikit,	ডাক্তিক,	ডাকটিকিট,	
rudrer,	রুদ্রের,	রুদ্রের,	
marpit,	মার্পিত,	মারপিট,	
onurbar,	অনুর্বর,	অনুর্বর,	
dong,	ডঙ,	ডং,	
iyaqa,	ইয়াক,	ইয়াক,	
vatar,	ভাটার,	ভাতার,	
komtee,	কমতি,	কমতি,	
bamna,	বামনা,	বামনা,	
chetna,	চেতনা,	চেতনা,	
tamplate,	টাম্পলেট,	টেম্পলেট,	
dayraa,	দররা,	ডেরা,	
chilona,	চিলনা,	ছিলনা,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
second,	সেকেন্ড,	সেকেণ্ড,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
don,	ডোন,	দোন,	
praapokke,	প্রপককে,	প্রাপককে,	
istara,	ইস্টার,	ইস্টার,	
timathi,	তিমাথি,	টিমোথি,	
lisens,	লিজেন্স,	লাইসেন্স,	
qara,	কারা,	কর,	
kooshumba,	কুসম্ব,	কুশুম্বা,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
devolopar,	ডেভলপার,	ডেভলপার,	
eenameel,	ইনামীল,	এনামেল,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
taiteela,	টাইটেল,	টাইটেল,	
muhammad,	মুহাম্মদ,	মুহম্মদ,	
akmato,	একমত,	একমত,	
parishrom,	পরিস্রম,	পরিশ্রম,	
uruu,	উরু,	উরু,	
hajareebag,	হজরীবাগ,	হাজারিবাগ,	
indrani,	ইন্দ্রানি,	ইন্দ্রাণী,	
akritakarjo,	একৃতরাক্র,	অকৃতকার্য,	
dhikrito,	ঢিকৃত,	ধিকৃত,	
narafoka,	নরাফকা,	নরফোক,	
parishrami,	পরিস্রামী,	পরিশ্রমী,	
onnkita,	অন্কিতা,	অঙ্কিতা,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
monzooshree,	মনজুসরি,	মঞ্জুশ্রী,	
venisey,	ভেনিসে,	ভেনিসে,	
madhobeer,	মাধবীর,	মাধবীর,	
okritakarja,	অকৃতকার্য,	অকৃতকার্য,	
teknokryat,	টেকনক্্রাট,	টেকনোক্র্যাট,	
kartona,	কর্তনা,	করতনা,	
pouchute,	পৌঁছুতে,	পৌঁছুতে,	
jerujaleme,	জেরুজোলেমে,	জেরুসালেমে,	
shekarone,	সেকারণে,	সেকারণে,	
pratista,	প্রতিষ্টা,	প্রতিষ্টা,	
phox,	ফক্স,	ফক্স,	
toubaar,	তাবার,	তওবার,	
truup,	ট্রুপ,	ট্রুপ,	
bapokotor,	বাযাপোটর,	ব্যাপকতর,	
shorif,	শরিফ,	শরিফ,	
hipar,	হিপার,	হাইপার,	
oindreela,	অইন্ড্রেল,	ঐন্দ্রিলা,	
prachuryer,	প্রাচ্রীর,	প্রাচুর্যের,	
colahol,	চলাল,	কোলাহল,	
rca,	র্কা,	আরসিএ,	
kaas,	কাস,	কাস,	
konphlict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
modeling,	মডডেলিং,	মডেলিং,	
puroheetder,	পুরহীতদের,	পুরোহিতদের,	
cholocchitrigulor,	চলচিত্তীগুলোর,	চলচ্চিত্রগুলোর,	
blagarara,	ব্লগারার,	ব্লগাররা,	
nischay,	নিশ্ছে,	নিশ্চয়,	
associatis,	অ্যাসোসিয়াট,	এসোসিয়েটস,	
netions,	নেটিয়াস,	নেশনস,	
hyundai,	হাইন্ডাই,	হুন্দাই,	
ruteener,	রুটিনের,	রুটিনের,	
bikretader,	বিক্রেতের,	বিক্রেতাদের,	
anisha,	অনিস,	আনিস,	
saccer,	স্কের,	সকার,	
obosore,	অবসরে,	অবসরে,	
shef,	সেফ,	শেফ,	
sahazlabhbhatar,	সহজালভাতার,	সহজলভ্যতার,	
bukhari,	বুখারি,	বুখারি,	
baipasa,	বাইপাস,	বাইপাস,	
asabhya,	অসাভ্য,	অসভ্য,	
teto,	টিতো,	তেতো,	
agrodut,	অগ্রদুত,	অগ্রদূত,	
cooda,	কোডা,	কোডা,	
toufik,	তৌফিক,	তৌফিক,	
grooth,	গ্রুথ,	গ্রোথ,	
kachakachi,	কাচাচাছি,	কাছাকাছি,	
nagorikera,	নাগরিকারা,	নাগরিকেরা,	
rockibul,	রকিবুল,	রকিবুল,	
jinsha,	জিন্স,	জিন্স,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
nabam,	নবম,	নবম,	
