futbolarra,	ফুটবলরারা,	ফুটবলাররা,	
manonitader,	মনোনিতদের,	মনোনীতদের,	
jar,	যাঁর,	জ্বর,	
degree,	ডিগ্রী,	ডিগ্রি,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
satthikota,	সাত্যিকতা,	সঠিকতা,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
rashider,	রাশিদের,	রশিদের,	
kormoyi,	করমীই,	কর্মই,	
mahasova,	মহাসভা,	মহাসভা,	
nortoki,	নর্তকী,	নর্তকী,	
satarkobhabe,	সাতারকভাবে,	সতর্কভাবে,	
nandolal,	নন্দললল,	নন্দলাল,	
armstranj,	আর্ম্্র্টার্জ,	আর্মস্ট্রং,	
sahocorje,	সহচর্যে,	সাহচর্যে,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
ovishongshon,	অভিসংসন,	অভিশংসন,	
vittiteow,	ভিতিতিও,	ভিত্তিতেও,	
baaraak,	বারাক,	বারাক,	
tongaa,	টঙ্গা,	টোঙ্গা,	
tarani,	তরাণী,	তরণী,	
kadom,	কাদম,	কদম,	
dijnii,	দিজনি,	ডিজনী,	
prakalpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
daltagi,	ডাল্টাজী,	দলত্যাগী,	
nondolaal,	নন্দোলাল,	নন্দলাল,	
khijir,	খিজির,	খিজির,	
angurer,	আঙুরের,	আঙ্গুরের,	
celinar,	সেলিনার,	সেলিনার,	
myari,	ম্যারি,	ম্যারি,	
saramiks,	সারামিক্স,	সিরামিকস,	
up,	উপ,	আপ,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
harj,	হার্জ,	হার্জ,	
advut,	আদ্ভুত,	অদ্ভুত,	
mitro,	মিট্রো,	মিত্র,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
korleyi,	করলেই,	করলেই,	
jyeshtha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
akkas,	এক্াশ,	আককাস,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
navel,	নেভেল,	নভেল,	
nirarthok,	নিরার্থক,	নিরর্থক,	
eporzonto,	এপর্যন্ত,	এপর্যন্ত,	
zeans,	জিনস,	জিন্স,	
damonmoolok,	দামনমুলক,	দমনমূলক,	
mirakeela,	মিরকলাইল,	মিরাকেল,	
peerry,	পেরী,	পেরি,	
durgotsav,	দুর্গসসা,	দুর্গোৎসব,	
itastatoh,	ইতাস্তত,	ইতস্ততঃ,	
chanu,	চানু,	চানু,	
musalmanera,	মুসলমনেরা,	মুসলমানেরা,	
franko,	ফ্রাঙকক,	ফ্রাঙ্কো,	
sazano,	সাজানো,	সাজানো,	
phirth,	ফার্থ,	ফার্থ,	
categoryr,	ক্টেজাগরির,	ক্যাটাগরির,	
alsar,	আলসার,	আলসার,	
reejideencee,	রেজিডেন্সে,	রেসিডেন্স,	
bahaati,	বাহাতি,	বাহাতি,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
mit,	মিট,	এমআইটি,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
tookrokey,	তুকরোকে,	টুকরোকে,	
suri,	সুরি,	সুরি,	
obharbheeu,	অভারভীর,	ওভারভিউ,	
hoteltite,	হটালটিতে,	হোটেলটিতে,	
sathik,	সাথিক,	সঠিক,	
siiter,	শীতের,	শীতের,	
paare,	পারে,	পাড়ে,	
starc,	স্টার্ক,	স্টার্ক,	
rushod,	রুশদ,	রুশদ,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
noditike,	নদীটিকে,	নদীটিকে,	
siite,	শীটে,	শীতে,	
gabhaskaar,	গভ্ষাার,	গাভাস্কার,	
reno,	রেনো,	রেনো,	
daqop,	ডাকপ,	দাকোপ,	
cathalic,	কাঠালিক,	ক্যাথলিক,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
economics,	ইকোনমিকসস,	ইকোনমিকস,	
sachetanatamulok,	সচেতাননতম,	সচেতনতামূলক,	
bandhano,	বন্ধন,	বাঁধানো,	
baasaate,	বাসাতে,	বাসাতে,	
bishrinkhala,	বিশৃংখল,	বিশৃঙ্খলা,	
chalochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
talgach,	তালগাছ,	তালগাছ,	
srisri,	শ্রীশি,	শ্রীশ্রী,	
utsahamulak,	উৎসাহমূলক,	উৎসাহমূলক,	
mugdhota,	মুগতা,	মুগ্ধতা,	
prabhu,	প্রভূ,	প্রভু,	
jatee,	যাতি,	যাতি,	
merjito,	মার্জিত,	মার্জিত,	
hitakar,	হিতাকার,	হিতকর,	
hames,	হাম্স,	হোমস,	
iyutha,	ইউথ,	ইয়ুথ,	
phikshim,	ফিক্সিম,	ফিক্সিং,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
atmabiswasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
konfleekt,	কনফ্ল্য্ট,	কনফ্লিক্ট,	
uuipoka,	উইপাকা,	উইপোকা,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ingrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
asavyo,	অসব্য,	অসভ্য,	
baasake,	বাসাকে,	বাসাকে,	
mausumti,	মুসমটি,	মৌসুমটি,	
taorat,	তাররা,	তওরাত,	
bosturyi,	বস্তুরী,	বস্তুরই,	
gaiche,	গাইছে,	গাইছে,	
janosanjog,	জনসংযোগ,	জনসংযোগ,	
mirakela,	মিরকেল,	মিরাকেল,	
chalaabi,	চালাবি,	চালাবে,	
preti,	প্রতী,	প্রিটি,	
dorgaho,	দরগহ,	দরগাহ,	
brindaboner,	ব্রিণবদনের,	বৃন্দাবনের,	
harisoner,	হরিসনের,	হ্যারিসনের,	
buildar,	বুল্ডার,	বিল্ডার,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
teknokryat,	টেকনোক্রাট,	টেকনোক্র্যাট,	
hood,	হুড,	হুড,	
nirgoon,	নির্গুণ,	নির্গুণ,	
bagdade,	বাগডাদে,	বাগদাদে,	
parpel,	পার্পেল,	পার্পেল,	
bbiseshyer,	বিশেষের,	বিশেষ্যের,	
changee,	চঙ্গী,	চেঞ্জ,	
provuder,	প্রভুদের,	প্রভুদের,	
votarer,	ভোটরের,	ভোটারের,	
swapod,	স্বপদ,	শ্বাপদ,	
badhano,	বাধানো,	বাঁধানো,	
jillul,	জিলুল,	জিল্লুল,	
deephineeshana,	ডেফিনিশন,	ডেফিনেশন,	
kingdom,	কিং্দম,	কিংডম,	
nirorthak,	নিরর্থক,	নিরর্থক,	
antarvukto,	অন্ন্তভুক্ত,	অন্তর্ভুক্ত,	
jonmato,	জন্মাতো,	জন্মাত,	
beekargrasto,	বিকরগ্রস্ত,	বিকারগ্রস্ত,	
pleto,	প্ল্যাটো,	প্লেটো,	
tintir,	তিনটির,	তিনটির,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
sithilotar,	সিথিলতার,	শিথিলতার,	
antarbhuttirmulok,	অন্ত্রভূতমূল্তক,	অন্তর্ভুক্তিমূলক,	
gez,	গেজ,	গেজ,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
talgaachh,	তালগাছ,	তালগাছ,	
niropekshtar,	নিরপ্রক্ষতার,	নিরপেক্ষতার,	
hantte,	হানতে,	হাঁটতে,	
dipti,	দীপ্তি,	ডেপুটি,	
morathi,	মরাঠী,	মরাঠি,	
saoum,	সাওম,	সাওম,	
nederlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
oindrila,	ঐইন্ড্রিল,	ঐন্দ্রিলা,	
mitrao,	মিট্রো,	মিত্রও,	
version,	ভার্সন,	ভারশন,	
obosane,	অবসানে,	অবসানে,	
kaaferder,	কাফেরদের,	কাফেরদের,	
ramdhonu,	রামধুন,	রামধনু,	
sbaajaner,	স্বজনের,	স্বজনের,	
bastubad,	বাস্তুবাদ,	বস্তুবাদ,	
gonoporeebohoner,	গণপরিবহনের,	গণপরিবহনের,	
taunsheep,	তাউন্পিপ,	টাউনশিপ,	
jetam,	যততম,	যেতাম,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
bim,	বিম,	বিম,	
jibanjapon,	জীবনাপন,	জীবনযাপন,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
biswashwo,	বিশ্বাস্ব,	বিশ্বাসও,	
utsahomulak,	উৎসাহমূলক,	উৎসাহমূলক,	
trayte,	ট্রেইট,	ট্রেতে,	
songbadmadhyomgulote,	সংবাদনম্্গতমে,	সংবাদমাধ্যমগুলোতে,	
byaboharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
seelbhee,	সিলভী,	সিলভি,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
bazaareo,	বাজারেও,	বাজারেও,	
pare,	পারে,	পাড়ে,	
manob,	মানব,	মানব,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
dhoka,	ধোকা,	ধোঁকা,	
daackticketer,	ডাক্তিক্টেের,	ডাকটিকিটের,	
machera,	মাচেরা,	মাছেরা,	
nirabata,	নীরবতা,	নিরবতা,	
akib,	আকিব,	আকিব,	
vaisaho,	ভৈষসহ,	ভাইসহ,	
durgotsab,	দুর্গসসাব,	দুর্গোৎসব,	
taiwan,	তাইভান,	তাইওয়ান,	
pitth,	পিঠ,	পীঠ,	
timoothi,	তিমথুথী,	টিমোথি,	
planea,	প্ল্যানে,	প্লেনে,	
average,	অ্যাভারেজ,	এভারেজ,	
kachhakaachhi,	কাছকাছি,	কাছাকাছি,	
ovigomon,	অভিগান,	অভিগমন,	
garjan,	গর্জন,	গর্জন,	
suity,	সুইট,	সুইটি,	
kemane,	কেমনে,	কেমনে,	
sayatana,	শ্যাটন,	শয়তান,	
sorsa,	সর্ষা,	সোর্স,	
sahocorrzo,	সাহরকযার্য,	সাহচর্য,	
drissoteer,	দৃষ্যতির,	দৃশ্যটির,	
residence,	রেসিডেন্সে,	রেসিডেন্স,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
ghatke,	ঘটকে,	ঘাটকে,	
farna,	ফার্ন,	ফার্ন,	
rabe,	রবে,	রবে,	
bhittimul,	ভিত্তিমুল,	ভিত্তিমূল,	
sachetanatamulak,	সচেতনামনতামক,	সচেতনতামূলক,	
bhagna,	ভাগ্ন,	ভগ্ন,	
addabaj,	আদ্বাজ,	আড্ডাবাজ,	
stona,	স্তনা,	স্টোন,	
shoreefer,	শরীফের,	শরিফের,	
byanger,	ব্যঞ্গের,	ব্যাঙের,	
inziniyarsa,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
chalochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
bonshi,	বংশশী,	বংশী,	
poner,	পনের,	পনের,	
jerusalemer,	জিরুসালেমের,	জেরুজালেমের,	
nilfamarir,	নিলফামারির,	নীলফামারীর,	
debdeby,	দেবদেবী,	দেবদেবী,	
mukhya,	মূখ্য,	মুখ্য,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
onkeeta,	অঙকিতা,	অঙ্কিতা,	
photanor,	ফোটানোর,	ফোটানোর,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
phareeksa,	ফরেক্স,	ফরেক্স,	
onkush,	অঙ্কুষ,	অংকুশ,	
nirabota,	নিরবতা,	নিরবতা,	
dollu,	ডললু,	ডলু,	
ashshociatesh,	অ্যাসোসিচেসেস,	এসোসিয়েটস,	
gasthigulo,	গাস্থিগুলো,	গোষ্ঠীগুলো,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
amstrong,	অ্যাম্ট্রন্জ,	আর্মস্ট্রং,	
shhyutara,	স্যুটার,	শ্যুটার,	
jes,	জেস,	জেস,	
masjidtikey,	মাজিদদিকে,	মসজিদটিকে,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
ahollar,	আহলার,	অহল্যার,	
neelfamarir,	নিলফামারির,	নীলফামারীর,	
desiseyer,	ডেসিসের,	ডিজিজের,	
somratra,	সম্রত্র,	সম্রাটরা,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
jhankaar,	ঝানকার,	ঝঙ্কার,	
model,	মোডেল,	মডেল,	
breakthraugh,	ব্রেক্ষাগ্র,	ব্রেকথ্রু,	
nagorikderkey,	নাগরিকদরীকে,	নাগরিকদেরকে,	
daaktikit,	ডাক্তিকিত,	ডাকটিকিট,	
baraak,	বারাক,	বারাক,	
gaze,	গজে,	গেজ,	
naraphoka,	নরফক,	নরফোক,	
muzibur,	মুজিবর,	মুজিবুর,	
shoo,	শু,	শো,	
dail,	ডেল,	ডেইল,	
michilti,	মিচিলটি,	মিছিলটি,	
meghkey,	মেঘকে,	মেঘকে,	
seector,	সেক্টর,	সেক্টর,	
nadnadeer,	নদ্নাদীর,	নদনদীর,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
prety,	প্রেতী,	প্রিটি,	
homasha,	হোমশ,	হোমস,	
evereste,	ইভারেস্টে,	এভারেস্টে,	
bohal,	বহল,	বহাল,	
qiuti,	কিউটি,	কিউটি,	
heerani,	হেরানি,	হিরানি,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
zubokder,	যুবকদের,	যুবকদের,	
horiddar,	হরিডার,	হরিদ্বার,	
shayanaida,	শায়ানেড,	সায়ানাইড,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
shamooker,	সামুকের,	শামুকের,	
cholochchitreer,	চলচ্চিত্রীর,	চলচ্চিত্রের,	
boikalya,	বৈকল্য,	বৈকল্য,	
surokarder,	সুরকারদের,	সুরকারদের,	
juktarashtrosaha,	যুক্তরস্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
nuhas,	নুহাস,	নুহাশ,	
kando,	কান্দ,	কাণ্ড,	
chaaka,	চাকা,	চাকা,	
alpakichudin,	অল্পকিিিউদ্দিন,	অল্পকিছুদিন,	
vault,	ভাল্ট,	ভল্ট,	
noren,	নরেন,	নরেন,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
sahochorjo,	সাচর্যর্য,	সাহচর্য,	
zoneser,	জনসের,	জোন্সের,	
bipojjonok,	বিপদজ্জনক,	বিপজ্জনক,	
habshi,	হববি,	হাবশী,	
charger,	চর্গের,	চার্জার,	
shrishri,	শ্রীশ্রী,	শ্রীশ্রী,	
oiteejye,	ঐতিহ্যে,	ঐতিহ্যে,	
muhammada,	মুহাম্মদ,	মুহাম্মদ,	
bondiike,	বন্দিকে,	বন্দীকে,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
samanwitobhabe,	সমানিনভাবে,	সমন্বিতভাবে,	
licencedhari,	লিচেন্সাচারী,	লাইসেন্সধারী,	
shrabasti,	শ্রবস্তী,	শ্রাবস্তী,	
shaswata,	শাসবাতা,	শাশ্বত,	
lidars,	লিডার্স,	লিডার্স,	
tyuner,	টাউনার,	টিউনার,	
muktilav,	মুক্তিল,	মুক্তিলাভ,	
aazan,	আজন,	আজান,	
karta,	করত্,	করতা,	
shilvar,	সিলভার,	সিলভার,	
nilav,	নিলভ,	নীলাভ,	
sothik,	সথীক,	সঠিক,	
chargito,	চর্গিত,	চার্জিত,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
karpeta,	কর্পেট,	কার্পেট,	
chhon,	ছন,	ছোঁ,	
fox,	ফো্স,	ফক্স,	
gaafeeloti,	গাফিলোটি,	গাফিলতি,	
dokaanei,	ডোকানেই,	দোকানেই,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
silabhara,	সিলভার,	সিলভার,	
dhormantor,	ধর্মান্তর,	ধর্মান্তর,	
elaakati,	এলাকাটি,	এলাকাটি,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
udvabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
saajano,	সাজানো,	সাজানো,	
shochindro,	শচিন্দ্র,	শচীন্দ্র,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
bukhari,	বুখারী,	বুখারি,	
miley,	মিলে,	মাইলে,	
probhu,	প্রভূ,	প্রভু,	
mumtaj,	মমতাজ,	মুমতাজ,	
laesens,	লাইসেন্স,	লাইসেন্স,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
carlas,	কার্লস,	কার্লোস,	
jotsna,	যোটস্ন,	জ্যোৎস্না,	
ekbakke,	একবাকে,	একবাক্যে,	
cheerokoomari,	চিরকামারি,	চিরকুমারী,	
pushtee,	পুষ্টি,	পুষ্টি,	
panchashjan,	পঞ্চাশযান,	পঞ্চাশজন,	
bongshoke,	বংশকে,	বংশকে,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
vittimul,	ভিত্তিমুল,	ভিত্তিমূল,	
sakaar,	সাকার,	সকার,	
basturyi,	বাস্তুরী,	বস্তুরই,	
taaims,	টাইমস,	টাইমস্,	
hijritey,	হিজরিতে,	হিজরীতে,	
durotomm,	দূরতম,	দূরতম,	
sektara,	সেক্টর,	সেক্টর,	
pacchen,	পাচ্ছেন,	পাচ্ছেন,	
dokaangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
nathivukto,	নথিউযুক্ত,	নথিভুক্ত,	
chhutir,	ছুটির,	ছুটির,	
jwoluk,	জ্বুলক,	জ্বলুক,	
licensedharii,	লিসেন্সাচারী,	লাইসেন্সধারী,	
cholo,	চলও,	চলো,	
plate,	প্লেট,	প্লেটে,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
touraat,	তুরারত,	তওরাত,	
saseza,	সাসেজা,	সসেজ,	
halloween,	হলোোন,	হ্যালোইন,	
soinyo,	সৈ্ন,	সৈন্য,	
okhondota,	অখন্দতা,	অখণ্ডতা,	
oncholti,	অঞচলটি,	অঞ্চলটি,	
lampat,	লম্প্,	লম্পট,	
potochitrer,	পটচিত্রের,	পটচিত্রের,	
pluse,	প্লাস,	প্লাসে,	
monjooshree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
temani,	তেমনি,	তেমনই,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
icebarg,	এসেবর্গ,	আইসবার্গ,	
upostheet,	উপস্থিত,	উপস্থিত,	
kule,	কুলে,	কুলে,	
temas,	টেমস,	টাইমস্,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
kalam,	কলাম,	কালাম,	
gori,	গরী,	গোরি,	
agiboner,	অগীবনের,	আজীবনের,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
vabuk,	ভাবুক,	ভাবুক,	
samosto,	সমস্ত,	সমস্ত,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
phutbolarra,	ফুটবলরার,	ফুটবলাররা,	
ashongkai,	অসংককাই,	আশঙ্কাই,	
atak,	অটক,	আটক,	
yak,	যক,	ইয়াক,	
madhyekar,	মধ্যকার,	মধ্যেকার,	
bhugole,	ভুগলে,	ভূগোলে,	
charchito,	চর্চিত,	চর্চিত,	
haluder,	হালুদের,	হলুদের,	
tenis,	ট্যানিস,	টেনিস,	
okritakarja,	ঐকৃতাযার্য,	অকৃতকার্য,	
baataree,	বাতারী,	ব্যাটারী,	
harris,	হ্যারিস,	হ্যারিস,	
annarup,	অন্যারূপ,	অন্যরূপ,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
jorer,	জোরের,	জ্বরের,	
janasangjog,	জনসংযোগ,	জনসংযোগ,	
resort,	রিসর্ট,	রিসোর্ট,	
shahocharje,	শাহচরায্চ্রে,	সাহচর্যে,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
postay,	পোস্টে,	পোস্টে,	
chalachchitrei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
aamudey,	আমুদে,	আমুদে,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
shangsthatir,	সংস্ঠাতির,	সংস্থাটির,	
chowdhuryke,	চৌধুরকী,	চৌধুরীকে,	
mononitoder,	মনোনিতদের,	মনোনীতদের,	
sip,	শীপ,	শিপ,	
capshule,	কপসপুল,	ক্যাপসুল,	
noitikatavodh,	নৈতিকাবযোদ,	নৈতিকতাবোধ,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
chetana,	চেতনা,	চেতনা,	
manikya,	মানিক্য,	মানিক্য,	
konan,	কোনন,	কোনান,	
zillul,	জিলুল,	জিল্লুল,	
dozo,	দজ,	ডোজো,	
ummul,	উম্মুল,	উম্মুল,	
male,	মেল,	মালে,	
shatjon,	শাজজন,	সাতজন,	
sahojlabhbhatar,	সহজল্ভবাত্য,	সহজলভ্যতার,	
santa,	সন্ত,	সান্তা,	
anish,	অনিশ,	আনিস,	
gabhaaskaar,	গভ্ষাসকার,	গাভাস্কার,	
patthkromer,	পাঠ্রমের,	পাঠক্রমের,	
holuder,	হলুদের,	হলুদের,	
thar,	থের,	থর,	
shaamiijiir,	স্বামীজীর,	স্বামীজীর,	
otyacharita,	অত্যাচারিত,	অত্যাচারিত,	
dianes,	ডায়েনস,	ডিএনএস,	
tanteera,	তান্তিরা,	তাঁতিরা,	
safi,	সফি,	সাফি,	
mashjid,	মাজজিদ,	মসজিদ,	
somudrotote,	সমুদ্রতে,	সমুদ্রতটে,	
abasane,	অবাসনে,	অবসানে,	
songbadmadhyame,	সংবাদধম্যে,	সংবাদমাধ্যমে,	
carlosh,	কার্লস,	কার্লোস,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
shiqar,	সিকার,	শিকার,	
bhadaka,	ভাদকা,	ভদকা,	
trupa,	ট্রুপ,	ট্রুপ,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
bibade,	বিবাদে,	বিবাদে,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
joneetey,	জনিতে,	যোনীতে,	
lambaate,	লম্বাতে,	লম্বাটে,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
tarkarir,	তরকারীর,	তরকারীর,	
military,	মিলিটারী,	মিলিটারি,	
maila,	মাইল,	মাইল,	
jwarer,	যাবরের,	জ্বরের,	
jeebonnogor,	জীবন্গগর,	জীবননগর,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
nathivuktir,	নথিউযুক্তির,	নথিভুক্তির,	
logic,	লোগিক,	লজিক,	
hizri,	হিজরি,	হিজরী,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
chat,	চট,	চ্যাট,	
zommu,	জম্মু,	জম্মু,	
matrikar,	মাত্রিকার,	মাতৃকার,	
bhyatikaaner,	ভ্যতিকানের,	ভ্যাটিকানের,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
geja,	গেজ,	গেজ,	
lompot,	লম্প্,	লম্পট,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
elakatike,	এলাকটিকে,	এলাকাটিকে,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
nicqel,	নিক্লেল,	নিকেল,	
asociates,	অ্যাসিসিয়েট,	এসোসিয়েটস,	
ayadabhanshada,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
upobaasee,	উপবাসী,	উপবাসী,	
vogiroth,	ভোগীরথ,	ভগীরথ,	
lotheeran,	লথিযানার,	লুথেরান,	
lohaa,	লোহ,	লোহা,	
bosontokke,	বসন্তকে,	বসন্তকে,	
parther,	পার্থার,	পার্থের,	
tochnochh,	তচ্নচ,	তছনছ,	
minister,	মিনিস্টার,	মিনিস্টার,	
vodqa,	ভোঁকা,	ভদকা,	
jokey,	যোকে,	জকি,	
chalche,	চলছে,	চলছে,	
elakatikay,	এলাকটিকে,	এলাকাটিকে,	
mahakabi,	মহাকাবি,	মহাকবি,	
muhu,	মুহু,	মুহু,	
kas,	কাশ,	কাস,	
akatwa,	একত্ব,	একাত্ব,	
sudhuyi,	সুধুই,	শুধুই,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
melbourney,	মেলবোর্নি,	মেলবোর্নে,	
nesanasa,	নেশনস,	নেশনস,	
faaj,	ফাজ,	ফাজ,	
sorboshoktiman,	সর্বসম্তীকেন,	সর্বশক্তিমান,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
sacheton,	সচেতন,	সচেতন,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
nek,	নেক,	নেক,	
lutheran,	লুঠারেন,	লুথেরান,	
dhani,	ধ্বনি,	ধানি,	
pancbaar,	পাঁচাবার,	পাঁচবার,	
gezeteda,	জেজেটেড,	গেজেটেড,	
tafsirer,	তাফসিরের,	তাফসীরের,	
tochhnochh,	তচ্নচ,	তছনছ,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
protul,	প্রোতল,	প্রতুল,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
thailandsaho,	থাইলনসদ,	থাইল্যান্ডসহ,	
jacqsan,	জ্যাকশন,	জ্যাকসন,	
aabarto,	আবর্ত,	আবর্ত,	
bharson,	ভার্সন,	ভারশন,	
boron,	বরণ,	বোরন,	
babylone,	বাযালিয়েন,	ব্যাবিলনে,	
naaji,	নাজি,	নাত্সি,	
sudhui,	সুধুই,	শুধুই,	
zubokera,	যুবকেরা,	যুবকেরা,	
vip,	ভীপ,	ভিআইপি,	
ganana,	গানানা,	গননা,	
jolatonko,	জলাতনক,	জলাতঙ্ক,	
olpokichudin,	অল্পকিখুদিন,	অল্পকিছুদিন,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
maner,	মানের,	মানে,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
ishpredshheet,	ইস্প্রেডসেস,	স্প্রেডশীট,	
narafoka,	নরফাকো,	নরফোক,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
deputy,	ডিপুটি,	ডেপুটি,	
snipar,	স্পীনার,	স্নাইপার,	
khanonkaj,	খননকাজ,	খননকাজ,	
dhrubak,	ধ্রাবক,	ধ্রুবক,	
porjotoker,	পর্যটকের,	পর্যটকের,	
pala,	পাল,	পোলো,	
madhukooree,	মধুুকরী,	মাধুকরী,	
udor,	উদর,	উদর,	
chirantan,	চীরন্তন,	চিরন্তন,	
ishter,	ইষ্টার,	ইস্টের,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
bodh,	বধ,	বোধ,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
ekhate,	এখাতে,	একহাতে,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
thesiser,	ঠেসিসের,	থিসিসের,	
chutochuti,	চুটুছুটি,	ছুটোছুটি,	
mastarsa,	মোস্টার্স,	মাস্টার্স,	
grambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
olympic,	অলিম্পিক,	অলিম্পিক,	
chaiten,	চাইতেন,	চাইতেন,	
gacher,	গাছের,	গাছের,	
prokolpou,	প্রকল্পু,	প্রকল্পও,	
