antarbhuttirmulok,	অন্তর্ভূত্ূমূলক,	অন্তর্ভুক্তিমূলক,	
daul,	ডাউল,	দেউল,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
orhan,	ওরহণ,	ওরহান,	
reefleex,	রিফেক্স,	রিফ্লেক্স,	
builder,	বিল্ডের,	বিল্ডার,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
ponthaar,	পন্থার,	পন্থার,	
kaferder,	কাফারদের,	কাফেরদের,	
naraphoqa,	নরফক,	নরফোক,	
sbatantrata,	স্বতান্ত্রতা,	স্বতন্ত্রতা,	
thaakeni,	থাকেনি,	থাকেনি,	
chhooteete,	ছুটিতে,	ছুটিতে,	
anektai,	অনেকটাই,	অনেকটাই,	
modelgulo,	মদেলগুলো,	মডেলগুলো,	
hoondayi,	হন্ডাই,	হুন্দাই,	
station,	স্টেশন,	ষ্টেশন,	
temanti,	তেমন্তি,	তেমনটি,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
ameerica,	অ্যামেরিকা,	আমেরিকা,	
oshamonjosshoporno,	অসামান্যপোর্ণ,	অসামঞ্জস্যপূর্ণ,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
hili,	হিলি,	হিলি,	
kalnir,	কালনির,	কালনীর,	
baraakpur,	ব্যারাপুর,	বারাকপুর,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
shiramikasha,	সিরামিকাস,	সিরামিকস,	
creshcent,	ক্রেস্েেন্ট,	ক্রিসেন্ট,	
bondira,	বন্দিরা,	বন্দীরা,	
korkotkraantee,	করক্তারণ্তি,	কর্কটক্রান্তি,	
munshi,	মুনশী,	মুন্সি,	
meghe,	মেঘে,	মেঘে,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
dunkan,	ডানকান,	ডানকান,	
addabaaz,	আদ্বাভোজ,	আড্ডাবাজ,	
rohosyo,	রহস্য,	রহস্য,	
shamook,	শামুক,	শামুক,	
brek,	ব্রেক,	ব্রেক,	
jerujalem,	জারুজালেম,	জেরুসালেম,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
bagmara,	বাগমার,	বাগমারা,	
laaisheesh,	লাইশেস,	লাইসেন্স,	
karecha,	করেছ,	করেছ,	
technocrat,	টেকন্কররট,	টেকনোক্র্যাট,	
dharer,	ধারের,	ধরের,	
inamila,	এনামিল,	এনামেল,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
carloos,	কার্লস,	কার্লোস,	
japaanira,	জাপানীরা,	জাপানিরা,	
uzobekeestaan,	উজবেকিস্তান,	উজবেকিস্তান,	
mohakobi,	মহাকবি,	মহাকবি,	
monjhostho,	মঞ্যস্থ,	মঞ্চস্থ,	
ulcer,	উলসার,	আলসার,	
rohasyer,	রাহাস্যের,	রহস্যের,	
projanankal,	প্রজননক্লাল,	প্রজননকাল,	
nirmaankaj,	নির্মাণকজ,	নির্মাণকাজ,	
bonnypran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
mumtaj,	মমতাজ,	মুমতাজ,	
elakatir,	এলাকাটির,	এলাকাটির,	
jakkha,	যক্ষ্মা,	যক্ষ,	
boudha,	বৌধ,	বৌদ্ধ,	
uzbekistaner,	উজ্বিক্ষিতানের,	উজবেকিস্তানের,	
shrabasti,	শ্রবাসটি,	শ্রাবস্তী,	
maile,	মেলে,	মাইল,	
shiropadhari,	শিরোপাধারী,	শিরোপাধারী,	
bishwaashshoi,	বিশ্বাসই,	বিশ্বাসই,	
babyloney,	বাবললনে,	ব্যাবিলনে,	
bheemsen,	ভিমসেন,	ভীমসেন,	
ponthar,	পন্থর,	পন্থার,	
gudamjat,	গুদমজ্জত,	গুদামজাত,	
lagchhe,	লাগছে,	লাগছে,	
unitgulo,	উণিত্লগু,	ইউনিটগুলো,	
pujita,	পূজিত,	পূজিতা,	
poscime,	পশ্চিম,	পশ্চিমে,	
bodhirta,	বধিরত্,	বধিরতা,	
nathivukto,	নথিভূক্ত,	নথিভুক্ত,	
nondolaal,	নন্দলাল,	নন্দলাল,	
canservatian,	কনজ্রভেশন,	কনসারভেশন,	
bhaibonera,	ভাইবেরে,	ভাইবোনেরা,	
tookrotey,	তুকরোতে,	টুকরোতে,	
kaathhmaandute,	কাঠমণ্ডুতে,	কাঠমান্ডুতে,	
heelser,	হিলসের,	হিলসের,	
jonopoth,	জনপথ,	জনপথ,	
goteerodh,	গতিরোধ,	গতিরোধ,	
oncolei,	অঞ্কলে,	অঞ্চলেই,	
swosti,	শ্বস্তি,	স্বস্তি,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
stona,	স্টোনা,	স্টোন,	
puroheetke,	পুরোহীতকে,	পুরোহিতকে,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
benis,	বেনিস,	ভেনিস,	
mosjid,	মসিজদ,	মসজিদ,	
bhageri,	ভাগেরই,	ভাগেরই,	
chalachchitroi,	চলচিত্রী,	চলচ্চিত্রই,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
jibonnogor,	জীবনগুর,	জীবননগর,	
saalsa,	সালস,	সালসা,	
chabir,	ছবির,	চাবির,	
heepataitisa,	হাপোটাইটিস,	হেপাটাইটিস,	
koommatei,	কমাতেই,	কমাতেই,	
masjid,	মাজজিদ,	মসজিদ,	
madhobi,	মাধবী,	মাধবী,	
towbaar,	টবার,	তওবার,	
obhigomon,	অভিগমন,	অভিগমন,	
iuqyaliptasa,	ইউক্যালিপেসট,	ইউক্যালিপ্টাস,	
taphaat,	তফফাট,	তফাৎ,	
karechi,	করেছি,	করেছি,	
dhhaaloor,	ঢালুর,	ঢালুর,	
anupater,	অনুপতের,	অনুপাতের,	
bharote,	ভারতে,	ভারতে,	
pachtar,	পাঁচটার,	পাঁচটার,	
jothartho,	যথার্থ,	যথার্থ,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
gajipur,	গাজীপুর,	গাজীপুর,	
chalabe,	চালাবি,	চালাবে,	
danober,	দানবের,	দানবের,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
ganesh,	গেনস,	গণেশ,	
komtee,	কমতে,	কমতি,	
clause,	ক্লাউজ,	ক্লজ,	
parisankhyanvid,	পরিসংখ্যাবিধ,	পরিসংখ্যানবিদ,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
neurologi,	নিউরোলোজি,	নিউরোলজি,	
ekkoghore,	একঘরে,	একঘরে,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
abdun,	আব্দুন,	আবদুন,	
paksenara,	পক্সেনার,	পাকসেনারা,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
byabaharkari,	ব্যাবাহকরি,	ব্যবহারকারী,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
anis,	অনিষ,	আনিস,	
kamij,	কামিজ,	কামিজ,	
rabeta,	রবেটা,	রাবেতা,	
platoo,	প্লটো,	প্লেটো,	
prapokke,	প্রাপককে,	প্রাপককে,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
cholocchitroke,	চলচ্তিত্রকে,	চলচ্চিত্রকে,	
yucalyptus,	ইউক্যাপিলটস,	ইউক্যালিপ্টাস,	
saranor,	সরানোর,	সরানোর,	
bohoodeen,	বহুদিন,	বহুদিন,	
sekarane,	সেকারণে,	সেকারণে,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
feemalee,	ফেমালী,	ফিমেল,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
bethik,	ব্যথিক,	বেঠিক,	
kingdam,	কিংগ্ম,	কিংডম,	
jwoluk,	জ্বলুক,	জ্বলুক,	
parichchhannata,	পরিচ্ছনন্ত,	পরিচ্ছন্নতা,	
bhittimul,	ভিত্তিমুল,	ভিত্তিমূল,	
projononkal,	প্রজননকলা,	প্রজননকাল,	
poroborti,	পরবর্তী,	পরর্বতী,	
bongsho,	বংস,	বংশ,	
bosoben,	বসবেন,	বসবেন,	
bloggerra,	ব্লোগের্াা,	ব্লগাররা,	
jees,	জেস,	জেস,	
ummul,	উম্মুল,	উম্মুল,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
santoshpur,	সন্তস্পর,	সন্তোষপুর,	
goteebege,	গতিবেগে,	গতিবেগে,	
khude,	খুদে,	ক্ষুদে,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
itastato,	ইটাস্তত,	ইতস্তত,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
tahalo,	তাহলো,	তাহলো,	
nisad,	নিশাদ,	নিষাদ,	
gejeted,	গেজেটেড,	গেজেটেড,	
restaurant,	রেস্তোরাঁ,	রেষ্টুরেন্ট,	
windo,	উইন্ড,	উইন্ডো,	
ekhaate,	এখাতে,	একহাতে,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
mosjidtir,	মসিজদিটির,	মসজিদটির,	
bayii,	বাই,	বাঈ,	
asocietes,	অসযাসিয়েস্ট,	এসোসিয়েটস,	
kanaflikta,	কানাফল্ক্ট,	কনফ্লিক্ট,	
sohokari,	সহকারি,	সহকারী,	
chorbon,	চর্বন,	চর্বন,	
baabul,	বাবুল,	বাবুল,	
vaskor,	ভাস্কর,	ভাস্কর,	
daeel,	ডাল,	ডেইল,	
songhitar,	সংঘীতার,	সংহিতার,	
bhabotarini,	ভবতারিণী,	ভবতারিণী,	
hajareebag,	হাজারিভা,	হাজারিবাগ,	
jibanto,	জীবন্ত,	জীবন্ত,	
shef,	সেফ,	শেফ,	
dojo,	দজ,	ডোজো,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
sofy,	সফি,	সোফি,	
brindaaboner,	বৃণ্ডাবনের,	বৃন্দাবনের,	
suparharo,	সুপারহার,	সুপারহিরো,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
keu,	কিউ,	কেউ,	
bafal,	বাফল,	বিফল,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
brookoleen,	ব্রকোলিন,	ব্রুকলিন,	
damanmulok,	দামানমূলক,	দমনমূলক,	
chanake,	চানকে,	ছানাকে,	
raits,	রেটস,	রাইটস,	
musalmanra,	মুসলম্নর,	মুসলমানরা,	
gonoporeebohon,	গণপরীবহন,	গণপরিবহন,	
nogonyo,	নগন্য,	নগণ্য,	
qinsa,	কিংস,	কিংস,	
aairish,	আইরিশ,	আইরিস,	
ujbekistaner,	উজ্বিক্ষিতানের,	উজবেকিস্তানের,	
shartho,	স্বর্থ,	স্বার্থ,	
parsher,	পারসের,	পার্শ্বের,	
keram,	কেরাম,	কেরাম,	
nirmankaz,	নির্মাণকজ,	নির্মাণকাজ,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
kadom,	কাদম,	কদম,	
baraak,	ব্যারাক,	বারাক,	
agamane,	আগামনে,	আগমনে,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
superheiroo,	সুপারেহর,	সুপারহিরো,	
mat,	ম্তাত,	ম্যাট,	
raktaksharaner,	রক্তকারণণের,	রক্তক্ষরণের,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
charrjer,	চার্জের,	চার্জের,	
mosharrof,	মোশাররফ,	মশাররফ,	
deraa,	দিরা,	ডেরা,	
skart,	স্কার্ট,	স্কার্ট,	
blagarara,	ব্লগগারা,	ব্লগাররা,	
ganana,	গণনা,	গননা,	
bandhubhabaponno,	বন্ধুবভন্প,	বন্ধুভাবাপন্ন,	
rapto,	রপ্ত,	রপ্ত,	
naitikatavodh,	নৈতিকাবধো,	নৈতিকতাবোধ,	
chhaani,	ছানি,	ছানি,	
dholeshori,	ধলেশরি,	ধলেশ্বরী,	
naneer,	নানীর,	নানীর,	
arakdal,	আরক্দল,	আরেকদল,	
phutanta,	ফুটন্ত,	ফুটন্ত,	
aanhu,	আনু,	আনহু,	
porishongkhyanbid,	পরিসংখ্যবিদ,	পরিসংখ্যানবিদ,	
cade,	কেড,	কোড,	
romantiq,	রোম্যটিক,	রোমান্টিক,	
angurer,	আঙ্গুরের,	আঙ্গুরের,	
taap,	তুপ,	ট্যাপ,	
shattoki,	সাত্যকি,	সাত্যকি,	
torangunj,	তরানগুজ্জ,	তোরাবগঞ্জ,	
hotelteete,	হটেলটিতে,	হোটেলটিতে,	
sbaajan,	স্বজন,	স্বজন,	
shita,	সিটা,	সিট,	
azadeer,	আজাদীর,	আজাদীর,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
praapoker,	প্রাপকের,	প্রাপকের,	
utshahomulok,	উতসহামূলক,	উৎসাহমূলক,	
rajpur,	রাজপুর,	রাজপুর,	
nirapekkhotar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
bhaibonder,	ভাইন্দের,	ভাইবোনদের,	
konflikt,	কনফল্ক্ট,	কনফ্লিক্ট,	
manabsamajer,	মানবসামাজের,	মানবসমাজের,	
chal,	চল,	চাল,	
arthoneeti,	অর্থনীটি,	অর্থনীতির,	
krok,	ক্রক,	ক্রোক,	
gavaskar,	গভাসকার,	গাভাস্কার,	
advoot,	আদ্ভুত,	অদ্ভুত,	
devolopar,	ডেভলপার,	ডেভলপার,	
nagalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
anchalsaha,	অঞ্চললসহ,	অঞ্চলসহ,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
kaalniir,	কালনীর,	কালনীর,	
cada,	কোড,	কোডা,	
chanoo,	চান,	চানু,	
makong,	ম্যাকং,	মেকং,	
gabeshokgon,	গবেষকণ,	গবেষকগণ,	
uter,	উউটের,	উটের,	
bandhubhaabaapanna,	বন্ধুবভন্প,	বন্ধুভাবাপন্ন,	
phokser,	ফক্সের,	ফক্সের,	
maner,	মানের,	মানে,	
shommoteer,	সম্মতির,	সম্মতির,	
manushsoho,	মানুসসহ,	মানুষসহ,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
rachonakal,	রচনালক,	রচনাকাল,	
kaash,	কাশ,	কাস,	
nagariker,	নাগরিকের,	নাগরিকের,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
gadha,	গাধা,	গাধা,	
bishasey,	বিশাসে,	বিশ্বাসে,	
hingsar,	হিংসার,	হিংসার,	
ceramiqs,	সারামিক্স,	সিরামিকস,	
tenisha,	টেনিস,	টেনিস,	
durotomm,	দুরোতম,	দূরতম,	
joruri,	জরুরি,	জরূরী,	
liceencee,	লিসেন্স,	লাইসেন্স,	
bboponer,	বপনের,	বপনের,	
parbottyo,	পর্বত্ত,	পার্বত্য,	
zuboke,	যুবকে,	যুবকে,	
madrajer,	মাদরাজের,	মাদ্রাজের,	
chhereche,	ছেরেছে,	ছেড়েছে,	
uponishod,	উপনিষোদ,	উপনিষদ,	
daktikiter,	দাক্তিকটির,	ডাকটিকিটের,	
foks,	ফোক্স,	ফক্স,	
satthikota,	সাঠিকতা,	সঠিকতা,	
seguloi,	সেগুলোই,	সেগুলোই,	
vittiteow,	ভিত্তীও,	ভিত্তিতেও,	
tyap,	ট্যাপ,	ট্যাপ,	
wenom,	ভেনম,	ভেনম,	
shelinar,	সিলিনার,	সেলিনার,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
susama,	সুসম,	সুসম,	
taunsheep,	তানশিপ,	টাউনশিপ,	
hanttey,	হাঁটতে,	হাঁটতে,	
pracharana,	প্রচারনা,	প্রচারণা,	
mb,	এমবি,	এমবি,	
granther,	গ্রন্থের,	গ্রন্থের,	
baait,	ব্যাট,	বাইট,	
skolastik,	স্কলস্টিক,	স্কলাস্টিক,	
vodka,	ভো্কা,	ভদকা,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
graambasi,	গ্রাম্বাসী,	গ্রামবাসী,	
danaqana,	ডানাকান,	ডানকান,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
jeebanjapon,	জীবন্যপণ,	জীবনযাপন,	
redcrosser,	রেড্রোসেটর,	রেডক্রসের,	
eenameela,	ইনামেল,	এনামেল,	
sorjur,	সর্জুর,	সরযূর,	
addhatikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
expression,	এক্সপ্রেসেশন,	এক্সপ্রেশন,	
ancholke,	আঞ্চললে,	অঞ্চলকে,	
temoni,	তেমনি,	তেমনই,	
shift,	সিফট,	শিফট,	
asavyo,	অসভ্য,	অসভ্য,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
sane,	সেন,	সনে,	
kram,	ক্রাম,	ক্রম,	
parijan,	পরিজন,	পরিজন,	
probesher,	প্রবেশের,	প্রবেশের,	
ancholtikey,	অঞ্চলটিকে,	অঞ্চলটিকে,	
stanahenja,	স্টানাহেঞ্জ,	স্টোনহেঞ্জ,	
telakucha,	টেলাকুচ্,	তেলাকুচা,	
poojito,	পুজিত,	পুজিত,	
nodnadir,	নদনাদির,	নদনদীর,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
oxforde,	অক্সোর্ডে,	অক্সফোর্ডে,	
chirohorit,	চিরহিরত,	চিরহরিৎ,	
mitrota,	মিত্রতা,	মিত্রতা,	
siqh,	শিখ,	শিখ,	
bahal,	বহল,	বহাল,	
deebug,	দিবুগ,	ডিবাগ,	
musalmanera,	মুসল্মণেরা,	মুসলমানেরা,	
boikollyo,	বৈকল্য,	বৈকল্য,	
shalsa,	সালস,	সালসা,	
khilaphat,	খিলাফাত,	খিলাফত,	
jockei,	যকেই,	জকি,	
jerusalemer,	জারুসালেমের,	জেরুজালেমের,	
nathivookta,	নথিভূক্ত,	নথিভুক্ত,	
nartakike,	নার্যকিকে,	নর্তকীকে,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
jestha,	জেষ্ঠায,	জ্যেষ্ঠা,	
artilery,	অর্টিলারি,	আর্টিলারি,	
gunoman,	গুণমান,	গুণমান,	
tiner,	টিনের,	তিনের,	
alauler,	আলাউলের,	আলাওলের,	
transcom,	ট্রান্সকম,	ট্রান্সকম,	
dwibidha,	দুবিদাধ,	দ্বিবিধ,	
culing,	কালিং,	কুলিং,	
nepchuner,	নেপুনের,	নেপচুনের,	
bashitey,	বসিতে,	বাঁশিতে,	
sangrahok,	সংগ্রাহক,	সংগ্রাহক,	
inapharameshhana,	ইনফ্রমেশন,	ইনফরমেশন,	
karmokerer,	কার্মকেরের,	কর্মকারের,	
karater,	করাতের,	কারাতের,	
shaleha,	সালহ,	সালেহা,	
pachak,	পচচক,	পাচক,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
nuhash,	নুহাস,	নুহাশ,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
jalrang,	জলরর,	জলরঙ,	
shashoto,	শাসত,	শাশ্বত,	
ivil,	এভিল,	ইভিল,	
drisser,	দৃষ্যের,	দৃশ্যের,	
iranayer,	ইরানের,	ইরানের,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
modele,	মোডেলে,	মডেলে,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
janagononar,	জনগণনার,	জনগণনার,	
locker,	লকের,	লকের,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
madeelim,	ম্যামিলিং,	মডেলিং,	
zyaka,	জ্যাকা,	জ্যাক,	
somabesh,	সমাবেশ,	সমাবেশ,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
taunship,	তানশিপ,	টাউনশিপ,	
nochiketa,	নকিকতা,	নচিকেতা,	
bunot,	বুনত,	বুনট,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
nutoner,	নিউটনের,	নূতনের,	
mulor,	মুলোর,	মুলোর,	
sporsher,	স্পর্ষের,	স্পর্শের,	
dokaangulotey,	দকানগুলোতে,	দোকানগুলোতে,	
deke,	ডেক,	ডেকে,	
debating,	দেবাটিং,	ডিবেটিং,	
paikar,	পাইকার,	পাইকার,	
archimedes,	আর্কিমেদিস,	আর্কিমিডিস,	
gonocheen,	গণছিন,	গণচীন,	
deep,	ডিপ,	দীপ,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
damone,	দমনে,	দমনে,	
mangoleek,	মা্গোলিক,	মাঙ্গলিক,	
thor,	থোর,	থর,	
chaaltaa,	চালটা,	চালতা,	
soasage,	সসাগে,	সসেজ,	
potchitrer,	পযচিত্রের,	পটচিত্রের,	
vabnake,	ভান্াাকে,	ভাবনাকে,	
charzara,	চারজার,	চার্জার,	
sahochorjey,	সহহর্য্যে,	সাহচর্যে,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
chomski,	চমসকি,	চমস্কি,	
ul,	উল,	উল,	
nikeela,	নিকেল,	নিকেল,	
chire,	চিরে,	চিরে,	
sanatoni,	সননাটনি,	সনাতনী,	
carzer,	কার্জের,	চার্জের,	
jahra,	জাহরা,	যাহরা,	
benj,	বেঞ্জ,	বেঞ্জ,	
balaruma,	বলরামা,	বলরুম,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
poripaker,	পরিপকের,	পরিপাকের,	
siropadharii,	শিরোপাধারী,	শিরোপাধারী,	
vaibonera,	ভাইবেরে,	ভাইবোনেরা,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
chattke,	ছাটকে,	ছাতকে,	
licensin,	লিসেন্সিং,	লাইসেন্সিং,	
marmaara,	মার্মার,	মারমারা,	
silvi,	সিলভি,	সিলভি,	
venuser,	ভেনাসের,	ভেনাসের,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
mitrer,	মিত্রের,	মিত্রের,	
hud,	হুড,	হুড,	
aarmstrong,	আর্মস্ট্রিং,	আর্মস্ট্রং,	
maarmaader,	মার্মাদের,	মারমাদের,	
parshwey,	পারস্বে,	পার্শ্বে,	
baarak,	ব্যারাক,	বারাক,	
marino,	মারিনো,	মারিনো,	
foksher,	ফক্ষের,	ফক্সের,	
gunje,	গুঞ্জ,	গুঁজে,	
porijoner,	পরিজনের,	পরিজনের,	
avishangsan,	অভিষংংসন,	অভিশংসন,	
seconde,	সেকন্দে,	সেকেন্ডে,	
gacher,	গাছের,	গাছের,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
servere,	সার্ভারে,	সার্ভারে,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
liceensee,	লিসেন্সি,	লাইসেন্স,	
chatrorai,	ছাত্রাই,	ছাত্ররাই,	
planea,	প্লেনে,	প্লেনে,	
arbit,	অরবিত,	অরবিট,	
uinndos,	উইন্ডস,	উইন্ডোস,	
aksathei,	একসেথেই,	একসাথেই,	
avetar,	অভাতার,	অবতার,	
ceema,	সেম,	সীমা,	
gonosakkhorota,	গণসক্ষরত,	গণসাক্ষরতা,	
tenys,	টেনিস,	টেনিস,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
byaboharkarie,	ব্যাবহারকারী,	ব্যবহারকারীই,	
asamarik,	আসামারিক,	অসামরিক,	
jomkaalo,	জোমকালো,	জমকালো,	
hirani,	হিরানি,	হিরানি,	
maudeler,	মডেলের,	মডেলের,	
teenti,	তিনটি,	তিনটি,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ekghore,	একঘরে,	একঘরে,	
ganochiner,	গণছিনের,	গণচীনের,	
bhor,	ভোর,	ভর,	
sarbhaarti,	সর্ভার্তি,	সার্ভারটি,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
chef,	সেফ,	শেফ,	
maniktola,	মনিকতালা,	মানিকতলা,	
parshe,	পারসে,	পার্শ্বে,	
koner,	কোণের,	কনের,	
jatinkey,	যতিনকে,	যতীনকে,	
tookroti,	তুকরতি,	টুকরোটি,	
sumita,	সুমিতা,	সুমিতা,	
noter,	নটের,	নোটের,	
ddheela,	দেল,	ঢিলা,	
anchalo,	আঞ্চালো,	অঞ্চলও,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
harysoner,	হারিসনের,	হ্যারিসনের,	
rites,	রাইটস,	রিতেশ,	
ralafa,	রলফ,	রালফ,	
toroonke,	তরুণকে,	তরুণকে,	
jakser,	যক্ষের,	যক্ষের,	
mukhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
eesosiyeetasa,	এসোসিয়েস্ট,	এসোসিয়েটস,	
koda,	কোড,	কোড,	
madraser,	মাদরাসের,	মাদ্রাজের,	
surarop,	সুরারোপ,	সুরারোপ,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
heris,	হিরিস,	হ্যারিস,	
porjotoker,	পর্যটকের,	পর্যটকের,	
ekghorey,	একঘরে,	একঘরে,	
shangkaloner,	সংকলনের,	সংকলনের,	
mojlis,	মজলিস,	মজলিশ,	
militarir,	মিলিটারীর,	মিলিটারির,	
arshie,	আর্সি,	আরসিএ,	
license,	লিসেন্স,	লাইসেন্স,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
dhhaaby,	ঢাবি,	ঢাবি,	
olngkoron,	অলংকরণ,	অলঙ্করণ,	
chalake,	চালাকে,	চালকে,	
pratistha,	প্রতিষ্ঠ,	প্রতিষ্টা,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
vobtarini,	ভোবরাইনি,	ভবতারিণী,	
byaboharkareei,	ব্যাবহারকারী,	ব্যবহারকারীই,	
jeansh,	জেনস,	জিন্স,	
manushsaho,	মানুসসহ,	মানুষসহ,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
suraropeeto,	সুরারপিত,	সুরারোপিত,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
pharanyata,	ফার্নযাত,	ফরম্যাট,	
mulaadi,	মুলাদী,	মুলাদি,	
tintir,	তিনটির,	তিনটির,	
feroza,	ফেরোজা,	ফিরোজা,	
neerbaho,	নির্বাহ,	নির্বাহ,	
byte,	বেটে,	বাইট,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
donaat,	ডোনাট,	ডোনাট,	
proshtutkarok,	প্রস্তুতকরক,	প্রস্তুতকারক,	
fanser,	ফাঁসের,	ফাঁসের,	
qarlosa,	কার্লস,	কার্লোস,	
sanmukh,	সন্মুখ,	সন্মুখ,	
noditei,	নদিতেই,	নদীতেই,	
tenish,	টেনিস,	টেনিস,	
saazano,	সাজান,	সাজানো,	
loker,	লোকের,	লকের,	
baagicar,	বাগিকার,	বাগিচার,	
alsaara,	অলসার,	আলসার,	
maddhuri,	মাধুরি,	মাধুরী,	
afjal,	আফজাল,	আফজল,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
moonim,	মুনিং,	মুনিম,	
swatantrata,	স্বতান্ত্রত,	স্বতন্ত্রতা,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
lakhindarer,	লক্ষিণ্দরের,	লখিন্দরের,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
asocheton,	অসচেতন,	অসচেতন,	
