dhonuker,	ধ্নুকের,	ধনুকের,	
byatikromer,	ব্যততিক্রমের,	ব্যতিক্রমের,	
osamajik,	ওসামাজিক,	অসামাজিক,	
jonal,	জোনাল,	জোনাল,	
mon,	মন,	মণ,	
durgatader,	দুর্গটদের,	দুর্গতদের,	
ananya,	অনায্ন,	অনন্য,	
sankalita,	সঙ্কলিত,	সঙ্কলিত,	
aarthar,	আর্থার,	আর্থার,	
goneshkey,	গণেসকে,	গণেশকে,	
folprosu,	ফলপ্রসূ,	ফলপ্রসু,	
shikarpoor,	শিকারপুর,	শিকারপুর,	
chowdhurysoho,	চৌধুরিষ,	চৌধুরীসহ,	
nirabadhi,	নিরাবধি,	নিরবধি,	
kobjeer,	কব্জির,	কবজির,	
note,	নোটে,	নোট,	
khurer,	খুরের,	ক্ষুরের,	
namok,	নামক,	নামক,	
deritey,	দেরিতে,	দেরীতে,	
luxari,	লুকারি,	লাক্সারি,	
lisa,	লিস,	লিসা,	
qanabharsana,	কনভোর্সন,	কনভার্সন,	
kaminir,	কামিনির,	কামিনীর,	
janahitokar,	জনাহিতকার,	জনহিতকর,	
moshladar,	মোললাদার,	মশলাদার,	
hoteler,	হোটেলের,	হোটেলের,	
patient,	পোটিন্ট,	পেসেন্ট,	
porishodhon,	পরিসোধন,	পরিশোধন,	
thhyang,	থ্যাং,	ঠ্যাং,	
harmoneeka,	হার্মনিক,	হারমোনিকা,	
abhedya,	অভেদ্য,	অভেদ্য,	
samajsevamulak,	সমাজসেমলূক,	সমাজসেবামূলক,	
acadimia,	একাডেমিয়া,	একাডেমিয়া,	
guinear,	গুইনের,	গিনির,	
comp,	কম্প,	কম্প,	
cansus,	কনসাস,	ক্যানসাস,	
moshzido,	মস্জিদ,	মসজিদও,	
shulko,	সুল্কো,	শুল্ক,	
muzhe,	মুঝে,	মুঝে,	
dhalee,	ধালি,	ঢালী,	
ottabassyak,	অত্মাবস্যক,	অত্যাবশ্যক,	
eija,	এইজা,	এইজ,	
sobrakam,	সব্রকম,	সবরকম,	
harter,	হর্তের,	হার্টের,	
theekthak,	ঠিকথাক,	ঠিকঠাক,	
folgulo,	ফলগুলো,	ফলগুলো,	
gunphol,	গুণফল,	গুণফল,	
dostidaar,	দস্তিদার,	দস্তিদার,	
procharok,	প্রচারক,	প্রচারক,	
agranthito,	অগ্রন্থিত,	অগ্রন্থিত,	
rage,	রাগে,	রাগে,	
bharke,	ভার্কে,	ভরকে,	
hoteeler,	হটটিলের,	হোটেলের,	
upakar,	উপাকার,	উপকার,	
paakshenader,	পাক্ষণেদের,	পাকসেনাদের,	
nadiira,	নাদীরা,	নদীর,	
hajari,	হাজারি,	হাজারী,	
nehurur,	নেহুরুর,	নেহরুর,	
samabeshey,	সমবেশে,	সমাবেশে,	
meentala,	মেন্টাল,	মেন্টাল,	
neherur,	নেহেরুর,	নেহরুর,	
sudhi,	সুধি,	সুধী,	
bishwaser,	বিশ্বাসের,	বিশ্বাসের,	
nirapattao,	নিরপপ্ততা,	নিরাপত্তাও,	
parthii,	পার্থী,	পার্থী,	
moreel,	মরিল,	মোরেল,	
onto,	অন্ত,	অন্তু,	
ghesa,	ঘেষ,	ঘেষা,	
taphsire,	টাফসির়,	তাফসীরে,	
raajer,	রাজের,	রাজের,	
parishodhita,	পরিসোধীত,	পরিশোধিত,	
gandhii,	গন্ধী,	গান্ধী,	
amu,	আমু,	আমু,	
holey,	হলে,	হোলে,	
eekadeemiya,	একোডেমিয়া,	একাডেমিয়া,	
trinidarer,	ট্রিনিডারের,	ত্রিনিদাদের,	
atmoghati,	আত্মগাতি,	আত্মঘাতী,	
kobjir,	কব্জির,	কবজির,	
dhanu,	ধানু,	ধনু,	
subidhey,	সুবিধে,	সুবিধে,	
sparshao,	স্পোর্যও,	স্পর্শও,	
akadimia,	অকাডিমিয়া,	একাডেমিয়া,	
kanthodan,	কণ্ঠদান,	কণ্ঠদান,	
paul,	পাল,	পাল,	
utsabe,	উৎসবে,	উত্সবে,	
kompo,	কম্প,	কম্প,	
rivishhan,	রিভিশন,	রিভিশন,	
khamotashin,	ক্ষমতাশীন,	ক্ষমতাসীন,	
sqlerosisa,	স্ক্ল্রোসিস,	স্ক্লেরোসিস,	
marich,	মেরিচ,	মরিচ,	
falsh,	ফালস,	ফলস,	
janai,	জানাই,	জানাই,	
tai,	তাই,	তাই,	
attabashshok,	আত্মাবশ্যক,	অত্যাবশ্যক,	
dip,	ডিপ,	দ্বীপ,	
antorbhukti,	অন্তর্ভূক্তি,	অন্তর্ভুক্তি,	
haricho,	হারিছ,	হারিছ,	
rodreegej,	রদ্দিগেজ,	রদ্রিগেজ,	
aaishotop,	আইসতত,	আইসোটোপ,	
shiropao,	শিরপাও,	শিরোপাও,	
bhojohori,	ভোোজরি,	ভজহরি,	
romona,	রোমা,	রমনা,	
chabe,	চাবে,	চাবি,	
games,	গেমস,	জেমস,	
gronthosomuho,	গ্রন্থসমূহ,	গ্রন্থসমূহ,	
miler,	মিলের,	মাইলের,	
bojhaai,	বোঝাই,	বোঝাই,	
ica,	ইকা,	একা,	
sothikvabe,	সথিকভাবে,	সঠিকভাবে,	
shekond,	শেকন্ড,	সেকেন্ড,	
amarotwa,	আমারত্য,	অমরত্ব,	
edvoket,	এড্ভোকেট,	এডভোকেট,	
zubokera,	যুবকেরা,	যুবকের,	
aiteem,	আইটিম,	আইটেম,	
rewishan,	রেভিশন,	রিভিশন,	
saif,	সেফ,	সাইফ,	
bojhaa,	বোঝা,	বোঝা,	
chalchen,	চলছেন,	চলছেন,	
chapa,	চাপা,	চাঁপা,	
hendbuq,	হেন্দ্বুক,	হ্যান্ডবুক,	
pipshi,	পিপসি,	পেপসি,	
sahabider,	সাহাবীদের,	সাহাবিদের,	
bopara,	বোপার,	বোপারা,	
bondiir,	বন্দির,	বন্দীর,	
manusheryi,	মনুসের,	মানুষেরই,	
jonmodag,	জন্মদাগ,	জন্মদাগ,	
sahokareeder,	সহকারীদের,	সহকারীদের,	
delivary,	ডেলিভারি,	ডেলিভারি,	
naitrozena,	নাইট্রোজেন,	নাইট্রোজেন,	
pikaso,	পিকাশো,	পিকাসো,	
kosrot,	কোষরত,	কসরত,	
jaate,	যাতে,	জাতে,	
sompadoney,	সম্পাদনে,	সম্পাদনে,	
khalashi,	খালাসি,	খালাসী,	
obhidhanti,	অভিধানটি,	অভিধানটি,	
yathesht,	ইযাস্ট,	যথেষ্ট,	
gregari,	গ্রেগরি,	গ্রেগরি,	
moheesher,	মহিশের,	মহিষের,	
asorti,	আসর্তি,	আসরটি,	
ponkhiraz,	পং্্িিরাজ,	পঙ্খিরাজ,	
sahosikota,	সহশিকতা,	সাহসিকতা,	
shilaidaher,	শিলাইদাহের,	শিলাইদহের,	
seecond,	সেকন্ড,	সেকেন্ড,	
skoorim,	স্কুরিং,	স্কোরিং,	
taholey,	টহলে,	তাহলে,	
arer,	এরের,	আরের,	
diptike,	দিপ্িকে,	দ্বীপটিকে,	
dianer,	ডায়নার,	ডিএনএর,	
cheettakarsak,	চিত্মকর্ষক,	চিত্তাকর্ষক,	
khuskhi,	খুসখি,	খুশকি,	
crutch,	ক্রুচ,	ক্রাচ,	
haricha,	হারিচা,	হারিছ,	
naitroojena,	নাইট্রোজেন,	নাইট্রোজেন,	
byaboharkarider,	ব্যবহারকারীদের,	ব্যবহারকারীদের,	
debashis,	দেবশিস,	দেবাশিস,	
seekkhokou,	শিক্ষকও,	শিক্ষকও,	
jaatgoolo,	যাতগুলো,	জাতগুলো,	
amni,	অমনি,	অমনি,	
traya,	ট্রা,	ত্রয়,	
sangkulaner,	সংকুলনের,	সংকুলানের,	
shifte,	সিফটে,	শিফটে,	
shelima,	সেলিমা,	সেলিমা,	
bongshe,	বংশে,	বংশে,	
chopala,	ছোপাল,	চপলা,	
sohosa,	সহসা,	সহসা,	
uinnslet,	উইনস্লটেট,	উইন্সলেট,	
advocate,	অ্যাডভোকেট,	এডভোকেট,	
danish,	ডানিশ,	ড্যানিশ,	
sahojlabhbhota,	সহজ্লভ্্ভতা,	সহজলভ্যতা,	
monzoorer,	মঞ্জুরের,	মঞ্জুরের,	
bondukdhari,	বন্দুকধারী,	বন্দুকধারী,	
leaphlet,	লিফফেট,	লিফলেট,	
tarna,	টার্ন,	টার্ন,	
dami,	দামি,	ডামি,	
chalochchitratir,	চলচ্চিত্রটির,	চলচ্চিত্রটির,	
naubonirbachito,	নবনিবাবিচিত,	নবনির্বাচিত,	
ribhishhana,	রিভিশন,	রিভিশন,	
somabeshe,	সমাবেশে,	সমাবেশে,	
holmer,	হোমের,	হোমার,	
ouroshe,	ঔরসে,	ঔরসে,	
ut,	উট,	উট,	
panzore,	পাঁজরে,	পাঁজরে,	
mohisee,	মহিষি,	মহিষী,	
soorta,	শুর্তা,	সুরটা,	
dhhaler,	ঢালের,	ঢালের,	
sheekond,	শিকন্ড,	সেকেন্ড,	
nabir,	নবীর,	নবির,	
padojatra,	পদযাত্রা,	পদযাত্রা,	
sherver,	শের্ভের,	সার্ভার,	
beneefeet,	বেনেফিট,	বেনিফিট,	
cholochchitre,	চলচিত্রে,	চলচ্চিত্রে,	
indeex,	ইন্ডেক্স,	ইনডেক্স,	
jhunu,	ঝুঁু,	ঝুনু,	
shikkhar,	শিক্ষার,	শিক্ষার,	
eeoroper,	ইওরোপের,	ইওরোপের,	
danald,	ডানাল্ড,	ডোনাল্ড,	
sklarosisa,	স্ক্লারোসিস,	স্ক্লেরোসিস,	
sithil,	সিঁিল,	শিথিল,	
thikthak,	ঠিক্াক,	ঠিকঠাক,	
institutian,	ইন্সটিটিউশন,	ইনস্টিটিউশন,	
sainyaderke,	সৈন্যদেরকে,	সৈন্যদেরকে,	
deeliveery,	ডেলিভারি,	ডেলিভারি,	
estrogen,	এস্ট্রোজেন,	ইস্ট্রোজেন,	
etodin,	এতদিন,	এতোদিন,	
bettar,	বেতার,	বেটার,	
chikitsarata,	চিকিৎসারতা,	চিকিৎসারত,	
dingi,	দিঙ্গি,	ডিঙ্গি,	
nudulsh,	নুডুলস,	নুডলস,	
songosthaguli,	সংস্থাগুলি,	সংস্থাগুলি,	
kotar,	কোটার,	কোটার,	
mithena,	মিঠেনা,	মিথেন,	
downey,	দানে,	ডাউনি,	
otoked,	অটোকেড,	অটোক্যাড,	
pratiyogikey,	প্রতিযোগীকে,	প্রতিযোগীকে,	
cobalt,	কোবাল্ট,	কোবাল্ট,	
asorer,	আসরের,	আসরের,	
osthisandhir,	অস্থিসন্ধীর,	অস্থিসন্ধির,	
farnandes,	ফার্নেন্ডেস,	ফার্নান্ডেজ,	
phirishtaara,	ফিরিস্টারা,	ফিরিশতারা,	
greehobodhoo,	গৃহবোধ,	গৃহবধূ,	
raj,	রাজ,	রাজ,	
lawk,	লাক,	লক,	
matritto,	মতৃত্ব,	মাতৃত্ব,	
aesotop,	এসতত,	আইসোটোপ,	
shadashidhe,	সদসিধিধে,	সাদাসিধে,	
marma,	মার্ম,	মারমা,	
naabyo,	নাব্য,	নাব্য,	
ongsogrohonkari,	অংশগ্রহণকারী,	অংশগ্রহনকারী,	
sangasthai,	সংগ্ঠাই,	সংস্থাই,	
nagorikgon,	নাগরিকগণ,	নাগরিকগণ,	
bachcharao,	বাচ্চারও,	বাচ্চারাও,	
cheekitsaroto,	চিকিৎসারত,	চিকিৎসারত,	
not,	নট,	নোট,	
muhyaman,	মুহ্যমান,	মুহ্যমান,	
jothesto,	জথেষ্ট,	যথেষ্ট,	
drissoty,	দৃশ্যটি,	দৃশ্যটি,	
ayadaminishtreshhana,	অ্যাডমিনসস্ট্রেন,	অ্যাডমিনিস্ট্রেশন,	
karmokandey,	কর্মকান্ডে,	কর্মকাণ্ডে,	
narabalir,	নারাবালির,	নরবলির,	
nadnadi,	নদদদাী,	নদনদী,	
graambasike,	গ্রামবাসীকে,	গ্রামবাসীকে,	
dwip,	দ্বীপ,	দ্বীপ,	
sanskarane,	সংস্করণে,	সংস্করনে,	
sachetanota,	সচেতনতা,	সচেতনতা,	
proshashonik,	প্রশাসনিক,	প্রসাশনিক,	
qafer,	কাফের,	কাফের,	
denisha,	ডেনিস,	ডেনিস,	
beerjopaat,	বীর্যপাত,	বীর্যপাত,	
oveddyo,	অভেদ্য,	অভেদ্য,	
mitrake,	মিট্রাকে,	মিত্রকে,	
vorsa,	ভোর্স,	ভরসা,	
jolrange,	জলরাঙ্গে,	জলরঙে,	
nadiyo,	নাদিও,	নদীও,	
chhotto,	ছোট,	ছোট্টো,	
utkantha,	উৎকান্া,	উৎকণ্ঠা,	
gosthyder,	গোষ্ঠিদের,	গোষ্ঠীদের,	
oxford,	অক্সফোর্ড,	অক্সফোর্ড,	
mujyoman,	মুজ্জমান,	মুহ্যমান,	
durontopana,	দূরন্তাপনা,	দুরন্তপনা,	
mot,	মোট,	মত,	
sikkhakra,	শিক্ষাকরা,	শিক্ষকরা,	
carlton,	কার্টলন,	কার্লটন,	
folotoh,	ফলত,	ফলতঃ,	
surakarer,	সুরকারের,	সুরকারের,	
ooeenslet,	উনন্সটেট,	উইন্সলেট,	
inakripashana,	ইনক্রিপশন,	এনক্রিপশন,	
mokhlesoor,	মোখখেশুর,	মোখলেসুর,	
niyara,	নিয়ার,	নিয়ার,	
mileo,	মিলিও,	মিলেও,	
adbhutvabey,	অ্্ভূতভাবে,	অদ্ভুতভাবে,	
asamatal,	আসামতল,	অসমতল,	
recorded,	রেকর্ডড,	রেকর্ডেড,	
roohol,	রুহল,	রূহুল,	
skimer,	স্কাইমের,	স্কিমের,	
prakashana,	প্রকোশন,	প্রকাশনা,	
muhurte,	মুহুর্তে,	মুহুর্তে,	
ashatarkotar,	অসাতরকতার,	অসতর্কতার,	
akkharti,	অক্ষর্তী,	অক্ষরটি,	
methane,	মেথানে,	মিথেন,	
shankher,	সংখের,	শঙ্খের,	
teish,	টেইস,	তেইশ,	
deka,	ডেক,	দেকা,	
ottabasyak,	অত্মাবস্যক,	অত্যাবশ্যক,	
samajseva,	সমাজসেবা,	সমাজসেবা,	
phis,	ফিস,	ফিস,	
teniser,	টেনিসের,	টেনিসের,	
hima,	হিমা,	হিম,	
moushumii,	মৌসিমি,	মৌসুমী,	
ovidhanti,	অভিধানটি,	অভিধানটি,	
thakto,	থাকতত,	থাকত,	
enginiir,	এঞ্গিনির,	ইঞ্জিনিয়ার,	
nirapottao,	নিরপপ্ততা,	নিরাপত্তাও,	
ashochetonota,	অশচেছনতা,	অসচেতনতা,	
katrik,	কাত্রিক,	কতৃক,	
daka,	ডাকা,	ডক,	
lekhtey,	লেখতে,	লেখতে,	
setii,	সেতিই,	সেটি,	
ileekashana,	ইলেকশন,	ইলেকশন,	
shangkalon,	সংকালন,	সংকলন,	
dhhaley,	ঢালে,	ঢালে,	
milestane,	মিলেস্তনে,	মাইলস্টোন,	
mausumi,	মৌসুমি,	মৌসুমী,	
bagdaner,	বাগদনের,	বাগদানের,	
codeyo,	কোডেও,	কোডও,	
shoosiety,	সুসেযিি,	সোসাইটি,	
sapholyao,	সফল্যা,	সাফল্যও,	
upostheeti,	উপস্থিতি,	উপস্থিতি,	
olimpike,	অলিম্পিকে,	অলিম্পিকে,	
saarkaase,	সারকাশে,	সার্কাসে,	
beekar,	বিকার,	বিকার,	
shikkhok,	শিক্ষক,	শিক্ষক,	
kistitay,	কিস্টিতে,	কিস্তিতে,	
auddhatta,	অধ্ধত্ব,	ঔদ্ধত্য,	
ulamara,	উলামারা,	উলামারা,	
sweeperer,	স্বীপারের,	সুইপারের,	
sutrodhor,	সূত্রধর,	সূত্রধর,	
swarashtro,	স্বরাষ্ট্র,	স্বরাষ্ট্র,	
gardenayer,	গার্ডেনের,	গার্ডেনের,	
buser,	বুসার,	বাসের,	
dwiptir,	দ্বিপটির,	দ্বীপটির,	
attabasyok,	আত্মাবস্যক,	অত্যাবশ্যক,	
koombher,	কম্ভের,	কুম্ভের,	
hendbook,	হেন্দ্বক,	হ্যান্ডবুক,	
pepasii,	পেপসী,	পেপসি,	
bhaasaro,	ভাষারও,	ভাষারও,	
juboker,	যুবকের,	যুবকের,	
siramik,	শিরামিক,	সিরামিক,	
haleeshohore,	হালিশহরে,	হালিশহরে,	
shringar,	শৃঙ্গার,	শৃঙ্গার,	
hallka,	হালকা,	হালকা,	
promod,	প্রমোদ,	প্রমোদ,	
saodagor,	সৌদাগর,	সওদাগর,	
ruga,	রুগা,	রাগ,	
sunee,	সুনি,	শুন্যে,	
chittakorsok,	চিত্মকর্ষক,	চিত্তাকর্ষক,	
tafsire,	টাফসির,	তাফসীরে,	
chhatogalpo,	ছোটোগল্প,	ছোটগল্প,	
nechara,	নেচারা,	নেচার,	
dokangoolo,	দোকাঙগুলো,	দোকানগুলো,	
twoker,	ট্বকের,	ত্বকের,	
scaring,	স্কেরিং,	স্কোরিং,	
athlete,	অ্যাথলেট,	অ্যাথলেট,	
rita,	রীতা,	রিতা,	
kotaar,	কোটার,	কোটার,	
otitkey,	অতিতকে,	অতীতকে,	
ahnafer,	আনাফের,	আহনাফের,	
goshthider,	গোষ্ঠীদের,	গোষ্ঠীদের,	
switch,	সুইচ,	স্যুইচ,	
yathaarthata,	ইযার্থতা,	যথার্থতা,	
isotop,	ইসতাপ,	আইসোটোপ,	
ottabassok,	অত্মাবাসক,	অত্যাবশ্যক,	
akashmik,	আকস্মিক,	আকষ্মিক,	
chuqri,	চুক্রি,	কুকরী,	
sakkhatkare,	সাক্ষাৎকারে,	সাক্ষাত্কারে,	
byaboharkarira,	ব্যবহারকারিরা,	ব্যবহারকারীরা,	
caret,	ক্যারেট,	ক্যারেট,	
talao,	তালাও,	তালাও,	
anchalgoolo,	অঞ্চলগুলো,	অঞ্চলগুলো,	
shoileetey,	শৈলিতে,	শৈলীতে,	
kaakinaa,	কাকিনা,	কাকিনা,	
torunnasthee,	তরুন্নস্থি,	তরুণাস্থি,	
maranpan,	মারণপন,	মরণপণ,	
jibonkaal,	জীবনকাল,	জীবনকাল,	
shaalem,	সালেম,	সালেম,	
bhaaio,	ভাওই,	ভাইও,	
onkeet,	অনকেট,	অঙ্কিত,	
greehokortee,	গৃহকর্তি,	গৃহকর্তী,	
potenga,	পোটেঙ্গা,	পতেঙ্গা,	
gottontor,	গত্নত্বর,	গত্যন্তর,	
trillian,	ট্রিলিয়ান,	ট্রিলিয়ন,	
samajkormi,	সমাজকর্মী,	সমাজকর্মী,	
dobhashi,	ডভাশী,	দোভাষী,	
bhobshyat,	ভব্ষ্যত,	ভবিষ্যৎ,	
okshforder,	অক্সফোর্ডের,	অক্সফোর্ডের,	
odhikorta,	অধিকর্তা,	অধিকর্তা,	
nean,	নিন,	নিয়ন,	
gotibeger,	গতিবেগের,	গতিবেগের,	
bishai,	বিসাই,	বিষয়,	
cheng,	চেং,	চেং,	
agamani,	আগামানি,	আগমনী,	
bhorodwajer,	ভররাদ্যের,	ভরদ্বাজের,	
biplobikey,	বিপ্লবিকে,	বিপ্লবীকে,	
mitheena,	মিঠেনা,	মিথেন,	
smritifalak,	স্মৃতিফালক,	স্মৃতিফলক,	
bhyetikana,	ভ্যেতিকান,	ভ্যাটিকান,	
sujla,	সুজলা,	সুজলা,	
barnana,	বর্ণনা,	বর্ননা,	
granthoguli,	গ্রন্থগুলি,	গ্রন্থগুলি,	
achi,	আছি,	আছি,	
attabassok,	আত্মাবাসক,	অত্যাবশ্যক,	
protha,	প্রথা,	প্রথা,	
sthapanati,	স্থাপনাটি,	স্থাপনাটি,	
anyotro,	অন্যত্র,	অন্যত্র,	
uporzupori,	উপর্জপুরি,	উপর্যুপরি,	
khamotaashiin,	ক্ষমতাশীন,	ক্ষমতাসীন,	
uparzonkarii,	উপার্জনকারী,	উপার্জনকারী,	
hatela,	হাতেলা,	হোটেল,	
thima,	থিমা,	থিম,	
salem,	সালেম,	সালেম,	
laast,	লাস্ট,	লাস্ট,	
abastha,	অবস্থা,	অবস্হা,	
aasho,	আসো,	অসহ,	
sikkhamulok,	শিক্ষামূলক,	শিক্ষামূলক,	
johnson,	জনসন,	জনসন,	
moreecher,	মরিচের,	মরিচের,	
promotioner,	প্রমোশনের,	প্রোমোশনের,	
sudeep,	সুদীপ,	সুদীপ,	
suje,	সুজে,	সুজ,	
skim,	স্কিম,	স্কিম,	
kome,	কমে,	কমে,	
pyus,	পিউজ,	পিউস,	
salema,	সালেমা,	সালেম,	
hangeree,	হাঙ্গেরি,	হাঙ্গেরী,	
rokomer,	রকমের,	রকমের,	
shaapholloke,	সাফলকে,	সাফল্যকে,	
garaze,	গ্যারেজ,	গ্যারেজে,	
haleeshahore,	হালিসহরে,	হালিশহরে,	
nirbhorotaar,	নির্ভরতার,	নির্ভরতার,	
shankha,	সংখখ,	শঙ্খ,	
seekkhai,	শিক্ষাই,	শিক্ষাই,	
ohaber,	ওহাবের,	ওহাবের,	
chhaanara,	ছানারা,	ছানারা,	
jonoshon,	জনসন,	জনসন,	
ashankito,	অসঙ্কিত,	আশঙ্কিত,	
raga,	রাগা,	রাগা,	
suits,	সুইটস,	সুইটস,	
timurer,	তিমুরুর,	তিমুরের,	
songosthasamuha,	সংগ্ঠাসমূহ,	সংস্থাসমূহ,	
mite,	মাইট,	মিটে,	
sarahoke,	সারাকে,	সারাহকে,	
gonohotta,	গণহত্তা,	গণহত্যা,	
obosaner,	অবসানের,	অবসানের,	
soosaan,	সুসান,	সুসান,	
patthkrome,	পাঠক্রমে,	পাঠক্রমে,	
bhaandaaree,	ভান্ডারি,	ভাণ্ডারী,	
zordaner,	জর্দানের,	জর্ডনের,	
podojatra,	পদযাত্রা,	পদযাত্রা,	
deel,	দেল,	দিল,	
pipshhi,	পিপসি,	পেপসি,	
anchalgula,	অঞ্চলগুলো,	অঞ্চলগুলো,	
liich,	লিচ,	লিচ,	
valobashen,	ভালবাসেন,	ভালবাসেন,	
biswashti,	বিশ্বস্তি,	বিশ্বাসটি,	
noota,	নোটা,	নোট,	
bisoy,	বিসয়,	বিষয়,	
suri,	সুরি,	সুরই,	
beekaar,	বিকার,	বিকার,	
beshirbhaager,	বেশিরভাগের,	বেশিরভাগের,	
englishye,	ইংলিসে,	ইংলিশে,	
nreetatwo,	নৃতত্ত,	নৃতত্ত্ব,	
shaahoshii,	সাহসী,	সাহসী,	
chatokdar,	চাটকদার,	চটকদার,	
konishthota,	কনিষ্ঠতা,	কনিষ্ঠা,	
jotharthota,	জথার্থতা,	যথার্থতা,	
sheluksh,	সেলুক্স,	সেলুকাস,	
janoika,	জানিকা,	জনৈক,	
shhyutaauta,	শ্যুততা,	শ্যুটআউট,	
gazi,	গাজী,	গাজি,	
chaalee,	চালি,	চালি,	
prokarer,	প্রকারের,	প্রকারের,	
oitijjogoto,	ঐতিজ্যগত,	ঐতিহ্যগত,	
aalkatraar,	আলতাত্রার,	আলকাতরার,	
roover,	রুভের,	রোভার,	
pad,	পাদ,	প্যাড,	
mileshtone,	মিলেস্টনে,	মাইলস্টোন,	
chalochchitrogulo,	চলচ্চিত্রগুলো,	চলচ্চিত্রগুলো,	
baasaati,	বাসাতি,	বাসাটি,	
bikaar,	বিকার,	বিকার,	
gabhaskarer,	গভাসকারের,	গাভাস্কারের,	
naaholey,	নাহলে,	নাহলে,	
lana,	লানা,	লোন,	
prachuryo,	প্রাচুর্য,	প্রাচুর্য,	
chowshotti,	চৌষট্বি,	চৌষট্টি,	
shoshoor,	শসুর,	শশুর,	
governor,	গভর্নর,	গভর্ণর,	
foods,	ফোডস,	ফুডস,	
birshreshtho,	বীরস্ষেষ্ঠ,	বীরশ্রেষ্ঠ,	
monhputa,	মনপুুুতা,	মনঃপূত,	
aarakane,	আরাকানে,	আরাকানে,	
talar,	তালার,	তালার,	
tahira,	তাহিরা,	তাহিরা,	
niraananda,	নিরানন্দা,	নিরানন্দ,	
ovineeto,	অভিনিত,	অভিনীত,	
koonteer,	কুনটির,	কুন্তীর,	
soseti,	সোেটি,	সোসাইটি,	
udiichiir,	উদিচিচির,	উদীচীর,	
razii,	রাজী,	রাজী,	
chittakarsak,	চিত্মকর্ষক,	চিত্তাকর্ষক,	
mohasunne,	মহাসুন্নে,	মহাশূন্যে,	
sritifalak,	স্রীতিফালক,	স্মৃতিফলক,	
smaronika,	স্মরণিকা,	স্মরণিকা,	
dhhaale,	ঢালে,	ঢালে,	
nasirer,	নাসিরের,	নাসিরের,	
gaziipure,	গাজীপুরে,	গাজীপুরের,	
shlelshmar,	স্লেলসার,	শ্লেষ্মার,	
sealmohor,	সিলমহহর,	সিলমোহর,	
man,	মন,	মণ,	
cheelo,	ছিল,	ছিলো,	
yathesta,	ইযেস্ট,	যথেষ্ট,	
prokalper,	প্রকল্পের,	প্রকল্পের,	
aaislyande,	আইল্যল্যান্ডে,	আইসল্যান্ডে,	
sootki,	সূতকি,	শুঁটকি,	
majar,	মজার,	মাযার,	
licensekrito,	লিজেস্স্ক্রিট,	লাইসেন্সকৃত,	
konbharshon,	কনভার্ন,	কনভার্সন,	
blagaar,	ব্লাগার,	ব্লগার,	
granthosamuha,	গ্রন্থসমূহ,	গ্রন্থসমূহ,	
sumeesto,	সুমিষ্ট,	সুমিষ্ট,	
damy,	দামি,	ডামি,	
kodke,	কোদকে,	কোডকে,	
samanjasyapurno,	সমানজজ্তসূর্ণ,	সামঞ্জস্যপূর্ণ,	
deestrayara,	ডেস্ট্রেযার,	ডেস্ট্রয়ার,	
nikati,	নিকটি,	নিকটই,	
streelok,	স্ত্রীকক,	স্ত্রীলোক,	
krishijami,	কৃষিজামী,	কৃষিজমি,	
doorge,	দর্গে,	দুর্গে,	
simfoni,	সিম্ফনি,	সিম্ফোনি,	
hurts,	হার্টস,	হার্টস,	
dhonirayi,	ধ্বনারই,	ধনীরাই,	
manushke,	মনুষ্কে,	মানুষকে,	
albarto,	আলবর্ত,	আলবার্তো,	
beeleter,	বিলেটের,	বিলেতের,	
cholochchitroo,	চলচিত্র্য,	চলচ্চিত্রও,	
dehomon,	দেহমন,	দেহমন,	
destraaer,	দেশ্ট্রের,	ডেস্ট্রয়ার,	
irankay,	ইরানকে,	ইরানকে,	
azizke,	আজিজকে,	আজিজকে,	
suit,	সুয়েট,	শ্যুট,	
staliner,	স্ট্যানিনের,	স্টালিনের,	
apodastho,	অপদস্থ,	অপদস্থ,	
atokkrito,	অত্কৃত,	আটককৃত,	
hathah,	হাথা,	হঠাৎ,	
atra,	আত্রা,	অত্র,	
lohanee,	লোহানি,	লোহানী,	
goona,	গুণা,	গোনা,	
dadake,	দাদাকে,	দাদাকে,	
fello,	ফেলো,	ফেললো,	
knowledge,	কোলাগে,	নলেজ,	
prottokho,	প্রত্যক্ষ,	প্রত্যক্ষ,	
sifter,	সিফ্টার,	শিফটের,	
janaten,	জনতান,	জানাতেন,	
granthagulir,	গ্রন্থাগুলির,	গ্রন্থগুলির,	
bikar,	বিকার,	বিকার,	
shikkhako,	শিক্ষাকো,	শিক্ষকও,	
ice,	এস,	আইস,	
elakatite,	এলাকাটিতে,	এলাকাটিতে,	
up,	উপিপ,	ইউপি,	
safalye,	সফলে,	সাফল্যে,	
harmony,	হার্মনি,	হারমোনি,	
rodreegez,	রদ্দিগেজ,	রদ্রিগেজ,	
raunjit,	রাউজিৎ,	রণজিৎ,	
abohito,	অবহিত,	অবহিত,	
dakotaa,	ডাকতা,	ডাকোটা,	
mmeloborrn,	মেলোবররন,	মেলবোর্ন,	
next,	নেক্সট,	নেক্সট,	
kostokor,	কষ্টকর,	কষ্টকর,	
robhara,	রোভার,	রোভার,	
kinarar,	কিনারার,	কিনারার,	
koleze,	কলেজে,	কলেজে,	
garg,	গার্গ,	গর্গ,	
rakhtodan,	রক্তদান,	রক্তদান,	
shpot,	স্পট,	স্পট,	
jeenei,	জিনেই,	যিনিই,	
