plato,	প্লট,	প্লেটো,	
metere,	মেটারে,	মিটারে,	
gunaman,	গুণমান,	গুণমান,	
phix,	ফিক্স,	ফিক্স,	
shfingtar,	স্ফিক্টার,	স্ফিংটার,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
spreeadsheet,	স্প্রীশদি,	স্প্রেডশীট,	
postay,	পোস্টে,	পোস্টে,	
plane,	প্লেন,	প্লেন,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
charrjer,	চার্জের,	চার্জের,	
daacktickete,	ডাক্তিকটেতে,	ডাকটিকিটে,	
rajotwa,	রাজত্ব,	রাজত্ব,	
hoshein,	হোসেন,	হোসেইন,	
savanetri,	সভনেত্রী,	সভানেত্রী,	
nogorey,	নগরে,	নগরে,	
ranodeep,	রণণীদ,	রণদীপ,	
lajek,	লাজেক,	লজিক,	
mododpusto,	মদদ্যপ্্ত,	মদদপুষ্ট,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
teksaser,	টেক্সসের,	টেক্সাসের,	
superhera,	সুপেরেরা,	সুপারহিরো,	
nickel,	নিক্ছেল,	নিকেল,	
jaruri,	জাুরি,	জরূরী,	
di,	ডাই,	দিই,	
deares,	ডিরেস,	ডিআরএস,	
keraam,	কেরাম,	কেরাম,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
plete,	প্লেট,	প্লেট,	
vagna,	ভাগনা,	ভগ্ন,	
shikarke,	শিকারকে,	শিকারকে,	
asociatees,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
dito,	দিত,	দিতো,	
bane,	বেন,	বনে,	
damodar,	দামোদর,	দামদর,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
ralph,	রালফ,	রালফ,	
coda,	কোড,	কোডা,	
mile,	মিলে,	মিলে,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
mulgato,	মুলগত,	মূলগত,	
bayii,	বাই,	বাঈ,	
tistaar,	টিস্তার,	তিস্তার,	
janacche,	জানাচ্ছে,	জানাচ্ছে,	
selim,	সেলিং,	সেলিম,	
donata,	ডোনাটা,	ডোনাট,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
elaakaao,	এলাকাও,	এলাকাও,	
vaibon,	ভাইবন,	ভাইবোন,	
armeenian,	আরেমেনিয়ান,	আর্মেনিয়ান,	
bosoben,	বসবেন,	বসবেন,	
devolapar,	ডেভলপার,	ডেভলপার,	
tukror,	টুক্রর,	টুকরোর,	
arakaner,	আরকণের,	আরাকানের,	
jacksan,	জকশ্ন,	জ্যাকসন,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
naajii,	নাজী,	নাত্সি,	
pachchen,	পাঁচেছেন,	পাচ্ছেন,	
jatook,	জাটুক,	জাতক,	
zansa,	জানসা,	জন্স,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
bhittiteow,	ভিত্তিত্বেও,	ভিত্তিতেও,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
naditir,	নদীতির,	নদীটির,	
brekathru,	ব্রেক্ষুর্থ,	ব্রেকথ্রু,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
dece,	ডেস,	ডেকে,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
patengar,	পতেঙ্গার,	পতেঙ্গার,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
shaahocharjo,	শাহাচর্য,	সাহচর্য,	
bagichar,	বাগীচার,	বাগিচার,	
jesthotar,	জেষ্ঠ্যতার,	জ্যেষ্ঠতার,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
saurce,	সার্স,	সোর্স,	
sherup,	শেরুপ,	সেরুপ,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
siniyara,	সিনিয়ার,	সিনিয়র,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
sidharther,	শিধার্থের,	সিদ্ধার্থের,	
brinda,	ব্রিন্ড,	বৃন্দা,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
osamonjoshyopurno,	ওসমাজ্যস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
damone,	ডমনে,	দমনে,	
vezano,	ভেজানো,	ভেজানো,	
oncolsoho,	অঞ্কলসহ,	অঞ্চলসহ,	
obhishangson,	অভিষংসং,	অভিশংসন,	
shikarey,	শিকারে,	শিকারে,	
maila,	মেল,	মাইল,	
planea,	প্লেন,	প্লেনে,	
phemale,	ফেমালে,	ফিমেল,	
gaaddafee,	গাদ্ডাফি,	গাদ্দাফী,	
hamburge,	হ্যাম্বুর্জ,	হামবুর্গে,	
pragreesa,	প্রাগ্রেস,	প্রগ্রেস,	
truup,	ট্রুপ,	ট্রুপ,	
shelim,	সেলিং,	সেলিম,	
skalastika,	স্কলাস্টিক,	স্কলাস্টিক,	
ganochiener,	গনোচিনের,	গণচীনের,	
manab,	মানব,	মানব,	
azizer,	আজিজের,	আজিজের,	
aarakani,	আরকণনি,	আরাকানী,	
hoola,	হোল,	হোল,	
musalmanyi,	মুসলম্নী,	মুসলমানই,	
purohitder,	পুরহিতদের,	পুরোহিতদের,	
joni,	যোনি,	জনি,	
bahati,	বাহাতি,	বাহাতি,	
itastata,	ইটস্টট,	ইতস্তত,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
mumtaj,	মমতাজ,	মুমতাজ,	
tersa,	টার্স,	টেরেসা,	
samannoi,	সমান্যই,	সামান্যই,	
sainyasoho,	সৈন্যসহ,	সৈন্যসহ,	
bitlaser,	বিটলসের,	বিটলসের,	
abosane,	আবসনে,	অবসানে,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
sabrakamer,	সব্রকমের,	সবরকমের,	
evar,	আইবার,	এভার,	
ispredsheet,	স্প্রেশেট,	স্প্রেডশীট,	
agomonke,	আগমনকে,	আগমনকে,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
pudding,	পুডিং,	পুডিং,	
siramiqasa,	সিরামিকস,	সিরামিকস,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
koro,	কোর,	করো,	
seebiai,	সেবিয়ে,	সিবিআই,	
kortaa,	কোর্টা,	করতা,	
mondope,	মন্ডপে,	মন্ডপে,	
bhadaka,	ভাদকা,	ভদকা,	
byabaharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
durgotshob,	দুর্গত্ব,	দুর্গোৎসব,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
ashor,	আশর,	আসর,	
koomarir,	কুমারির,	কুমারীর,	
pachhi,	পাছি,	পাচ্ছি,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
sajano,	সাজানো,	সাজানো,	
aporishodhito,	অপরিষ্ধিত,	অপরিশোধিত,	
mehnotti,	মেহনটি,	মেহনতি,	
sbatantrata,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
janosangyog,	জনসঙ্গম,	জনসংযোগ,	
dhabi,	ধাবী,	ঢাবি,	
kaleo,	কােও,	কালেও,	
neermolota,	নির্মলতা,	নির্মলতা,	
bhaider,	ভাইদের,	ভাইদের,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
utsahe,	উৎসসে,	উৎসাহে,	
soheensotar,	সহিন্ষতার,	সহিংসতার,	
inastyanta,	ইনস্তানটা,	ইনস্ট্যান্ট,	
orhan,	ওর্হন,	ওরহান,	
bufar,	বুফার,	বাফার,	
chitranatyakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
orthonitike,	অর্থনিতিকে,	অর্থনীতিকে,	
horidar,	হরিদার,	হরিদ্বার,	
cholchhee,	চলছি,	চলছে,	
shomoshto,	সমস্ত,	সমস্ত,	
ponni,	পন্যী,	পন্নী,	
nathibhookteer,	নথিভূক্তির,	নথিভুক্তির,	
mele,	মেলে,	মাইল,	
chetnagato,	চিটনাগত,	চেতনাগত,	
chenza,	চেঞ্জ,	চেঞ্জ,	
gyandas,	জ্যান্ডাস,	জ্ঞানদাস,	
shorifer,	শরীফের,	শরিফের,	
auxfordey,	আক্ফর্ডে,	অক্সফোর্ডে,	
veenom,	ভিনম,	ভেনম,	
holdeeng,	হোল্ডিং,	হোল্ডিং,	
nathivookto,	নথিভূক্ত,	নথিভুক্ত,	
jomkaalo,	জোমকালো,	জমকালো,	
noiteekotabodh,	নৈতিকাতধ,	নৈতিকতাবোধ,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
hocker,	হকের,	হুকার,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
jyaqasana,	জ্যাকাশন,	জ্যাকসন,	
bii,	বি,	বি,	
phutanta,	ফুটন্ত,	ফুটন্ত,	
tooku,	টুকু,	টুকু,	
andamana,	অন্দমনা,	আন্দামান,	
samanno,	সমান্ন,	সামান্য,	
freedom,	ফ্রিডম,	ফ্রীডম,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
balroom,	বেলরুম,	বলরুম,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
sabchey,	সবছে,	সবচে,	
boikalya,	বৈকল্য,	বৈকল্য,	
chhilonaa,	ছিলনা,	ছিলনা,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
log,	লোগ,	লগ,	
eura,	ইউরা,	ইউরো,	
madla,	মাল্া,	মাদলা,	
lutheereen,	লুথিরেন,	লুথেরান,	
sompadon,	সম্পাদন,	সম্পাদন,	
torunderke,	তরুন্দেরকে,	তরুণদেরকে,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
jomaanor,	জমানোর,	জমানোর,	
zommu,	জম্মু,	জম্মু,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
sarjur,	সর্জুর,	সরযূর,	
charukala,	চারুকাল,	চারুকলা,	
madeling,	ম্যাডেলিং,	মডেলিং,	
lokeshon,	লোকেশন,	লোকেশন,	
protimar,	প্রতিমার,	প্রতিমার,	
siramiqs,	সিরামিক্স,	সিরামিকস,	
heje,	হেজে,	হেজ,	
ghurte,	ঘুরতে,	ঘুরতে,	
starcer,	স্টার্সের,	স্টার্কের,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
sotorkobhabey,	সতার্কভাবে,	সতর্কভাবে,	
batsman,	ব্যাটম্যান,	ব্যাটসম্যান,	
shalsa,	সালসা,	সালসা,	
batsmaner,	বাৎসম্যানের,	ব্যাটসম্যানের,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
jibanjapon,	জীবনযাপন,	জীবনযাপন,	
shnaipara,	স্নেপার,	স্নাইপার,	
prokalpatikey,	প্রকলাপিতিকে,	প্রকল্পটিকে,	
pader,	পদের,	প্যাডের,	
pudim,	পুদিম,	পুডিং,	
sangbadmadhyame,	সংব্দধম্যমে,	সংবাদমাধ্যমে,	
transformarer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
parikha,	পরীখ্,	পরিখার,	
bopoon,	বপুণ,	বপন,	
madhobeer,	মাধবীর,	মাধবীর,	
crescent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
hola,	হোল,	হোল,	
manjushree,	মা্জুসররী,	মঞ্জুশ্রী,	
ganohatyake,	গণহাত্যকে,	গণহত্যাকে,	
madhoori,	মাধুরি,	মাধুরী,	
duburyra,	দুবুরিরা,	ডুবুরিরা,	
bouddho,	বদ্ধ্য,	বৌদ্ধ,	
fimela,	ফিমেল,	ফিমেল,	
taat,	টাট,	তাত,	
breil,	ব্রেল,	ব্রেইল,	
aakaabar,	আকাবার,	আকাবার,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
batikromee,	বাতিক্রমী,	ব্যতিক্রমী,	
rubi,	রুবি,	রুবী,	
dhauto,	ধাউত,	ধৌত,	
bitloser,	বিটলসের,	বিটলসের,	
homeser,	হোমেসের,	হোমসের,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
bahyo,	বাহ্য,	বাহ্য,	
konoroop,	কোনরূপ,	কোনরূপ,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
nondolal,	নন্ডলাল,	নন্দলাল,	
chhuti,	ছুটি,	ছুটি,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ministar,	মিনিস্টার,	মিনিস্টার,	
carpeet,	কারপেট,	কার্পেট,	
ispreedsheet,	স্প্রেশেট,	স্প্রেডশীট,	
associates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
ovisongson,	অভিষংসং,	অভিশংসন,	
satjoner,	সতযনের,	সাতজনের,	
homeske,	হোমেসকে,	হোমসকে,	
bizepi,	বিজেপি,	বিজেপি,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
suresh,	সুরেশ,	সুরেশ,	
bhugol,	ভুগল,	ভূগোল,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
mesenjjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
laagche,	লাগছে,	লাগছে,	
tiner,	টিনের,	তিনের,	
duckten,	ডাক্তেন,	ডাকতেন,	
chalo,	চালো,	চলো,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
cheesa,	চেশ,	চেস,	
parqing,	পার্কিং,	পার্কিং,	
tookrotey,	তুক্রতে,	টুকরোতে,	
aalkatra,	আলককরতা,	আলকাতরা,	
taholo,	তহল,	তাহলো,	
samaveshke,	সমভেষেকে,	সমাবেশকে,	
daeel,	ডেল,	ডেইল,	
torunra,	তরুনরা,	তরুণরা,	
jyeshthaa,	জিএষ্ঠা,	জ্যেষ্ঠা,	
gonosakkhorota,	গণস্বক্ষতা,	গণসাক্ষরতা,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
ancholtike,	আঞ্চলতিকে,	অঞ্চলটিকে,	
sectar,	সেক্টার,	সেক্টর,	
shikshao,	সিক্ষাও,	শিক্ষাও,	
tongaa,	তঙ্গা,	টোঙ্গা,	
dokaangulote,	দোকাগুলোতে,	দোকানগুলোতে,	
shalapheta,	সালফেট,	সালফেট,	
juktarashtrosaha,	যুক্তরস্রাসা,	যুক্তরাষ্ট্রসহ,	
sina,	সিনা,	সিনা,	
ajimke,	আজিমকে,	আজিমকে,	
nabheela,	নেভেল,	নভেল,	
dhyaan,	ঢ্যান,	ধ্যান,	
saajanor,	সাজানোর,	সাজানোর,	
dong,	ডং,	ডং,	
shommotir,	সম্মতির,	সম্মতির,	
setio,	সেটিও,	সেটিও,	
porishongkhyanbid,	পরিসংখ্যান্বীদ,	পরিসংখ্যানবিদ,	
chaalabi,	চালাবি,	চালাবে,	
jadrel,	জাদ্রেল,	জাঁদরেল,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
shahoshikatar,	শাহসিকাতার,	সাহসিকতার,	
vabna,	ভব্ন,	ভাবনা,	
bhognee,	ভগ্নী,	ভগ্নী,	
graambaasio,	গ্রামবাসীও,	গ্রামবাসীও,	
prakalpatikey,	প্রকলাপিতিকে,	প্রকল্পটিকে,	
laj,	লজ,	লাজ,	
koreempoor,	করিমপুর,	করিমপুর,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
shikhra,	শিখরা,	শিখরা,	
phala,	ফোল,	পোলো,	
turqmen,	টার্কমেন,	তুর্কমেন,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
shuchonakal,	সূচনাকাল,	সূচনাকাল,	
nirorthak,	নিরোর্থক,	নিরর্থক,	
kram,	ক্রম,	ক্রম,	
ganona,	গণনা,	গণনা,	
vins,	ভিংস,	ভিন্স,	
siddhantey,	সিদ্ধানতে,	সিদ্ধান্তে,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
shoti,	শতী,	শোটি,	
valobasakey,	ভালবাসকে,	ভালোবাসাকে,	
paner,	পানের,	পানের,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
shepha,	সেফ,	শেফ,	
sikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
moreecha,	মরেছা,	মরিচা,	
pratyokkhobhabe,	প্রত্যাক্ভভাবে,	প্রত্যক্ষভাবে,	
adhyatmikatar,	অধ্যাত্মিকতার,	আধ্যাত্মিকতার,	
qota,	কোট,	কোটা,	
songastha,	সংস্থা,	সংস্থা,	
tateo,	তাঁেও,	তাতেও,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
segulor,	সেগুলোর,	সেগুলোর,	
onekeri,	অনেকেরী,	অনেকেরই,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
drissogoolote,	দ্রিশ্যগুলোতে,	দৃশ্যগুলোতে,	
snepara,	স্নেপার,	স্নাইপার,	
soomee,	সুমি,	সুমি,	
shotoker,	শতকের,	শতকের,	
musalmankey,	মুসলমনকে,	মুসলমানকে,	
jerusalem,	জেরুসাইম,	জেরুজালেম,	
ojowno,	অজবন,	অযৌন,	
anhu,	অন্,	আনহু,	
rupdan,	রূপদান,	রুপদান,	
teknokryat,	টেকন্ক্রা,	টেকনোক্র্যাট,	
paripaker,	পরিপকের,	পরিপাকের,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
roktokshoroney,	রক্তক্ষণে,	রক্তক্ষরণে,	
kingsh,	কিংস,	কিংস,	
vogiroth,	ভগীরথথ,	ভগীরথ,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
taantira,	তাঁতীরা,	তাঁতিরা,	
akmato,	একমত,	একমত,	
maricha,	মরিচ,	মরিচা,	
suparahiroo,	সুপারহির়,	সুপারহিরো,	
dojo,	দজও,	ডোজো,	
seeramiks,	সেরামিক্স,	সিরামিকস,	
bojhar,	বোঝার,	বোঝার,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
aap,	আপ,	আপ,	
brindaa,	ব্রিন্ডা,	বৃন্দা,	
sporsher,	স্পর্ষের,	স্পর্শের,	
zackson,	জ্যাকশন,	জ্যাকসন,	
suraropeeto,	সুরাপরিত,	সুরারোপিত,	
barnish,	বার্নিস,	বার্নিশ,	
gudamjat,	গুজমজ্মাত,	গুদামজাত,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
karpeta,	কর্পট,	কার্পেট,	
bhatar,	ভাটার,	ভাতার,	
baagicar,	বাগিকার,	বাগিচার,	
geans,	জান্স,	জিন্স,	
mahibur,	মহিবুর,	মহিবুর,	
ayantarqatiqa,	আন্ট্রনকটিক,	অ্যান্টার্কটিকা,	
mashtarsha,	মাস্তর্স,	মাস্টার্স,	
show,	শাও,	শো,	
leta,	লেট,	ল্যাটা,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
lajiqa,	লাজিক,	লজিক,	
heebhi,	হেভি,	হেভি,	
phirti,	ফিরটি,	ফিরতি,	
jemser,	জেমসের,	জেমসের,	
trayte,	ট্রেযাট,	ট্রেতে,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
loombinee,	লুমবাইনি,	লুম্বিনী,	
karka,	কর্ক,	কার্ক,	
beeru,	বেরু,	বীরু,	
samanya,	সামান্য,	সামান্য,	
joonsa,	জুন্স,	জোন্স,	
ipl,	আপল,	আইপিএল,	
ghumachchila,	ঘুমাছ্ছিল,	ঘুমাচ্ছিল,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
futbolarer,	ফুটবলারের,	ফুটবলারের,	
sanaktakaran,	সনক্তকরণ,	সনাক্তকরণ,	
suma,	সুমা,	সুমো,	
satthikata,	স্থাত্যাক,	সঠিকতা,	
ogrodoot,	অগ্রদুত,	অগ্রদূত,	
oncholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
inapharameshhana,	ইনফ্রমেশন,	ইনফরমেশন,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
aaireshe,	আইরেশে,	আইরেসে,	
aireshe,	আইরেশে,	আইরেসে,	
tigre,	টিগ্রে,	টাইগার,	
mojlishpur,	মজ্লিশপুর,	মজলিশপুর,	
uthe,	উঠে,	উঠে,	
charjer,	চার্জের,	চার্জার,	
gaichhe,	গাইছে,	গাইছে,	
nirabata,	নীরবতা,	নিরবতা,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
kaande,	কাঁদে,	কাণ্ডে,	
taranee,	তরণী,	তরণী,	
arjora,	অর্জ্য,	আর্যরা,	
leetara,	লেটার,	লেটার,	
fixin,	ফিক্সিন,	ফিক্সিং,	
panchbar,	পাঁচবার,	পাঁচবার,	
doover,	ডুভের,	ডোভার,	
koreem,	করিম,	করিম,	
ancholgulote,	অঞ্চগুলোতে,	অঞ্চলগুলোতে,	
shamook,	শামুক,	শামুক,	
chotogolper,	চটটোগলের,	ছোটগল্পের,	
shikkhakder,	শিক্ষকদের,	শিক্ষকদের,	
alexanderke,	আলেকমান্দকে,	আলেকজান্ডারকে,	
logic,	লাগিক,	লজিক,	
chhooteer,	ছুটির,	ছুটির,	
gobeshokgon,	গবেষক্ষণ,	গবেষকগণ,	
kathmandu,	কাঠমন্ডু,	কাঠমান্ডু,	
deil,	ডেল,	ডেইল,	
avetara,	অভেতার,	অবতার,	
chalke,	চালকে,	চালকে,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
khanonkaaj,	খননকাজ,	খননকাজ,	
township,	টানশিপ,	টাউনশিপ,	
ardasho,	আর্দশ,	আর্দশ,	
vaibonera,	ভাইবোনেরা,	ভাইবোনেরা,	
zuktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
maailkhanek,	মৈলখানকে,	মাইলখানেক,	
gosthigulo,	গোষ্ঠীগুলো,	গোষ্ঠীগুলো,	
pletoo,	প্লেট,	প্লেটো,	
seekkhaou,	শিক্ষাওু,	শিক্ষাও,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
popeke,	পপেকে,	পোপকে,	
harbor,	হারবর,	হারবার,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
masazida,	মাসাজীদা,	মসজিদ,	
culing,	কুলিং,	কুলিং,	
jatok,	যাটক,	জাতক,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
nirontar,	নিরন্তর,	নিরন্তর,	
teemothi,	তিমথী,	টিমোথি,	
brittakarey,	বৃত্যাকারে,	বৃত্তাকারে,	
qulim,	কুলিং,	কুলিং,	
shekarone,	শেকারণে,	সেকারণে,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
antarcticar,	অন্টার্টিক্স,	অ্যান্টার্কটিকার,	
gyate,	জ্ঞাতে,	গ্যেটে,	
noditikey,	নদীতিকে,	নদীটিকে,	
monjooshree,	মঞ্জুস্রী,	মঞ্জুশ্রী,	
moshleh,	মসলে,	মোসলেহ,	
jocqey,	জকে,	জকি,	
anchaltite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
roktokkoron,	রক্তক্যরণ,	রক্তক্ষরণের,	
ghursen,	ঘুরসেন,	ঘুরেছেন,	
shakar,	শাকার,	সকার,	
rothin,	রথিন,	রথীন,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
daackticket,	ডাক্তিকটিত,	ডাকটিকিট,	
conservetion,	কনসার্ভেশন,	কনসারভেশন,	
lojic,	লজিক,	লজিক,	
byte,	বাইটে,	বাইট,	
jounotar,	যৌনতার,	যৌনতার,	
bagdadii,	বাগ্যাদি,	বাগদাদী,	
utsahi,	উৎসাহী,	উৎসাহী,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
feroza,	ফেরোজা,	ফিরোজা,	
jubokra,	যুবকরা,	যুবকরা,	
jomjomat,	জম্জমাত,	জমজমাট,	
romantika,	রোম্নটিক,	রোমান্টিক,	
kredita,	ক্রেডিট,	ক্রেডিট,	
habshee,	হাঁশী,	হাবশী,	
lokkhero,	লক্ষেরও,	লক্ষেরও,	
teman,	টেমন,	তেমন,	
ghur,	ঘুর,	ঘুর,	
otitkaley,	অতীত্যকালে,	অতীতকালে,	
bifol,	বিফল,	বিফল,	
smarok,	স্মারক,	স্মারক,	
lutherana,	লুথেরানা,	লুথেরান,	
bhumir,	ভূমির,	ভূমির,	
showtey,	শোটে,	শোতে,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
karleo,	করলেও,	করলেও,	
prodan,	প্রদান,	প্রদাণ,	
ingrejder,	ইংরেজেদের,	ইংরেজদের,	
afzol,	আফজল,	আফজল,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
teresa,	তেরেসা,	টেরেসা,	
jokkho,	যক্ষ্ম,	যক্ষ,	
geejeeteeda,	জেজেটেড,	গেজেটেড,	
charrjito,	চার্জিত,	চার্জিত,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
raagkey,	রাগকে,	রাগকে,	
milton,	মিল্টন,	মিলটন,	
tophaat,	টফাট,	তফাৎ,	
bodna,	বদ্না,	বদনা,	
vagini,	ভাগিনী,	ভগিনী,	
asoociates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
ishpredshhiit,	সসপ্রেশদিত,	স্প্রেডশীট,	
orunima,	অরুণিমা,	অরুণিমা,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
stonehenge,	স্ট্যানেজে,	স্টোনহেঞ্জ,	
thailandshoho,	থাইলাং্স,	থাইল্যান্ডসহ,	
abasare,	অবসরে,	অবসরে,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
kulim,	কুলিং,	কুলিং,	
shektore,	সেক্টরে,	সেক্টরে,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
everage,	এভারেজ,	এভারেজ,	
ameerika,	অ্যামেরিকা,	আমেরিকা,	
bhabaaponno,	ভবপপ্ন,	ভাবাপন্ন,	
jahar,	জাহার,	জহর,	
chapal,	চপপল,	চপল,	
chetanagoto,	চেটানাগত,	চেতনাগত,	
swalpo,	স্বল্প,	স্বল্প,	
lajik,	লাজিক,	লজিক,	
aazaan,	আজান,	আজান,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
maniktola,	মানিক্তলা,	মানিকতলা,	
ekaatto,	একাত্ম,	একাত্ব,	
beatleser,	বিটলেসের,	বিটলসের,	
gudamjato,	গুমাজমত,	গুদামজাত,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
nitikotha,	নীতিকথা,	নীতিকথা,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
becha,	বেচা,	বেচা,	
udbhabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
pest,	পেস্ট,	পেষ্ট,	
ghoor,	ঘুর,	ঘুর,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
arthanitir,	অর্থনিতির,	অর্থনীতির,	
dweepgoolotey,	দ্বিপুলোতে,	দ্বীপগুলোতে,	
hook,	হোক,	হুক,	
jaj,	জজ,	জাজ,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
alympic,	আলিম্পিক,	অলিম্পিক,	
nandolal,	নন্ডলাল,	নন্দলাল,	
thawre,	থাভের,	থরে,	
