taurat,	ট্যারাট,	তওরাত,	
atohar,	আতোহার,	আতহার,	
dhyana,	ধ্যানা,	ধ্যান,	
moomtaj,	মুমতাজ,	মুমতাজ,	
jillul,	জিল্লুল,	জিল্লুল,	
fud,	ফুদ,	ফুড,	
aswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
nilabha,	নিলভ,	নীলাভ,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
shringge,	শ্রিজ্ঞে,	শৃঙ্গে,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
lyaata,	ল্যাট,	ল্যাটা,	
cinematographer,	সিমেন্ট্রাফার,	সিনেমাটোগ্রাফার,	
dharavassokar,	ধারাভাসকার,	ধারাভাষ্যকার,	
rashider,	রাশিদের,	রশিদের,	
tokei,	তোকেই,	ত্বকেই,	
jwalbe,	জ্বলবে,	জ্বলবে,	
militaryte,	মিলিটারীতে,	মিলিটারিতে,	
ekirokom,	একরিকোম,	একইরকম,	
shefa,	সেফ,	শেফ,	
oiteejye,	ঐতিজ্বে,	ঐতিহ্যে,	
license,	লিসেন্সে,	লাইসেন্স,	
madhukooree,	মধুকুরি,	মাধুকরী,	
postac,	পোস্ট,	পোস্টকে,	
windows,	উইন্ডোজ,	উইন্ডোস,	
protul,	প্রোটুল,	প্রতুল,	
iraner,	ইরনের,	ইরানের,	
dembakreeti,	ডেমবাকৃতি,	ডিম্বাকৃতি,	
dorun,	দরুণ,	দরুণ,	
qarpeta,	কর্পেট,	কার্পেট,	
ummul,	উম্মল,	উম্মুল,	
stone,	স্তন,	স্টোন,	
karmopantha,	কর্মপন্থা,	কর্মপন্থা,	
meetropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
taler,	তালের,	তালের,	
marmaader,	মারমাদের,	মারমাদের,	
aboshore,	অবশরে,	অবসরে,	
nowel,	নোভেল,	নভেল,	
biru,	বিরু,	বীরু,	
oncholgulote,	অঞ্চলগুলে,	অঞ্চলগুলোতে,	
dokangulotey,	দোকাগুলোতে,	দোকানগুলোতে,	
puroheetra,	পুরোহিত্রা,	পুরোহিতরা,	
stanehenge,	স্টেনােইং,	স্টোনহেঞ্জ,	
hurricane,	হারিকেন,	হ্যারিকেন,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
aipiela,	এপিলে,	আইপিএল,	
choopi,	চুপি,	চুপি,	
venish,	ভেনিস,	ভেনিস,	
shilabhara,	সিলভার,	সিলভার,	
shloker,	স্লোকের,	শ্লোকের,	
kulim,	কুলিম,	কুলিং,	
jeevjontu,	জেবজ্ঞ্ু,	জীবজন্তু,	
fanser,	ফাঁসের,	ফাঁসের,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
manee,	মান,	মানে,	
lutheren,	লুঠারের,	লুথেরান,	
bonnypran,	বন্যুপ্রাণ,	বন্যপ্রাণ,	
oncholke,	অঞ্চলেকে,	অঞ্চলকে,	
categoryer,	কেটেগরর,	ক্যাটাগরির,	
tenisa,	টেনিসা,	টেনিস,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
itostatah,	ইটস্টাট,	ইতস্ততঃ,	
mukherjee,	মুখার্জি,	মুখার্জী,	
deeputy,	দীপিতি,	ডেপুটি,	
jeten,	জেতেন,	যেতেন,	
basakey,	বসাকে,	বাসাকে,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
ashanka,	অশঙককা,	আশঙ্কা,	
bohal,	বোহাল,	বহাল,	
muradkey,	মুরাদকে,	মুরাদকে,	
ceramiks,	সেরামিক্স,	সিরামিকস,	
nariider,	নারীদের,	নারীদের,	
maudeling,	মাউডলিং,	মডেলিং,	
hiragana,	হিরাগন,	হিরাগানা,	
planee,	প্লেন,	প্লেন,	
kaantojir,	কান্তজীর,	কান্তজির,	
jerusalema,	জেরুসলমে,	জেরুসালেম,	
sithilotar,	সিথিলতার,	শিথিলতার,	
achish,	অচিস,	আছিস,	
jini,	জিনি,	যিনি,	
natniike,	নত্নীকে,	নাতনীকে,	
purbancole,	পূর্বাঙ্চলে,	পূর্বাঞ্চলে,	
chondrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
mugdha,	মুগ্ধা,	মুগ্ধ,	
plaiin,	প্লেইন,	প্লেন,	
chaabir,	চাবির,	চাবির,	
gosti,	গোস্টি,	গোষ্ঠী,	
varote,	ভারতে,	ভারতে,	
shatokei,	শতকেই,	শতকেই,	
bekey,	বেইক,	বেঁকে,	
ashok,	অশোক,	আশোক,	
mataram,	মটোরম,	মাতারাম,	
kormer,	কর্মের,	কর্মের,	
parse,	পার্স,	পার্শ্বে,	
zins,	জিন্স,	জিন্স,	
sunagorik,	সুনগগরিক,	সুনাগরিক,	
praapoker,	প্রাপকের,	প্রাপকের,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
azaan,	আজান,	আজান,	
oshamanno,	অসামান্য,	অসামান্য,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
meghkey,	মেঘকে,	মেঘকে,	
zoneser,	জোনসের,	জোন্সের,	
alpo,	আল্প,	অল্প,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
kandy,	কান্ডি,	ক্যান্ডি,	
bishad,	বিষদ,	বিষদ,	
foloshrutite,	ফলসুল্রিতে,	ফলশ্রুতিতে,	
grovth,	গ্রাথ,	গ্রোথ,	
arunima,	অরুনিমা,	অরুণিমা,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
spashtatai,	স্পষ্টটে,	স্পষ্টতই,	
ispreedshit,	স্বৃপ্রেসিত,	স্প্রেডশীট,	
asamarik,	আসামারিক,	অসামরিক,	
gonna,	গন্য,	গননা,	
danab,	ডানাব,	দানব,	
everestey,	এভারেসটে,	এভারেস্টে,	
iran,	আইরন,	ইরান,	
aaminar,	আমিনার,	আমিনার,	
plete,	প্লেট,	প্লেট,	
rubyo,	রাবওয়,	রুবিও,	
lutheereen,	লুটারেন,	লুথেরান,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
muktume,	মুকটুমে,	মাকতুম,	
jonmat,	জন্মাত,	জন্মাত,	
laiseensim,	লাইসিন্সিং,	লাইসেন্সিং,	
madeelim,	ম্যাডিলিং,	মডেলিং,	
asaciates,	অ্যাসোসেটেজ,	এসোসিয়েটস,	
soomee,	সুমি,	সুমি,	
samudratate,	সমুদ্রতে,	সমুদ্রতটে,	
akkaash,	একাশ,	আককাস,	
dap,	দাপ,	ড্যাপ,	
hingsar,	হিংসার,	হিংসার,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
chetana,	চেটনা,	চেতনা,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
safalyer,	সফলের,	সাফল্যের,	
ingrezder,	ইংরেজের,	ইংরেজদের,	
sekarone,	শেকারণে,	সেকারণে,	
lajika,	লাজিকা,	লজিক,	
anchaltike,	আঞ্চলটিকে,	অঞ্চলটিকে,	
maddhuri,	মাধুরি,	মাধুরী,	
jes,	জেস,	জেস,	
awatar,	আওতার,	অবতার,	
faltir,	ফলটির,	ফলটির,	
huge,	হুগে,	হিউজ,	
bayii,	বাই,	বাঈ,	
manohputo,	মানোপ্যুত,	মনঃপুত,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
akshor,	অক্ষর,	একশোর,	
qoda,	কোড,	কোড,	
paaree,	পারি,	পাড়ে,	
ibhara,	ইভার,	এভার,	
shoili,	শৈলি,	শৈলী,	
bocchon,	বচ্চন,	বচ্চন,	
byatikromdhormi,	ব্যোতিরকক্রম্ধী,	ব্যতিক্রমধর্মী,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
phaksha,	ফক্স,	ফক্স,	
nischitarupey,	নিষ্চিতারীপে,	নিশ্চিতরূপে,	
tottobar,	তত্ত্বাবার,	তওবার,	
rachanakal,	রচনাকাল,	রচনাকাল,	
ganosakkharata,	গণস্কারত,	গণসাক্ষরতা,	
roopdan,	রূপদান,	রুপদান,	
kindom,	কিন্দম,	কিংডম,	
moushumeo,	মৌসমেও,	মৌসুমেও,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
gonohottar,	গণহত্যার,	গণহত্যার,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
faranyata,	ফারান্যতা,	ফরম্যাট,	
pradeep,	প্রাদীপ,	প্রদীপ,	
daayitto,	ডাইত্য,	দায়িত্ব,	
haridware,	হরিদ্বারে,	হরিদ্বারে,	
hevy,	হেভি,	হেভি,	
khelechen,	খেলেছেন,	খেলেছেন,	
diznee,	ডিজনি,	ডিজনী,	
rahh,	রহ,	রঃ,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
zerusalema,	জেরুসলমে,	জেরুসালেম,	
parbatya,	পর্বত্য,	পার্বত্য,	
kodorer,	কোডরের,	কদরের,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
kormoke,	কর্মকে,	কর্মকে,	
edaning,	এডানিং,	ইদানীং,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
paakshenara,	পাকশেনার,	পাকসেনারা,	
ssahocorze,	স্বহর্চ্যে,	সাহচর্যে,	
aaminaar,	আমিনার,	আমিনার,	
veenus,	ভেনাস,	ভেনাস,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
salafeta,	সালফেট,	সালফেট,	
fotanor,	ফটানোর,	ফোটানোর,	
antarctica,	অন্টার্কটিক,	অ্যান্টার্কটিকার,	
brindaaboner,	ব্রিন্ডবনের,	বৃন্দাবনের,	
nikater,	নিকটের,	নিকটের,	
zommu,	জমমু,	জম্মু,	
pactar,	প্যাক্টের,	পাঁচটার,	
akkash,	একাশ,	আককাস,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
juktorashtrasaha,	যুক্তরস্্রসহ,	যুক্তরাষ্ট্রসহ,	
porjotoker,	পর্যটকের,	পর্যটকের,	
goori,	গুরি,	গোরি,	
naren,	নারেন,	নরেন,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
enginiirs,	ইনগিনিস্র,	ইঞ্জিনিয়ার্স,	
kormozog,	কর্যযোগ,	কর্মযোগ,	
hugh,	হুউ,	হিউজ,	
bigepi,	বিজেপি,	বিজেপি,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
nironjan,	নিরঞ্জন,	নিরঞ্জন,	
kaash,	কাস,	কাস,	
nodnodeer,	নদ্নদীর,	নদনদীর,	
barnish,	বার্নিশ,	বার্নিশ,	
hola,	হলল,	হোল,	
mosjidkey,	মসজিদকে,	মসজিদকে,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
homske,	হোমসকে,	হোমসকে,	
vagno,	ভাগন,	ভগ্ন,	
maadhookori,	মাধ্ুকরি,	মাধুকরী,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
pisach,	পিশাচ,	পিশাচ,	
udbhabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
poripakey,	পরিপাকে,	পরিপাকে,	
gemser,	গেমসের,	জেমসের,	
shhikar,	স্বীকার,	শিকার,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
dharabahiker,	ধারাবিহিকের,	ধারাবাহিকের,	
badey,	বাদে,	বাদে,	
modeling,	মোডলিং,	মডেলিং,	
nadike,	নাদিকে,	নদীকে,	
dhhaaby,	ঢাবি,	ঢাবি,	
matorom,	মটোরম,	মাতরম,	
shelina,	শেলিনা,	সেলিনা,	
tuner,	টাউনের,	টিউনার,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
amshtrong,	অমস্ট্রোজ্,	আর্মস্ট্রং,	
prodeeper,	প্রোডীপের,	প্রদীপের,	
sikarer,	শিকারের,	শিকারের,	
uporitoler,	উপরিতলের,	উপরিতলের,	
fartha,	ফোর্থ,	ফার্থ,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
deobonde,	দিবন্দে,	দেওবন্দে,	
injiniyarsha,	ইনজিনিয়ার্স,	ইঞ্জিনিয়ার্স,	
batikromshali,	ব্যাতিক্রমাশলী,	ব্যতিক্রমধর্মী,	
sotteo,	সত্বেও,	সত্ত্বেও,	
mmehonoti,	মেহনতি,	মেহনতি,	
nadnadeer,	নদন্যাদির,	নদনদীর,	
mittrer,	মিত্রের,	মিত্রের,	
assoociates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
akjoge,	একযোগে,	একযোগে,	
parisankhanbid,	পরিসংখবন্দি,	পরিসংখ্যানবিদ,	
nabam,	নবম,	নবম,	
gabeshona,	গবেষণা,	গবেষনা,	
dokaanei,	ডোকানেই,	দোকানেই,	
vaticaner,	ভাতিকানের,	ভ্যাটিকানের,	
drishyogulote,	দৃশ্যুগলোতে,	দৃশ্যগুলোতে,	
afzol,	আফজল,	আফজল,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
shiramikasha,	শিরামিক্ষা,	সিরামিকস,	
ekghare,	একঘারে,	একঘরে,	
byabaharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
antarbhuktimulak,	অন্তর্ভূতিমূকূল,	অন্তর্ভুক্তিমূলক,	
varotey,	ভারতে,	ভারতে,	
blagaarara,	ব্লাগারার,	ব্লগাররা,	
shodhan,	শোধান,	শোধন,	
janamukhi,	জনমুখি,	জনমুখী,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
amerika,	অ্েরিকা,	আমেরিকা,	
beenis,	বেনিস,	ভেনিস,	
protimar,	প্রতিমার,	প্রতিমার,	
adbhansed,	অধ্ভান্দ,	অ্যাডভান্সড,	
uqeliptas,	উকিলেপাস্ট,	ইউক্যালিপ্টাস,	
otiteo,	অতিতেও,	অতীতেও,	
vogiroth,	ভগিরথ,	ভগীরথ,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
mmadhobbir,	মাধবীর,	মাধবীর,	
laj,	লজ,	লাজ,	
uthey,	উঠে,	উঠে,	
sampadan,	সম্পাদন,	সম্পাদন,	
anyarup,	অন্যুরূপ,	অন্যরূপ,	
dola,	ডলা,	দলা,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
sansthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
bipozzonok,	বিপোজ্জনক,	বিপজ্জনক,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
shulfate,	সুলফাটে,	সালফেট,	
sikkharrtheerao,	শিক্ষার্থীরেও,	শিক্ষার্থীরাও,	
jamkaalo,	জামকাল,	জমকালো,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
keengdom,	কিনগ্যম,	কিংডম,	
moofti,	মুফতী,	মুফতি,	
thore,	দোে,	থরে,	
hook,	হুক,	হুক,	
sombhobonaow,	সম্ভবনাও,	সম্ভবনাও,	
pragresha,	প্রোগ্রেস,	প্রগ্রেস,	
naditi,	নদীতী,	নদীটি,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
anciint,	এন্সিন্ট,	এনসিয়েন্ট,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
tyap,	ট্যাপ,	ট্যাপ,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
reliance,	রিলিয়ান্স,	রিলায়েন্স,	
baasaake,	বাসাকে,	বাসাকে,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
mugdal,	মুগলা,	মুগডাল,	
smarak,	স্মারক,	স্মারক,	
niketan,	নিকেতান,	নিকেতন,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
kanasharabheshhana,	কনসারেভেশন,	কনসারভেশন,	
nationsh,	ন্যাশন্য,	নেশনস,	
prodiip,	প্রদীপ,	প্রদীপ,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
qode,	কোড,	কোড,	
doshider,	দশীদের,	দোষীদের,	
batikromshalee,	ব্যাতিক্রমাশকল,	ব্যতিক্রমধর্মী,	
santa,	সন্ত,	সান্তা,	
bondii,	বন্দি,	বন্দী,	
footballerder,	ফুটবালদের,	ফুটবলারদের,	
gavaskar,	গভাসকার,	গাভাস্কার,	
baagica,	বাজিকা,	বাগিচা,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
qings,	কিংস,	কিংস,	
upobaasee,	উপবাসী,	উপবাসী,	
ajibonoer,	আজিবনের,	আজীবনের,	
mandander,	মানদন্ডের,	মানদণ্ডের,	
quartar,	কোর্তার,	কোয়ার্টার,	
aap,	আপ,	আপ,	
torunderke,	তরুনদেরকে,	তরুণদেরকে,	
jubokshoho,	যুবক্ষসহ,	যুবকসহ,	
nabatamo,	নবতত,	নবতম,	
relance,	রেল্য্ন্স,	রিলায়েন্স,	
pharanyata,	ফারন্যতা,	ফরম্যাট,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
adhit,	অধিত,	অধীত,	
patochitra,	পতচিত্র্য,	পটচিত্র,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
leder,	লেডার,	লিডার,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
shef,	সেফ,	শেফ,	
basiney,	বাসিনে,	বেসিনে,	
vejaano,	ভেজানো,	ভেজানো,	
soorsa,	সোর্শ,	সোর্স,	
noubihar,	নৌবিহার,	নৌবিহার,	
priitii,	প্রীতি,	প্রিটি,	
jatak,	যতক,	জাতক,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
bosante,	বসন্তে,	বসন্তে,	
inshtol,	ইনস্টল,	ইন্সটল,	
aro,	আরো,	আরও,	
falak,	ফলক,	ফলক,	
parq,	পার্ক,	পার্ক,	
granthatyke,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
gajipur,	গাজীপুর,	গাজীপুর,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
parka,	পার্ক,	পার্ক,	
janalo,	জানালো,	জানালো,	
laiseensa,	লেসেন্স,	লাইসেন্স,	
blacq,	ব্লক,	ব্ল্যাক,	
jatharthobhabe,	যথার্থভাবে,	যথার্থভাবে,	
pretty,	প্রেটি,	প্রিটি,	
teenej,	টিনেজ,	টিনেজ,	
ispreedshiit,	স্প্রেসেড,	স্প্রেডশীট,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
angkita,	অংকিত,	অঙ্কিতা,	
naditike,	নাদীটিকে,	নদীটিকে,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
maudelder,	মাডলেডের,	মডেলদের,	
abodamaner,	অবদামানের,	অবদমনের,	
ashamarthita,	অসমার্থিত,	অসমর্থিত,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
potchitro,	পথিচত্র,	পটচিত্র,	
saahocorrzo,	সাহচর্্,	সাহচর্য,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
chheelona,	ছিলনা,	ছিলনা,	
chon,	চন,	ছোঁ,	
manmath,	মানমাথ,	মন্মথ,	
komtee,	কমটি,	কমতি,	
chiraharit,	চিরারিত,	চিরহরিৎ,	
samashti,	সমস্তি,	সমষ্টি,	
venkates,	ভ্যাককাটিশ,	ভেঙ্কটেশ,	
sahojlabhbhotar,	সহজালভাবের,	সহজলভ্যতার,	
pudding,	পাদ্িিং,	পুডিং,	
shainyara,	সৈন্যার,	সৈন্যরা,	
ajuhath,	অজুহাত,	অজুহাত,	
durgotir,	দুর্গতির,	দুর্গটির,	
phoster,	ফোস্টার,	ফস্টার,	
khelafotey,	খেলাফতে,	খেলাফতে,	
satjaner,	সৎজনের,	সাতজনের,	
sharif,	শরীফ,	শরিফ,	
bronjer,	ব্র্যাজ্র,	ব্রোঞ্জের,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
dholeshwari,	ধোলেস্বরী,	ধলেশ্বরী,	
rajtantra,	রাজাত্ন্ত্র,	রাজতন্ত্র,	
nutaner,	নুতানের,	নূতনের,	
prabhu,	প্রভূ,	প্রভু,	
farmat,	ফার্মাট,	ফরম্যাট,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
jonsa,	জনসা,	জোন্স,	
cheef,	চীফ,	শেফ,	
safin,	সেফিং,	সাফিন,	
dipgulo,	ডিপগুলো,	দ্বীপগুলো,	
deebating,	ডেবেটিং,	ডিবেটিং,	
hepatitish,	হেপাটিটিস,	হেপাটাইটিস,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
military,	মিলিটারী,	মিলিটারি,	
michhilti,	মিশ্ছিটি,	মিছিলটি,	
sinematographar,	সীনেমাগ্রাফরর,	সিনেমাটোগ্রাফার,	
thawre,	থাউর,	থরে,	
kande,	কান্ডে,	কাণ্ডে,	
koordira,	কুর্ডিরা,	কুর্দিরা,	
uindos,	উইন্ডোজ,	উইন্ডোস,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
qota,	কোট,	কোটা,	
cholochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
tunaita,	টাউনাট,	টুনাইট,	
silwer,	সিলভার,	সিলভার,	
mumtaj,	মমতাজ,	মুমতাজ,	
dibaag,	দিবাগ,	ডিবাগ,	
savanetri,	সভনেত্রী,	সভানেত্রী,	
rajoshri,	রাজসরি,	রাজশ্রী,	
shahocharjo,	শহচর্য,	সাহচর্য,	
klauda,	ক্লাউড,	ক্লাউড,	
avijojan,	অভিযোজন,	অভিযোজন,	
ganochin,	গণচিন,	গণচীন,	
gacher,	গাছের,	গাছের,	
mirakeela,	মিরকেল,	মিরাকেল,	
sucharita,	সুচারিত,	সুচরিতা,	
sotorkobhabe,	সরটরকাভবে,	সতর্কভাবে,	
ragei,	রাগেই,	রাগেই,	
ekooghore,	একুঘরে,	একঘরে,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
prity,	প্রীতি,	প্রিটি,	
korimke,	করিমকে,	করিমকে,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
lojic,	লজিক,	লজিক,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
khogen,	খোগেন,	খগেন,	
inastyanta,	ইনস্টায়ন্ট,	ইনস্ট্যান্ট,	
iyanki,	ই্যাংকি,	ইয়াংকি,	
ateeteo,	আতিতে,	অতীতেও,	
bossonto,	বসর্ন্ত,	বসন্ত,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
pathanirdeshana,	পথনির্দেশনা,	পথনির্দেশনা,	
foster,	ফোস্টার,	ফস্টার,	
depootee,	দেপোি,	ডেপুটি,	
prakalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
recondition,	রেকন্ডিশন,	রিকন্ডিশন,	
laboni,	লাবণী,	লাবনী,	
byaboharkarie,	ব্যবহারকারি,	ব্যবহারকারীই,	
santani,	সন্তানী,	সনাতনী,	
shoshoa,	শস্যা,	শশা,	
ganoparibahan,	গণপরিবাহন,	গণপরিবহন,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
inziniyarsa,	ইনজিনিয়ার্স,	ইঞ্জিনিয়ার্স,	
sthaponakay,	স্থাপনকো,	স্থাপনাকে,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
cutie,	কুটি,	কিউটি,	
madola,	মাডলা,	মাদলা,	
ias,	আয়স,	আইএএস,	
farid,	ফরিদ,	ফরিদ,	
boponer,	বোপনের,	বপনের,	
musharraf,	মুশাররফ,	মশাররফ,	
mojlishpur,	মজলিসিপুর,	মজলিশপুর,	
ekok,	একক,	একক,	
konader,	কোনাডের,	কণাদের,	
chotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
kormi,	কর্মী,	কর্মই,	
heeavy,	হেভি,	হেভি,	
netions,	ন্যানিয়াস,	নেশনস,	
samabesh,	সমবেশ,	সমাবেশ,	
kara,	কার,	কর,	
dilam,	ডিলাম,	দিলাম,	
sofyr,	সফফির,	সোফির,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
venise,	ভেনিসে,	ভেনিসে,	
homes,	হোমস,	হোমস,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
bharadwaj,	ভারাদাজোজ,	ভরদ্বাজ,	
pet,	পেট,	পেত,	
shringgo,	শৃঙ্গ,	শৃঙ্গ,	
parbottyo,	পার্বত্ত্ব,	পার্বত্য,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
astikota,	অস্তিকত,	আস্তিকতা,	
agomonke,	আগমণকে,	আগমনকে,	
haryken,	হারিকেন,	হ্যারিকেন,	
satarkabhabey,	স্যারাকভাবে,	সতর্কভাবে,	
bhezano,	ভেজানো,	ভেজানো,	
banijyikbhittik,	বাণিজ্যিক্তিক,	বাণিজ্যিকভিত্তিতে,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
kachakachi,	কাছাকাছি,	কাছাকাছি,	
bosonte,	বসন্তে,	বসন্তে,	
sarolyo,	সরল্য,	সারল্য,	
jacqsan,	জ্যাক্সন,	জ্যাকসন,	
gyandaas,	জ্যান্ডাস,	জ্ঞানদাস,	
akhaate,	আখাতে,	একহাতে,	
janachhe,	জনাচ্ছে,	জানাচ্ছে,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
heeli,	হেলি,	হিলি,	
rothin,	রথিন,	রথীন,	
shorifpur,	শরীপুর,	শরিফপুর,	
somonwitobhabey,	সমানভিতভাবে,	সমন্বিতভাবে,	
elakasoho,	এলাকাহস,	এলাকাসহ,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
graambaashi,	গ্রাম্বাসী,	গ্রামবাসী,	
bhadaqa,	ভাডাকা,	ভদকা,	
onnkita,	অং্কিতা,	অঙ্কিতা,	
steen,	স্টেন,	স্টেন,	
shooter,	শুটার,	শ্যুটার,	
inamil,	ইনামিল,	এনামেল,	
eukalyptush,	ইউক্লাপিউটাস,	ইউক্যালিপ্টাস,	
markeeting,	মার্কিটিং,	মার্কেটিং,	
ovinetar,	অভিনেতার,	অভিনেতার,	
hartz,	হার্ট,	হার্জ,	
lokhindare,	লোখিন্দারে,	লখিন্দরের,	
somonnitobhabe,	সমান্নিতভাবে,	সমন্বিতভাবে,	
uporitaley,	উপরিতালে,	উপরিতলে,	
shreechaitanyadeb,	শ্রীচৈতন্যেদ,	শ্রীচৈতন্যদেব,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
qredita,	ক্রেদিত,	ক্রেডিট,	
neptuner,	নেপ্ুচানের,	নেপচুনের,	
sibraj,	শিবরাজ,	শিবরাজ,	
sikh,	শিখ,	শিখ,	
mutar,	মুতার,	মুতার,	
heedgee,	হেজজ,	হেজ,	
ropto,	রপ্ত,	রপ্ত,	
madrasakey,	মাদ্রাসকে,	মাদ্রাসাকে,	
nartaki,	নর্তকী,	নর্তকী,	
ester,	এস্টের,	ইস্টার,	
komandar,	কমান্ডার,	কমাণ্ডার,	
sifi,	সিফি,	সাইফাই,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
mahasova,	মহাসভা,	মহাসভা,	
sharthe,	সার্থে,	স্বার্থে,	
